County Name,State Name,Confirmed,New,Death,New Death,Fatality Rate,Latitude,Longitude,Last Update,STATEFP,COUNTYFP,Population Estimate 2018 (Ths.),Infection Rate
New York,New York,63306,6147,2624,2624,4.1%,40.71455,-74.00714,2020-04-04 22:48 EDT,36,500,8443.713,7.497412571933698
Nassau,New York,13346,1322,95,95,0.7%,40.74165225,-73.58899619,2020-04-04 22:48 EDT,36,059,1356.564,9.838090941525797
Westchester,New York,13081,730,67,67,0.5%,41.16319759,-73.7560629,2020-04-04 22:48 EDT,36,119,968.815,13.502061797143933
Suffolk,New York,11370,1216,124,124,1.1%,40.87732808,-72.85898036,2020-04-04 22:48 EDT,36,103,1487.901,7.641637447652767
Rockland,New York,4872,583,69,69,1.4%,41.152374,-74.02401032,2020-04-04 22:48 EDT,36,087,323.686,15.051624104842348
Orange,New York,2863,393,51,51,1.8%,41.40206825,-74.30559567,2020-04-04 22:48 EDT,36,071,378.227,7.569528352021406
Erie,New York,945,143,26,26,2.8%,42.76382119,-78.73224973,2020-04-04 22:48 EDT,36,029,919.866,1.0273235449511124
Dutchess,New York,938,129,8,8,0.9%,41.76477515,-73.74281684,2020-04-04 22:48 EDT,36,027,293.894,3.1916269131047246
Monroe,New York,512,48,17,17,3.3%,43.14604282,-77.69674911,2020-04-04 22:48 EDT,36,055,744.248,0.68794272876783
Onondaga,New York,349,27,4,4,1.1%,43.00487,-76.1836,2020-04-04 22:48 EDT,36,067,464.242,0.751763089078541
Ulster,New York,318,52,4,4,1.3%,41.95986,-73.99033,2020-04-04 22:48 EDT,36,111,179.303,1.7735341851502764
Albany,New York,293,26,6,6,2.0%,42.65155,-73.75520999999998,2020-04-04 22:48 EDT,36,001,307.426,0.9530748863141049
Putnam,New York,283,31,7,7,2.5%,41.42653455,-73.7494999,2020-04-04 22:48 EDT,36,079,99.070,2.85656606439891
Sullivan,New York,193,5,5,5,2.6%,41.71631354,-74.76811083,2020-04-04 22:48 EDT,36,105,75.211,2.56611399928202
Saratoga,New York,150,9,1,1,0.7%,43.06974,-73.63661,2020-04-04 22:48 EDT,36,091,227.377,0.6596973308645993
Schenectady,New York,117,7,6,6,5.1%,42.81238,-73.94122,2020-04-04 22:48 EDT,36,093,154.883,0.7554089215730585
Niagara,New York,101,7,0,0,0.0%,43.19998147,-78.74522262,2020-04-04 22:48 EDT,36,063,211.704,0.477081207723992
Tompkins,New York,95,2,0,0,0.0%,42.44933495,-76.47064359,2020-04-04 22:48 EDT,36,109,102.962,0.9226704997960412
Oneida,New York,86,15,2,2,2.3%,43.24306498,-75.42583597,2020-04-04 22:48 EDT,36,065,230.782,0.37264604691873715
Madison,New York,85,7,2,2,2.4%,42.91290749,-75.66978904,2020-04-04 22:48 EDT,36,053,71.359,1.1911601900250846
Rensselaer,New York,73,6,1,1,1.4%,42.71086263,-73.5097379,2020-04-04 22:48 EDT,36,083,159.431,0.4578783298103882
