County Name,State Name,Confirmed,New,Death,New Death,Fatality Rate,Latitude,Longitude,Last Update,STATEFP,COUNTYFP,Population Estimate 2018 (Ths.),Infection Rate
New York,New York,72181,4630,3485,3485,4.8%,40.71455,-74.00714,2020-04-06 22:49 EDT,36,500,8443.713,8.548490456745746
Nassau,New York,15616,1218,381,381,2.4%,40.74165225,-73.58899619,2020-04-06 22:49 EDT,36,059,1356.564,11.511436246281047
Westchester,New York,14294,571,211,211,1.5%,41.16319759,-73.7560629,2020-04-06 22:49 EDT,36,119,968.815,14.754106821219736
Suffolk,New York,14185,1056,199,199,1.4%,40.87732808,-72.85898036,2020-04-06 22:49 EDT,36,103,1487.901,9.533564397093624
Rockland,New York,5703,377,119,119,2.1%,41.152374,-74.02401032,2020-04-06 22:49 EDT,36,087,323.686,17.618926984793905
Orange,New York,3533,346,76,76,2.2%,41.40206825,-74.30559567,2020-04-06 22:49 EDT,36,071,378.227,9.340951333458479
Dutchess,New York,1189,112,9,9,0.8%,41.76477515,-73.74281684,2020-04-06 22:49 EDT,36,027,293.894,4.045676332283068
Erie,New York,1148,89,30,30,2.6%,42.76382119,-78.73224973,2020-04-06 22:49 EDT,36,029,919.866,1.2480078620146846
Monroe,New York,574,26,26,26,4.5%,43.14604282,-77.69674911,2020-04-06 22:49 EDT,36,055,744.248,0.7712482935795595
Ulster,New York,382,24,4,4,1.0%,41.95986,-73.99033,2020-04-06 22:49 EDT,36,111,179.303,2.1304718827905837
Onondaga,New York,377,13,5,5,1.3%,43.00487,-76.1836,2020-04-06 22:49 EDT,36,067,464.242,0.8120764601220916
Putnam,New York,345,31,7,7,2.0%,41.42653455,-73.7494999,2020-04-06 22:49 EDT,36,079,99.070,3.48238619158171
Albany,New York,319,14,8,8,2.5%,42.65155,-73.75520999999998,2020-04-06 22:49 EDT,36,001,307.426,1.037648084417063
Sullivan,New York,253,60,6,6,2.4%,41.71631354,-74.76811083,2020-04-06 22:49 EDT,36,105,75.211,3.3638696467272076
Saratoga,New York,153,3,4,4,2.6%,43.06974,-73.63661,2020-04-06 22:49 EDT,36,091,227.377,0.6728912774818913
Schenectady,New York,138,10,7,7,5.1%,42.81238,-73.94122,2020-04-06 22:49 EDT,36,093,154.883,0.8909951382656587
Niagara,New York,120,4,0,0,0.0%,43.19998147,-78.74522262,2020-04-06 22:49 EDT,36,063,211.704,0.5668291576918717
Tompkins,New York,102,7,0,0,0.0%,42.44933495,-76.47064359,2020-04-06 22:49 EDT,36,109,102.962,0.9906567471494337
Oneida,New York,100,5,2,2,2.0%,43.24306498,-75.42583597,2020-04-06 22:49 EDT,36,065,230.782,0.43330935688225247
Madison,New York,92,3,2,2,2.2%,42.91290749,-75.66978904,2020-04-06 22:49 EDT,36,053,71.359,1.289255735085974
Broome,New York,76,5,5,5,6.6%,42.16021802,-75.81964586,2020-04-06 22:49 EDT,36,007,194.402,0.3909424800156377
Steuben,New York,75,2,4,4,5.3%,42.26782685,-77.38382596,2020-04-06 22:49 EDT,36,101,96.927,0.7737782042155436
Rensselaer,New York,74,0,2,2,2.7%,42.71086263,-73.5097379,2020-04-06 22:49 EDT,36,083,159.431,0.4641506356982017
Columbia,New York,70,1,3,3,4.3%,42.25001078,-73.63186134,2020-04-06 22:49 EDT,36,021,60.919,1.1490667936111887
St. Lawrence,New York,61,0,0,0,0.0%,44.17727,-76.16771999999997,2020-04-06 22:49 EDT,36,089,109.558,0.5567827087022399
Chemung,New York,47,9,0,0,0.0%,42.1411881,-76.76001059999999,2020-04-06 22:49 EDT,36,015,85.740,0.5481688826685328
Chenango,New York,46,3,0,0,0.0%,42.49349443,-75.61153709999998,2020-04-06 22:49 EDT,36,017,48.348,0.9514354264912717
Clinton,New York,36,3,0,0,0.0%,44.7904,-73.6006,2020-04-06 22:49 EDT,36,019,80.794,0.4455776419041018
Oswego,New York,34,2,0,0,0.0%,43.4365257,-76.14924403,2020-04-06 22:49 EDT,36,075,119.104,0.2854648038688877
Wayne,New York,34,2,0,0,0.0%,42.474131,-77.09816,2020-04-06 22:49 EDT,36,117,90.856,0.3742185436294796
Jefferson,New York,33,7,0,0,0.0%,44.04103424,-75.91225529,2020-04-06 22:49 EDT,36,045,114.448,0.288340556409898
Ontario,New York,32,0,0,0,0.0%,42.85288942,-77.29981098,2020-04-06 22:49 EDT,36,069,109.472,0.29231218941829873
Otsego,New York,29,0,1,1,3.4%,42.63373751,-75.03256231,2020-04-06 22:49 EDT,36,077,60.244,0.4813757386627714
Delaware,New York,29,2,1,1,3.4%,42.19804334,-74.96635196,2020-04-06 22:49 EDT,36,025,45.502,0.6373346226539494
Warren,New York,26,1,0,0,0.0%,43.5592099,-73.85881158,2020-04-06 22:49 EDT,36,113,64.480,0.4032258064516129
Herkimer,New York,25,3,3,3,12.0%,43.0259,-74.98433,2020-04-06 22:49 EDT,36,043,62.505,0.3999680025597952
Livingston,New York,24,0,1,1,4.2%,42.72808354,-77.77543855,2020-04-06 22:49 EDT,36,051,63.907,0.375545714866916
Greene,New York,24,0,0,0,0.0%,42.27654571,-74.12261588,2020-04-06 22:49 EDT,36,039,47.617,0.5040216729319361
Wyoming,New York,23,1,1,1,4.3%,42.70242659,-78.22443261,2020-04-06 22:49 EDT,36,121,40.565,0.5669912486133366
Genesee,New York,23,1,1,1,4.3%,43.00094016,-78.1936949,2020-04-06 22:49 EDT,36,037,58.112,0.39578744493392076
Washington,New York,19,1,1,1,5.3%,43.31227113,-73.43096234,2020-04-06 22:49 EDT,36,115,61.828,0.307304134049298
Chautauqua,New York,18,0,2,2,11.1%,42.22826274,-79.36643298,2020-04-06 22:49 EDT,36,013,129.656,0.13882890109212068
Allegany,New York,17,1,1,1,5.9%,42.25739788,-78.02755444,2020-04-06 22:49 EDT,36,003,47.025,0.3615098351940457
Montgomery,New York,15,0,1,1,6.7%,42.90229179999999,-74.43960085,2020-04-06 22:49 EDT,36,057,49.426,0.30348399627726297
Cortland,New York,14,0,0,0,0.0%,42.59500111,-76.07023743,2020-04-06 22:49 EDT,36,023,48.123,0.2909211811399954
Orleans,New York,13,2,0,0,0.0%,43.252100586000005,-78.23124678499991,2020-04-06 22:49 EDT,36,073,41.175,0.315725561627201
Cattaraugus,New York,12,2,0,0,0.0%,42.2485958350001,-78.678812022,2020-04-06 22:49 EDT,36,009,77.686,0.15446798650979582
Cayuga,New York,11,3,0,0,0.0%,42.92145204,-76.54917489,2020-04-06 22:49 EDT,36,011,77.868,0.1412647043715005
