County Name,State Name,Confirmed,New,Death,Fatality Rate,Latitude,Longitude,Last Update,STATEFP,COUNTYFP,Population Estimate 2018 (Ths.),Infection Rate
New York,New York,923,460,10+3,1.1%,40.71455,-74.00714,2020-03-17 22:50 EDT,36,061,68.02,13.569538371067335
Westchester,New York,380,160,0,0%,41.16319759,-73.7560629,2020-03-17 22:50 EDT,36,119,27.97,13.585984983911334
Nassau,New York,140,31,1+1,0.7%,40.74165225,-73.58899619,2020-03-17 22:50 EDT,36,059,20.48,6.8359375
Suffolk,New York,97,23,3+1,3.1%,40.87732808,-72.85898036,2020-03-17 22:50 EDT,36,103,29.24,3.3173734610123122
Albany,New York,25,10,0,0%,42.65155,-73.75520999999998,2020-03-17 22:50 EDT,36,001,17.58,1.4220705346985212
Rockland,New York,22,6,1,4.5%,41.152374,-74.02401032,2020-03-17 22:50 EDT,36,087,6.95,3.1654676258992804
Dutchess,New York,16,6,0,0%,41.76477515,-73.74281684,2020-03-17 22:50 EDT,36,027,19.66,0.8138351983723296
Orange,New York,15,4,0,0%,41.40206825,-74.30559567,2020-03-17 22:50 EDT,36,071,11.27,1.3309671694764862
Monroe,New York,14,3,1+1,7.1%,43.14604282,-77.69674911,2020-03-17 22:50 EDT,36,055,25.92,0.5401234567901234
Erie,New York,11,4,0,0%,42.76382119,-78.73224973,2020-03-17 22:50 EDT,36,029,27.67,0.39754246476328153
Saratoga,New York,9,4,0,0%,43.06974,-73.63661,2020-03-17 22:50 EDT,36,091,3.4,2.6470588235294117
Ulster,New York,8,1,0,0%,41.95986,-73.99033,2020-03-17 22:50 EDT,36,111,11.82,0.676818950930626
Schenectady,New York,5,1,0,0%,42.81238,-73.94122,2020-03-17 22:50 EDT,36,093,4.58,1.0917030567685588
Tompkins,New York,3,1,0,0%,42.44933495,-76.47064359,2020-03-17 22:50 EDT,36,109,13.09,0.2291825821237586
Putnam,New York,2,0,0,0%,41.42653455,-73.7494999,2020-03-17 22:50 EDT,36,079,2.58,0.7751937984496123
Greene,New York,2,0,0,0%,42.27654571,-74.12261588,2020-03-17 22:50 EDT,36,039,3.21,0.6230529595015576
Allegany,New York,2,0,0,0%,42.25739788,-78.02755444,2020-03-17 22:50 EDT,36,003,4.27,0.468384074941452
Onondaga,New York,2,0,0,0%,43.00487,-76.1836,2020-03-17 22:50 EDT,36,067,17.03,0.11743981209630064
Delaware,New York,1,0,0,0%,42.19804334,-74.96635196,2020-03-17 22:50 EDT,36,025,2.41,0.41493775933609955
Herkimer,New York,1,0,0,0%,43.0259,-74.98433,2020-03-17 22:50 EDT,36,043,1.4,0.7142857142857143
Broome,New York,1,0,0,0%,42.16021802,-75.81964586,2020-03-17 22:50 EDT,36,007,10.92,0.09157509157509157
Tioga,New York,1,0,0,0%,42.06057,-76.34519,2020-03-17 22:50 EDT,36,107,0.52,1.923076923076923
Montgomery,New York,1,0,0,0%,42.90229179999999,-74.43960085,2020-03-17 22:50 EDT,36,057,0.92,1.0869565217391304
Ontario,New York,1,0,0,0%,42.85288942,-77.29981098,2020-03-17 22:50 EDT,36,069,3.24,0.30864197530864196
Clinton,New York,1,0,0,0%,43.048250000000046,-75.37877999999995,2020-03-17 22:50 EDT,36,019,6.64,0.15060240963855423
Essex,New York,1,1,0,0%,44.10755697300005,-73.79125846999995,2020-03-17 22:50 EDT,36,031,2.1,0.47619047619047616
Oneida,New York,1,1,0,0%,43.24306498200007,-75.42583597099997,2020-03-17 22:50 EDT,36,065,13.15,0.07604562737642585
Sullivan,New York,1,1,0,0%,41.71631354400007,-74.76811083299998,2020-03-17 22:50 EDT,36,105,3.79,0.2638522427440633
Rensselaer,New York,1,1,0,0%,42.71086262800003,-73.50973789599993,2020-03-17 22:50 EDT,36,083,5.87,0.17035775127768313
Wyoming,New York,1,1,0,0%,42.70242659300004,-78.22443260899995,2020-03-17 22:50 EDT,36,121,3.42,0.29239766081871343
King,Washington,569,50,46+3,8.1%,47.49011813,-121.8043324,2020-03-17 22:50 EDT,53,033,38.77,14.676296105236005
Snohomish,Washington,266,33,6+2,2.3%,47.9124,-122.09306,2020-03-17 22:50 EDT,53,061,9.98,26.65330661322645
Pierce,Washington,45,7,0,0%,47.02270813,-122.1014408,2020-03-17 22:50 EDT,53,053,17.44,2.580275229357798
Island,Washington,14,7,0,0%,48.19160936,-122.6650075,2020-03-17 22:50 EDT,53,029,1.94,7.216494845360825
Skagit,Washington,9,2,0,0%,48.47933023,-121.7280802,2020-03-17 22:50 EDT,53,057,1.63,5.521472392638037
Grant,Washington,7,0,1,14.3%,47.19885794,-119.4525987,2020-03-17 22:50 EDT,53,025,1.23,5.691056910569106
Kitsap,Washington,7,0,0,0%,47.47496219,-122.6085325,2020-03-17 22:50 EDT,53,035,9.3,0.7526881720430108
Whatcom,Washington,6,3,0,0%,48.82559702,-121.7174182,2020-03-17 22:50 EDT,53,073,5.72,1.048951048951049
Thurston,Washington,5,1,0,0%,46.91980578,-122.82986909999998,2020-03-17 22:50 EDT,53,067,4.1,1.2195121951219514
Yakima,Washington,5,1,0,0%,46.60448,-120.50721,2020-03-17 22:50 EDT,53,077,3.51,1.4245014245014247
Clark,Washington,4,0,2,50%,45.78187331,-122.4812785,2020-03-17 22:50 EDT,53,011,3.43,1.1661807580174925
Spokane,Washington,4,1,0,0%,47.65726,-117.41228,2020-03-17 22:50 EDT,53,063,14.28,0.2801120448179272
Jefferson,Washington,3,0,0,0%,47.74810608,-123.6000095,2020-03-17 22:50 EDT,53,031,0.63,4.761904761904762
Kittitas,Washington,3,0,0,0%,46.98472,-120.41752,2020-03-17 22:50 EDT,53,037,2.62,1.1450381679389312
Chelan,Washington,2,2,0,0%,47.86707169100004,-120.62526766299999,2020-03-17 22:50 EDT,53,007,0.93,2.150537634408602
Grays Harbor,Washington,1,0,0,0%,47.15055235,-123.7737432,2020-03-17 22:50 EDT,53,027,2.7,0.37037037037037035
Columbia,Washington,1,0,0,0%,46.29757684,-117.9078634,2020-03-17 22:50 EDT,53,013,0.08,12.5
Lincoln,Washington,1,0,0,0%,47.57305061,-118.4177041,2020-03-17 22:50 EDT,53,043,0.09,11.11111111111111
Cowlitz,Washington,1,0,0,0%,46.19454048,-122.6783272,2020-03-17 22:50 EDT,53,015,1.21,0.8264462809917356
Lewis,Washington,1,0,0,0%,46.57779491,-122.3929158,2020-03-17 22:50 EDT,53,041,0.94,1.0638297872340425
Klickitat,Washington,1,1,0,0%,45.876409142000064,-120.79203971699995,2020-03-17 22:50 EDT,53,039,0.2,5.0
Santa Clara,California,155,17,5+1,3.2%,37.35579,-121.95508999999998,2020-03-17 22:50 EDT,06,085,30.98,5.00322788896062
Los Angeles,California,144,50,1,0.7%,34.053490000000004,-118.24532,2020-03-17 22:50 EDT,06,037,178.33,0.807491728817361
San Mateo,California,64,23,1,1.6%,37.54704,-122.31485,2020-03-17 22:50 EDT,06,081,8.82,7.256235827664399
San Diego,California,60,5,0,0%,32.71568,-117.16171,2020-03-17 22:50 EDT,06,073,108.14,0.5548363232846311
San Francisco,California,43,3,0,0%,37.77712,-122.41964,2020-03-17 22:50 EDT,06,075,24.24,1.773927392739274
Sacramento,California,40,7,2,5%,38.57944000000001,-121.49085,2020-03-17 22:50 EDT,06,067,22.16,1.8050541516245486
Contra Costa,California,39,5,0,0%,37.91793732,-121.9259354,2020-03-17 22:50 EDT,06,013,10.61,3.6757775683317626
Orange,California,29,7,0,0%,33.78787,-117.85071,2020-03-17 22:50 EDT,06,059,44.93,0.6454484754061874
Alameda,California,27,9,0,0%,37.76683,-122.2453,2020-03-17 22:50 EDT,06,001,36.42,0.7413509060955519
Riverside,California,16,1,3+1,18.8%,33.98171,-117.37404,2020-03-17 22:50 EDT,06,065,33.32,0.4801920768307323
Santa Cruz,California,13,4,0,0%,36.97424,-122.03098,2020-03-17 22:50 EDT,06,087,14.05,0.9252669039145907
San Joaquin,California,13,0,0,0%,37.93479557,-121.2713112,2020-03-17 22:50 EDT,06,077,15.02,0.8655126498002663
