County Name,State Name,Confirmed,New,Death,New Death,Fatality Rate,Latitude,Longitude,Last Update,STATEFP,COUNTYFP,Population Estimate 2018 (Ths.),Infection Rate
New York,New York,67551,4245,3048,3048,4.5%,40.71455,-74.00714,2020-04-05 22:53 EDT,36,500,8443.713,8.000153486979011
Nassau,New York,14398,1052,162,162,1.1%,40.74165225,-73.58899619,2020-04-05 22:53 EDT,36,059,1356.564,10.613579602584178
Westchester,New York,13723,642,197,197,1.4%,41.16319759,-73.7560629,2020-04-05 22:53 EDT,36,119,968.815,14.16472701186501
Suffolk,New York,13129,1759,175,175,1.3%,40.87732808,-72.85898036,2020-04-05 22:53 EDT,36,103,1487.901,8.823839758155952
Rockland,New York,5326,454,69,69,1.3%,41.152374,-74.02401032,2020-04-05 22:53 EDT,36,087,323.686,16.454217976681104
Orange,New York,3187,324,53,53,1.7%,41.40206825,-74.30559567,2020-04-05 22:53 EDT,36,071,378.227,8.426156778865602
Dutchess,New York,1077,139,8,8,0.7%,41.76477515,-73.74281684,2020-04-05 22:53 EDT,36,027,293.894,3.664586551613847
Erie,New York,1059,114,27,27,2.5%,42.76382119,-78.73224973,2020-04-05 22:53 EDT,36,029,919.866,1.151254639262675
Monroe,New York,548,36,19,19,3.5%,43.14604282,-77.69674911,2020-04-05 22:53 EDT,36,055,744.248,0.7363137018843181
Onondaga,New York,364,15,5,5,1.4%,43.00487,-76.1836,2020-04-05 22:53 EDT,36,067,464.242,0.7840738235661574
Ulster,New York,358,40,4,4,1.1%,41.95986,-73.99033,2020-04-05 22:53 EDT,36,111,179.303,1.9966202461754683
Putnam,New York,314,31,7,7,2.2%,41.42653455,-73.7494999,2020-04-05 22:53 EDT,36,079,99.070,3.1694761279903103
Albany,New York,305,12,8,8,2.6%,42.65155,-73.75520999999998,2020-04-05 22:53 EDT,36,001,307.426,0.9921086700539317
Sullivan,New York,193,0,5,5,2.6%,41.71631354,-74.76811083,2020-04-05 22:53 EDT,36,105,75.211,2.56611399928202
Saratoga,New York,150,0,1,1,0.7%,43.06974,-73.63661,2020-04-05 22:53 EDT,36,091,227.377,0.6596973308645993
Schenectady,New York,128,11,7,7,5.5%,42.81238,-73.94122,2020-04-05 22:53 EDT,36,093,154.883,0.8264302731739444
Niagara,New York,116,15,0,0,0.0%,43.19998147,-78.74522262,2020-04-05 22:53 EDT,36,063,211.704,0.5479348524354759
Oneida,New York,95,9,2,2,2.1%,43.24306498,-75.42583597,2020-04-05 22:53 EDT,36,065,230.782,0.41164388903813987
Tompkins,New York,95,0,0,0,0.0%,42.44933495,-76.47064359,2020-04-05 22:53 EDT,36,109,102.962,0.9226704997960412
Madison,New York,89,4,2,2,2.2%,42.91290749,-75.66978904,2020-04-05 22:53 EDT,36,053,71.359,1.2472147872027355
Rensselaer,New York,74,1,1,1,1.4%,42.71086263,-73.5097379,2020-04-05 22:53 EDT,36,083,159.431,0.4641506356982017
