County Name,State Name,Confirmed,New,Death,New Death,Fatality Rate,Recovered,New Recovered,Latitude,Longitude,Last Update,STATEFP,COUNTYFP,Population Estimate 2018 (Ths.),Infection Rate
New York,New York,167733,2016,17904,389,10.7%,0,0,40.71455,-74.00714,2020-04-28 21:50 EDT,36,500,8443.713,19.864839082048384
Nassau,New York,35085,220,1647,27,4.7%,2640,55,40.74165225,-73.58899619,2020-04-28 21:50 EDT,36,059,1356.564,25.863136571514506
Suffolk,New York,33418,132,1131,29,3.4%,2466,44,40.87732808,-72.85898036,2020-04-28 21:50 EDT,36,103,1487.901,22.45982763638172
Westchester,New York,28245,238,983,21,3.5%,9371,0,41.16319759,-73.7560629,2020-04-28 21:50 EDT,36,119,968.815,29.154172881303445
Rockland,New York,11453,87,481,0,4.2%,0,0,41.152374,-74.02401032,2020-04-28 21:50 EDT,36,087,323.686,35.383056418875086
Orange,New York,8374,136,299,0,3.6%,0,0,41.40206825,-74.30559567,2020-04-28 21:50 EDT,36,071,378.227,22.140143353065753
Erie,New York,3089,28,207,0,6.7%,479,0,42.76382119,-78.73224973,2020-04-28 21:50 EDT,36,029,919.866,3.358097809898398
Dutchess,New York,2817,24,36,0,1.3%,487,0,41.76477515,-73.74281684,2020-04-28 21:50 EDT,36,027,293.894,9.585088501296386
Monroe,New York,1371,40,108,0,7.9%,697,0,43.14604282,-77.69674911,2020-04-28 21:50 EDT,36,055,744.248,1.84212789285292
Ulster,New York,1289,0,24,0,1.9%,240,0,41.95986,-73.99033,2020-04-28 21:50 EDT,36,111,179.303,7.188948316536812
Albany,New York,1009,30,36,0,3.6%,0,0,42.65155,-73.75520999999998,2020-04-28 21:50 EDT,36,001,307.426,3.282090649457105
Putnam,New York,988,0,7,0,0.7%,0,0,41.42653455,-73.7494999,2020-04-28 21:50 EDT,36,079,99.070,9.972746542848492
Onondaga,New York,819,0,26,0,3.2%,518,0,43.00487,-76.1836,2020-04-28 21:50 EDT,36,067,464.242,1.764166103023854
Sullivan,New York,769,21,21,0,2.7%,420,0,41.71631354,-74.76811083,2020-04-28 21:50 EDT,36,105,75.211,10.22456821475582
