County Name,State Name,Confirmed,New,Death,New Death,Fatality Rate,Recovered,New Recovered,Latitude,Longitude,Last Update,STATEFP,COUNTYFP,Population Estimate 2018 (Ths.),Infection Rate
New York,New York,165717,2150,17515,139,10.6%,0,0,40.71455,-74.00714,2020-04-27 22:10 EDT,36,500,8443.713,19.626081559143472
Nassau,New York,34865,2743,1620,32,4.6%,2585,82,40.74165225,-73.58899619,2020-04-27 22:10 EDT,36,059,1356.564,25.70096213669241
Suffolk,New York,33286,1227,1102,37,3.3%,2422,69,40.87732808,-72.85898036,2020-04-27 22:10 EDT,36,103,1487.901,22.371112056514512
Westchester,New York,28007,343,962,16,3.4%,9371,0,41.16319759,-73.7560629,2020-04-27 22:10 EDT,36,119,968.815,28.908511945004978
Rockland,New York,11366,110,431,22,3.8%,0,0,41.152374,-74.02401032,2020-04-27 22:10 EDT,36,087,323.686,35.1142774170029
Orange,New York,8238,132,299,275,3.6%,0,0,41.40206825,-74.30559567,2020-04-27 22:10 EDT,36,071,378.227,21.780570926983003
Erie,New York,3061,65,207,0,6.8%,479,0,42.76382119,-78.73224973,2020-04-27 22:10 EDT,36,029,919.866,3.3276585937516985
Dutchess,New York,2793,64,326,1,11.7%,487,1,41.76477515,-73.74281684,2020-04-27 22:10 EDT,36,027,293.894,9.503426405438695
Monroe,New York,1331,15,108,2,8.1%,697,0,43.14604282,-77.69674911,2020-04-27 22:10 EDT,36,055,744.248,1.788382367167933
Ulster,New York,1289,99,24,1,1.9%,240,79,41.95986,-73.99033,2020-04-27 22:10 EDT,36,111,179.303,7.188948316536812
Putnam,New York,988,46,7,0,0.7%,0,0,41.42653455,-73.7494999,2020-04-27 22:10 EDT,36,079,99.070,9.972746542848492
Albany,New York,979,231,326,4,33.3%,0,0,42.65155,-73.75520999999998,2020-04-27 22:10 EDT,36,001,307.426,3.184506190107538
Onondaga,New York,819,45,76,1,9.3%,518,123,43.004870000000004,-76.1836,2020-04-27 22:10 EDT,36,067,464.242,1.764166103023854
Sullivan,New York,748,74,71,4,9.5%,470,46,41.71631354,-74.76811083,2020-04-27 22:10 EDT,36,105,75.211,9.945353738150004
Schenectady,New York,457,2,22,7,4.8%,258,50,42.81238,-73.94122,2020-04-27 22:10 EDT,36,093,154.883,2.950614334691348
Niagara,New York,410,42,71,0,17.3%,182,7,43.19998147,-78.74522262,2020-04-27 22:10 EDT,36,063,211.704,1.9366662887805615
Oneida,New York,397,123,15,1,3.8%,148,10,43.24306498,-75.42583597,2020-04-27 22:10 EDT,36,065,230.782,1.7202381468225425
