State Name,Confirmed,New,Death,New Death,Fatality Rate,Emergency,Test Positive,Test Negative,Test Pending,Total Test,Test Last Update,State FIPS,Latitude,Longitude,Last Update
New York,196146,5858,10058,673,5.1%,State of Emergency,195031,283326,,478357,4/13 00:00,36,42.165726,-74.948051,2020-04-13 22:40 EDT
New Jersey,64584,2734,2443,93,3.8%,State of Emergency,64584,64885,,129469,4/13 14:00,34,40.298904,-74.521011,2020-04-13 22:40 EDT
Massachusetts,26867,1392,844,88,3.1%,State of Emergency,26867,95182,,122049,4/13 10:00,25,42.230171,-71.530106,2020-04-13 22:40 EDT
Michigan,25635,1009,1602,115,6.2%,State of Emergency,25635,57009,,82644,4/13 11:00,26,43.326617999999996,-84.53609499999999,2020-04-13 22:40 EDT
California,24379,1078,732,50,3%,State of Emergency,22348,168534,13200,204082,4/11 00:00,06,36.116203000000006,-119.681564,2020-04-13 22:40 EDT
Pennsylvania,24336,1339,592,35,2.4%,State of Emergency,24199,105593,,129792,4/13 12:00,42,40.590752,-77.209755,2020-04-13 22:40 EDT
Illinois,22025,1173,798,78,3.6%,State of Emergency,22025,83743,,105768,4/13 00:00,17,40.349457,-88.986137,2020-04-13 22:40 EDT
Florida,21019,1126,499,38,2.4%,State of Emergency,20601,175606,1789,197996,4/13 10:31,12,27.766278999999997,-81.68678299999999,2020-04-13 22:40 EDT
Louisiana,21016,421,884,44,4.2%,State of Emergency,21016,87075,,108091,4/13 13:00,22,31.169546,-91.867805,2020-04-13 22:40 EDT
Texas,14505,621,317,26,2.2%,State of Emergency,13906,119320,,133226,4/13 12:45,48,31.054486999999998,-97.563461,2020-04-13 22:40 EDT
Georgia,13621,1071,480,38,3.5%,State of Emergency,13315,43706,,57021,4/13 11:56,13,33.040619,-83.643074,2020-04-13 22:40 EDT
Connecticut,13381,1346,602,48,4.5%,State of Emergency,13381,30928,,44309,4/13 16:00,09,41.597782,-72.755371,2020-04-13 22:40 EDT
Washington,10838,308,522,14,4.8%,State of Emergency,10411,83391,,93802,4/12 20:30,53,47.400902,-121.490494,2020-04-13 22:40 EDT
Maryland,8936,711,262,27,2.9%,State of Emergency,8936,42815,,51751,4/13 10:00,24,39.063946,-76.80210100000001,2020-04-13 22:40 EDT
Indiana,8368,444,353,10,4.2%,State of Emergency,8236,36303,,44539,4/12 23:59,18,39.849426,-86.258278,2020-04-13 22:40 EDT
Colorado,7696,389,308,18,4%,State of Emergency,7684,29850,,37534,4/12 00:00,08,39.059810999999996,-105.311104,2020-04-13 22:40 EDT
Ohio,6975,376,274,21,3.9%,State of Emergency,6975,58137,,65112,4/13 14:00,39,40.388783000000004,-82.764915,2020-04-13 22:40 EDT
Virginia,5747,473,149,8,2.6%,State of Emergency,5747,35654,473,41874,4/12 17:00,51,37.769337,-78.16996800000001,2020-04-13 22:40 EDT
Tennessee,5610,264,109,8,1.9%,State of Emergency,5610,70585,,76195,4/13 15:00,47,35.747845,-86.69234499999999,2020-04-13 22:40 EDT
North Carolina,4887,286,99,9,2%,State of Emergency,4816,58572,,63388,4/13 11:00,37,35.630066,-79.80641899999999,2020-04-13 22:40 EDT
Missouri,4515,243,123,5,2.7%,State of Emergency,4388,41040,,45428,4/12 15:00,29,38.456084999999995,-92.288368,2020-04-13 22:40 EDT
Alabama,3803,223,103,10,2.7%,State of Emergency,3734,25448,,29182,4/13 00:00,01,32.806671,-86.79113000000001,2020-04-13 22:40 EDT
Arizona,3705,163,122,7,3.3%,State of Emergency,3702,39645,,43347,4/13 00:00,04,33.729759,-111.431221,2020-04-13 22:40 EDT
South Carolina,3439,126,87,5,2.5%,State of Emergency,3319,28106,,31425,4/12 15:30,45,33.856891999999995,-80.94500699999999,2020-04-13 22:40 EDT
Wisconsin,3428,87,154,11,4.5%,State of Emergency,3428,36769,273,40470,4/12 09:46,55,44.268543,-89.616508,2020-04-13 22:40 EDT
Nevada,3029,193,120,7,4%,State of Emergency,2971,22493,,25464,4/13 10:00,32,38.313515,-117.055374,2020-04-13 22:40 EDT
Rhode Island,2976,311,73,10,2.5%,State of Emergency,2976,17685,,20661,4/12 00:00,44,41.680893,-71.51178,2020-04-13 22:40 EDT
Mississippi,2942,161,98,2,3.3%,State of Emergency,2942,28042,,30984,4/13 16:00,28,32.741646,-89.678696,2020-04-13 22:40 EDT
Utah,2363,60,18,0,0.8%,State of Emergency,2363,43424,,45787,4/13 15:00,49,40.150032,-111.86243400000001,2020-04-13 22:40 EDT
Kentucky,2078,60,113,0,5.4%,State of Emergency,1963,23903,,25866,4/12 17:00,21,37.66814,-84.670067,2020-04-13 22:40 EDT
Oklahoma,2069,99,99,3,4.8%,State of Emergency,2069,20790,,22859,4/13 08:00,40,35.565342,-96.928917,2020-04-13 22:40 EDT
District of Columbia,1955,80,52,2,2.7%,State of Emergency,1955,8979,,10934,4/13 00:00,11,38.897438,-77.02681700000001,2020-04-13 22:40 EDT
Delaware,1761,136,41,6,2.3%,State of Emergency,1625,10195,,11820,4/12 17:00,10,39.318523,-75.507141,2020-04-13 22:40 EDT
Iowa,1710,123,43,2,2.5%,State of Emergency,1710,16986,,18696,4/12 00:00,19,42.011539,-93.210526,2020-04-13 22:40 EDT
Minnesota,1650,29,70,0,4.2%,State of Emergency,1650,36777,,38427,4/12 17:00,27,45.694454,-93.900192,2020-04-13 22:40 EDT
Oregon,1584,57,53,1,3.3%,State of Emergency,1584,29537,,31121,4/13 11:00,41,44.572021,-122.07093799999998,2020-04-13 22:40 EDT
Arkansas,1475,202,30,3,2%,State of Emergency,1410,19394,,20804,4/13 13:33,05,34.969704,-92.37312299999999,2020-04-13 22:40 EDT
Idaho,1464,38,27,0,1.8%,State of Emergency,1426,13455,,14881,4/12 19:00,16,44.240459,-114.47882800000001,2020-04-13 22:40 EDT
Kansas,1390,53,62,6,4.5%,State of Emergency,1376,12488,,13864,4/13 11:30,20,38.5266,-96.726486,2020-04-13 22:40 EDT
New Mexico,1345,101,31,5,2.3%,State of Emergency,1245,29270,,30515,4/12 00:00,35,34.840515,-106.24848200000001,2020-04-13 22:40 EDT
New Hampshire,1020,35,23,0,2.3%,State of Emergency,985,10222,125,11332,4/12 09:00,33,43.452492,-71.563896,2020-04-13 22:40 EDT
Puerto Rico,903,6,45,1,5%,State of Emergency,903,5960,1288,8151,4/13 06:00,72,18.24914,-66.62804,2020-04-13 22:40 EDT
South Dakota,868,138,6,0,0.7%,State of Emergency,868,8134,0,9002,4/12 18:00,46,44.299782,-99.438828,2020-04-13 22:40 EDT
Nebraska,853,46,18,1,2.1%,State of Emergency,814,10158,,10972,4/12 20:20,31,41.125370000000004,-98.26808199999999,2020-04-13 22:40 EDT
Navajo Nation,813,135,28,4,3.4%,State of Emergency,,,,,,,,,2020-04-13 22:40 EDT
Vermont,748,21,28,1,3.7%,State of Emergency,748,9618,,10366,4/13 09:05,50,44.045876,-72.710686,2020-04-13 22:40 EDT
