State Name,Confirmed,New,Death,New Death,Fatality Rate,Emergency,Test Positive,Test Negative,Test Pending,Total Test,Test Last Update,State FIPS,Latitude,Longitude,Last Update
New York,92743,8697,2408,256,2.6%,State of Emergency,92381,146584,,238965,4/02 11:45,36,42.165726,-74.948051,2020-04-02 22:55 EDT
New Jersey,25590,3335,537,182,2.1%,State of Emergency,25590,33520,,59110,4/02 13:00,34,40.298904,-74.521011,2020-04-02 22:55 EDT
California,11096,1124,242,13,2.2%,State of Emergency,9191,23809,59500,92500,4/02 00:00,06,36.116203000000006,-119.681564,2020-04-02 22:55 EDT
Michigan,10791,1466,417,82,3.9%,State of Emergency,10791,11893,,22684,4/02 11:00,26,43.326617999999996,-84.53609499999999,2020-04-02 22:55 EDT
Louisiana,9159,2735,310,41,3.4%,State of Emergency,9150,41936,,51086,4/02 13:00,22,31.169546,-91.867805,2020-04-02 22:55 EDT
Florida,9008,1458,144,45,1.6%,State of Emergency,8010,69286,1285,78581,4/02 11:01,12,27.766278999999997,-81.68678299999999,2020-04-02 22:55 EDT
Massachusetts,8966,1228,154,32,1.7%,State of Emergency,8966,47642,,56608,4/02 16:00,25,42.230171,-71.530106,2020-04-02 22:55 EDT
Illinois,7697,717,168,22,2.2%,State of Emergency,7695,35961,,43656,4/02 00:00,17,40.349457,-88.986137,2020-04-02 22:55 EDT
Pennsylvania,7268,1126,90,16,1.2%,State of Emergency,7016,47698,,54714,4/02 12:00,42,40.590752,-77.209755,2020-04-02 22:55 EDT
Washington,6588,604,271,17,4.1%,State of Emergency,5984,68814,,74798,4/01 20:00,53,47.400902,-121.490494,2020-04-02 22:55 EDT
Georgia,5444,698,176,22,3.2%,State of Emergency,5348,17609,,22957,4/02 11:28,13,33.040619,-83.643074,2020-04-02 22:55 EDT
Texas,5119,518,81,13,1.6%,State of Emergency,4669,46010,,50679,4/01 21:00,48,31.054486999999998,-97.563461,2020-04-02 22:55 EDT
Connecticut,3824,267,112,28,2.9%,State of Emergency,3824,14476,,18300,4/02 15:30,09,41.597782,-72.755371,2020-04-02 22:55 EDT
Colorado,3728,404,97,17,2.6%,State of Emergency,3342,15303,,18645,4/01 18:00,08,39.059810999999996,-105.311104,2020-04-02 22:55 EDT
Indiana,3039,471,78,13,2.6%,State of Emergency,3039,13246,,16285,4/01 23:59,18,39.849426,-86.258278,2020-04-02 22:55 EDT
Ohio,2901,355,81,16,2.8%,State of Emergency,2902,32016,,34918,4/02 14:00,39,40.388783000000004,-82.764915,2020-04-02 22:55 EDT
Tennessee,2847,164,36,11,1.3%,State of Emergency,2845,31766,,34611,4/02 15:00,47,35.747845,-86.69234499999999,2020-04-02 22:55 EDT
Maryland,2331,345,36,5,1.5%,State of Emergency,2331,18890,,21221,4/02 10:00,24,39.063946,-76.80210100000001,2020-04-02 22:55 EDT
North Carolina,2033,261,21,5,1%,State of Emergency,1857,26822,,28679,4/02 14:00,37,35.630066,-79.80641899999999,2020-04-02 22:55 EDT
Missouri,1860,184,22,0,1.2%,State of Emergency,1834,17849,,19683,4/02 15:00,29,38.456084999999995,-92.288368,2020-04-02 22:55 EDT
Wisconsin,1748,175,38,10,2.2%,State of Emergency,1730,20317,,22047,4/02 16:00,55,44.268543,-89.616508,2020-04-02 22:55 EDT
Virginia,1706,221,41,6,2.4%,State of Emergency,1706,15883,,17589,4/02 09:00,51,37.769337,-78.16996800000001,2020-04-02 22:55 EDT
Arizona,1598,185,32,2,2%,State of Emergency,1598,21111,,22709,4/02 00:00,04,33.729759,-111.431221,2020-04-02 22:55 EDT
South Carolina,1554,261,31,5,2%,State of Emergency,1554,5441,,6995,4/02 16:04,45,33.856891999999995,-80.94500699999999,2020-04-02 22:55 EDT
Nevada,1484,185,38,6,2.6%,State of Emergency,1458,12588,,14046,4/02 09:30,32,38.313515,-117.055374,2020-04-02 22:55 EDT
Alabama,1270,164,32,4,2.5%,State of Emergency,1233,7503,,8736,4/02 00:00,01,32.806671,-86.79113000000001,2020-04-02 22:55 EDT
Mississippi,1177,110,26,4,2.2%,State of Emergency,1177,4753,,5930,4/01 19:00,28,32.741646,-89.678696,2020-04-02 22:55 EDT
Utah,1088,76,7,0,0.6%,State of Emergency,1074,19991,,21065,4/02 15:00,49,40.150032,-111.86243400000001,2020-04-02 22:55 EDT
Idaho,891,229,9,0,1%,State of Emergency,669,6613,,7282,4/01 19:00,16,44.240459,-114.47882800000001,2020-04-02 22:55 EDT
Oklahoma,881,160,34,5,3.9%,State of Emergency,879,1265,,2144,4/01 08:00,40,35.565342,-96.928917,2020-04-02 22:55 EDT
Oregon,826,91,21,2,2.5%,State of Emergency,736,14132,,14868,4/01 11:00,41,44.572021,-122.07093799999998,2020-04-02 22:55 EDT
Kentucky,770,83,31,11,4%,State of Emergency,680,7220,,7900,4/01 17:00,21,37.66814,-84.670067,2020-04-02 22:55 EDT
Minnesota,742,54,18,1,2.4%,State of Emergency,742,21652,,22394,4/02 12:00,27,45.694454,-93.900192,2020-04-02 22:55 EDT
Arkansas,683,60,12,2,1.8%,State of Emergency,643,7880,,8523,4/02 14:45,05,34.969704,-92.37312299999999,2020-04-02 22:55 EDT
Rhode Island,657,91,12,2,1.8%,State of Emergency,657,4412,,5069,4/02 15:58,44,41.680893,-71.51178,2020-04-02 22:55 EDT
District of Columbia,653,67,12,1,1.8%,State of Emergency,653,4417,,5070,4/02 09:00,11,38.897438,-77.02681700000001,2020-04-02 22:55 EDT
Iowa,614,62,11,2,1.8%,State of Emergency,614,8054,,8668,4/02 00:00,19,42.011539,-93.210526,2020-04-02 22:55 EDT
Kansas,553,62,14,2,2.5%,State of Emergency,552,6059,,6611,4/02 12:00,20,38.5266,-96.726486,2020-04-02 22:55 EDT
New Hampshire,479,64,5,1,1%,State of Emergency,415,6078,126,6619,4/01 09:00,33,43.452492,-71.563896,2020-04-02 22:55 EDT
New Mexico,403,40,7,1,1.7%,State of Emergency,363,13648,,14011,4/01 00:00,35,34.840515,-106.24848200000001,2020-04-02 22:55 EDT
Delaware,393,25,12,2,3.1%,State of Emergency,393,4566,,4959,4/02 16:45,10,39.318523,-75.507141,2020-04-02 22:55 EDT
Maine,376,32,7,0,1.9%,State of Emergency,376,6088,,6464,4/02 10:00,23,44.693946999999994,-69.381927,2020-04-02 22:55 EDT
Vermont,338,18,17,1,5%,State of Emergency,338,4711,,5049,4/02 13:00,50,44.045876,-72.710686,2020-04-02 22:55 EDT
Puerto Rico,316,30,12,1,3.8%,State of Emergency,316,1604,1119,3039,4/02 07:00,72,18.24914,-66.62804,2020-04-02 22:55 EDT
Hawaii,283,27,2,1,0.7%,State of Emergency,258,10206,18,10482,4/01 18:00,15,21.094317999999998,-157.49833700000002,2020-04-02 22:55 EDT
Nebraska,246,32,5,0,2%,State of Emergency,246,3978,11,4235,4/02 14:00,31,41.125370000000004,-98.26808199999999,2020-04-02 22:55 EDT
Montana,241,27,5,0,2.1%,State of Emergency,227,5093,,5320,4/02 10:00,30,46.921925,-110.454353,2020-04-02 22:55 EDT
West Virginia,216,27,2,0,0.9%,State of Emergency,217,5276,,5493,4/02 00:17,54,38.491226,-80.954453,2020-04-02 22:55 EDT
South Dakota,165,36,2,0,1.2%,State of Emergency,165,4217,0,4382,4/01 18:00,46,44.299782,-99.438828,2020-04-02 22:55 EDT
North Dakota,159,12,3,0,1.9%,State of Emergency,159,4821,,4980,4/02 12:56,38,47.528912,-99.784012,2020-04-02 22:55 EDT
Wyoming,153,16,0,0,0%,State of Emergency,150,2439,,2589,4/02 10:30,56,42.755966,-107.30248999999999,2020-04-02 22:55 EDT
Navajo Nation,148,0,5,0,3.4%,State of Emergency,,,,,,,,,2020-04-02 22:55 EDT
Alaska,143,0,3,0,2.1%,State of Emergency,143,4879,,5022,4/01 21:00,02,61.370716,-152.404419,2020-04-02 22:55 EDT
Guam,82,5,3,0,3.7%,State of Emergency,82,442,,524,4/02 08:30,66,13.421129,144.73972,2020-04-02 22:55 EDT
US Virgin Islands,30,0,0,0,0%,State of Emergency,33,149,42,224,4/02 09:30,78,17.752625,-64.73541999999999,2020-04-02 22:55 EDT
Northern Mariana Islands,6,0,1,0,16.7%,State of Emergency,8,13,12,33,4/02 03:00,,,,2020-04-02 22:55 EDT
