State Name,Confirmed,New,Death,New Death,Fatality Rate,Emergency,Test Positive,Test Negative,Test Pending,Total Test,Test Last Update,State FIPS,Latitude,Longitude,Last Update
New York,67384,7930,1227,201,1.8%,State of Emergency,66497,119971,,186468,3/29 09:16,36,42.165726,-74.948051,2020-03-30 22:53 EDT
New Jersey,16636,3250,198,37,1.2%,State of Emergency,16636,25224,,41860,3/29 13:30,34,40.298904,-74.521011,2020-03-30 22:53 EDT
California,7385,1032,146,14,2%,State of Emergency,6447,21488,56550,84485,3/30 00:00,06,36.116203000000006,-119.681564,2020-03-30 22:53 EDT
Michigan,6498,1011,185,53,2.8%,State of Emergency,6498,11893,,18391,3/30 16:00,26,43.326617999999996,-84.53609499999999,2020-03-30 22:53 EDT
Massachusetts,5752,797,56,8,1%,State of Emergency,5752,37041,,42793,3/30 16:15,25,42.230171,-71.530106,2020-03-30 22:53 EDT
Florida,5704,756,71,11,1.2%,State of Emergency,5473,48225,,53698,3/30 11:30,12,27.766278999999997,-81.68678299999999,2020-03-30 22:53 EDT
Washington,5187,291,219,15,4.2%,State of Emergency,4896,60566,,65462,3/29 02:59,53,47.400902,-121.490494,2020-03-30 22:53 EDT
Illinois,5057,468,73,7,1.4%,State of Emergency,5057,25389,,30446,3/29 00:00,17,40.349457,-88.986137,2020-03-30 22:53 EDT
Pennsylvania,4155,691,50,7,1.2%,State of Emergency,4087,33777,,37864,3/30 12:00,42,40.590752,-77.209755,2020-03-30 22:53 EDT
Louisiana,4025,485,185,34,4.6%,State of Emergency,4025,30008,,34033,3/30 13:00,22,31.169546,-91.867805,2020-03-30 22:53 EDT
Texas,3292,441,46,7,1.4%,State of Emergency,2877,33003,,35880,3/30 12:45,48,31.054486999999998,-97.563461,2020-03-30 22:53 EDT
Georgia,3032,412,102,21,3.4%,State of Emergency,2809,9915,,12724,3/30 11:28,13,33.040619,-83.643074,2020-03-30 22:53 EDT
Colorado,2627,343,51,6,1.9%,State of Emergency,2627,12737,,15364,3/30 17:00,08,39.059810999999996,-105.311104,2020-03-30 22:53 EDT
Connecticut,2571,578,36,2,1.4%,State of Emergency,2571,12029,,14600,3/30 11:30,09,41.597782,-72.755371,2020-03-30 22:53 EDT
Tennessee,1953,173,14,2,0.7%,State of Emergency,1834,21470,,23304,3/30 15:00,47,35.747845,-86.69234499999999,2020-03-30 22:53 EDT
Ohio,1933,282,40,12,2.1%,State of Emergency,1933,25342,,27275,3/30 14:00,39,40.388783000000004,-82.764915,2020-03-30 22:53 EDT
Indiana,1787,273,35,4,2%,State of Emergency,1786,9872,,11658,3/29 12:59,18,39.849426,-86.258278,2020-03-30 22:53 EDT
Maryland,1413,174,15,0,1.1%,State of Emergency,1413,13316,,14729,3/30 10:00,24,39.063946,-76.80210100000001,2020-03-30 22:53 EDT
North Carolina,1346,147,8,1,0.6%,State of Emergency,1307,19557,,20864,3/30 11:00,37,35.630066,-79.80641899999999,2020-03-30 22:53 EDT
Wisconsin,1285,120,24,6,1.9%,State of Emergency,1221,15856,,17077,3/30 16:00,55,44.268543,-89.616508,2020-03-30 22:53 EDT
Arizona,1157,238,20,3,1.7%,State of Emergency,1157,15602,,16759,3/30 00:00,04,33.729759,-111.431221,2020-03-30 22:53 EDT
Missouri,1110,191,13,0,1.2%,State of Emergency,1031,13204,,14235,3/30 16:00,29,38.456084999999995,-92.288368,2020-03-30 22:53 EDT
Virginia,1020,134,25,1,2.5%,State of Emergency,1020,11018,,12038,3/30 00:00,51,37.769337,-78.16996800000001,2020-03-30 22:53 EDT
Nevada,1008,88,17,2,1.7%,State of Emergency,1008,10207,,11215,3/30 12:00,32,38.313515,-117.055374,2020-03-30 22:53 EDT
Alabama,947,121,11,0,1.2%,State of Emergency,859,5694,,6553,3/29 00:00,01,32.806671,-86.79113000000001,2020-03-30 22:53 EDT
South Carolina,925,151,18,2,1.9%,State of Emergency,925,4160,,5085,3/30 16:00,45,33.856891999999995,-80.94500699999999,2020-03-30 22:53 EDT
Mississippi,847,89,16,2,1.9%,State of Emergency,847,2989,,3836,3/29 19:00,28,32.741646,-89.678696,2020-03-30 22:53 EDT
Utah,806,112,4,0,0.5%,State of Emergency,806,15197,,16003,3/30 15:00,49,40.150032,-111.86243400000001,2020-03-30 22:53 EDT
Oregon,606,57,16,3,2.6%,State of Emergency,606,12277,,12883,3/30 11:00,41,44.572021,-122.07093799999998,2020-03-30 22:53 EDT
Minnesota,576,73,10,1,1.7%,State of Emergency,576,18246,,18822,3/30 00:00,27,45.694454,-93.900192,2020-03-30 22:53 EDT
Arkansas,508,55,7,1,1.4%,State of Emergency,473,5262,,5735,3/30 15:42,05,34.969704,-92.37312299999999,2020-03-30 22:53 EDT
District of Columbia,495,94,9,0,1.8%,State of Emergency,401,2682,2,3085,3/29 20:45,11,38.897438,-77.02681700000001,2020-03-30 22:53 EDT
Kentucky,491,52,11,2,2.2%,State of Emergency,439,5579,,6018,3/29 17:00,21,37.66814,-84.670067,2020-03-30 22:53 EDT
Oklahoma,483,52,17,1,3.5%,State of Emergency,481,1207,,1688,3/30 08:00,40,35.565342,-96.928917,2020-03-30 22:53 EDT
Idaho,431,106,8,2,1.9%,State of Emergency,310,4396,,4706,3/29 19:00,16,44.240459,-114.47882800000001,2020-03-30 22:53 EDT
Iowa,424,88,6,0,1.4%,State of Emergency,424,6162,,6586,3/30 00:00,19,42.011539,-93.210526,2020-03-30 22:53 EDT
Rhode Island,408,114,4,1,1%,State of Emergency,408,3187,,3595,3/30 00:00,44,41.680893,-71.51178,2020-03-30 22:53 EDT
Kansas,374,44,8,1,2.1%,State of Emergency,368,4554,,4922,3/30 11:00,20,38.5266,-96.726486,2020-03-30 22:53 EDT
New Hampshire,314,56,3,0,1%,State of Emergency,314,5386,144,5844,3/29 09:00,33,43.452492,-71.563896,2020-03-30 22:53 EDT
New Mexico,281,44,4,2,1.4%,State of Emergency,237,10942,,11179,3/29 00:00,35,34.840515,-106.24848200000001,2020-03-30 22:53 EDT
Maine,275,22,3,0,1.1%,State of Emergency,275,3394,,3669,3/30 12:00,23,44.693946999999994,-69.381927,2020-03-30 22:53 EDT
Delaware,264,32,7,1,2.7%,State of Emergency,264,2216,,2480,3/30 00:00,10,39.318523,-75.507141,2020-03-30 22:53 EDT
Vermont,256,21,12,0,4.7%,State of Emergency,256,3674,,3930,3/30 13:00,50,44.045876,-72.710686,2020-03-30 22:53 EDT
Hawaii,204,29,0,0,0%,State of Emergency,175,7825,13,8013,3/29 18:00,15,21.094317999999998,-157.49833700000002,2020-03-30 22:53 EDT
Montana,177,16,5,3,2.8%,State of Emergency,171,3961,,4132,3/30 10:00,30,46.921925,-110.454353,2020-03-30 22:53 EDT
Puerto Rico,174,47,7,2,4%,State of Emergency,174,931,794,1899,3/30 07:00,72,18.24914,-66.62804,2020-03-30 22:53 EDT
Nebraska,153,33,2,0,1.3%,State of Emergency,145,2584,5,2734,3/30 14:30,31,41.125370000000004,-98.26808199999999,2020-03-30 22:53 EDT
West Virginia,145,22,1,0,0.7%,State of Emergency,126,2984,0,3110,3/30 14:10,54,38.491226,-80.954453,2020-03-30 22:53 EDT
Alaska,114,0,3,0,2.6%,State of Emergency,114,3540,,3654,3/29 19:00,02,61.370716,-152.404419,2020-03-30 22:53 EDT
North Dakota,109,12,3,2,2.8%,State of Emergency,109,3728,,3837,3/30 12:00,38,47.528912,-99.784012,2020-03-30 22:53 EDT
South Dakota,101,11,1,0,1%,State of Emergency,101,3478,0,3579,3/30 12:30,46,44.299782,-99.438828,2020-03-30 22:53 EDT
Wyoming,94,7,0,0,0%,State of Emergency,94,1840,,1934,3/30 00:00,56,42.755966,-107.30248999999999,2020-03-30 22:53 EDT
Guam,58,2,1,0,1.7%,State of Emergency,58,352,,410,3/30 04:30,66,13.421129,144.73972,2020-03-30 22:53 EDT
US Virgin Islands,30,7,0,0,0%,State of Emergency,30,126,24,180,3/30 11:00,78,17.752625,-64.73541999999999,2020-03-30 22:53 EDT
Northern Mariana Islands,2,0,0,0,0%,State of Emergency,2,,,2,3/30 01:30,,,,2020-03-30 22:53 EDT
