County Name,State Name,Confirmed,New,Death,New Death,Fatality Rate,Recovered,New Recovered,Latitude,Longitude,Last Update,STATEFP,COUNTYFP,Population Estimate 2018 (Ths.),Infection Rate
New York,New York,174921,2141,18399,121,10.5%,0,0,40.71455,-74.00714,2020-05-01 22:15 EDT,36,500,8443.713,20.71612334526292
Nassau,New York,36161,307,1720,20,4.8%,2770,130,40.74165225,-73.58899619,2020-05-01 22:15 EDT,36,059,1356.564,26.656316989098933
Suffolk,New York,35280,478,1203,26,3.4%,2789,98,40.87732808,-72.85898036,2020-05-01 22:15 EDT,36,103,1487.901,23.71125498269038
Westchester,New York,29232,262,1049,18,3.6%,9371,0,41.16319759,-73.7560629,2020-05-01 22:15 EDT,36,119,968.815,30.172943234776504
Rockland,New York,11812,104,519,8,4.4%,0,0,41.152374,-74.02401032,2020-05-01 22:15 EDT,36,087,323.686,36.492155978324675
Orange,New York,9038,128,329,9,3.6%,0,0,41.40206825,-74.30559567,2020-05-01 22:15 EDT,36,071,378.227,23.895702845116823
Erie,New York,3481,71,266,0,7.6%,479,0,42.76382119,-78.73224973,2020-05-01 22:15 EDT,36,029,919.866,3.784246835952193
Dutchess,New York,3002,48,37,0,1.2%,693,37,41.76477515,-73.74281684,2020-05-01 22:15 EDT,36,027,293.894,10.214567156866082
Monroe,New York,1478,37,121,6,8.2%,697,0,43.14604282,-77.69674911,2020-05-01 22:15 EDT,36,055,744.248,1.9858971740602593
Ulster,New York,1358,49,37,7,2.7%,535,165,41.95986,-73.99033,2020-05-01 22:15 EDT,36,111,179.303,7.573771771805268
Albany,New York,1204,39,44,3,3.7%,0,0,42.65155,-73.75520999999998,2020-05-01 22:15 EDT,36,001,307.426,3.916389635229291
Putnam,New York,1115,48,7,0,0.6%,0,0,41.42653455,-73.7494999,2020-05-01 22:15 EDT,36,079,99.070,11.254668416271324
Onondaga,New York,947,71,34,4,3.6%,574,24,43.00487,-76.1836,2020-05-01 22:15 EDT,36,067,464.242,2.0398843706515137
Sullivan,New York,887,49,22,0,2.5%,501,63,41.71631354,-74.76811083,2020-05-01 22:15 EDT,36,105,75.211,11.793487654731356
Schenectady,New York,514,13,27,5,5.3%,318,60,42.81238,-73.94122,2020-05-01 22:15 EDT,36,093,154.883,3.3186340657141202
Niagara,New York,488,68,25,4,5.1%,234,52,43.19998147,-78.74522262,2020-05-01 22:15 EDT,36,063,211.704,2.305105241280278
Oneida,New York,451,12,17,2,3.8%,182,34,43.24306498,-75.42583597,2020-05-01 22:15 EDT,36,065,230.782,1.9542251995389588
Saratoga,New York,358,4,11,0,3.1%,121,0,43.06974,-73.63661,2020-05-01 22:15 EDT,36,091,227.377,1.5744776296635103
Broome,New York,299,15,22,0,7.4%,182,10,42.16021802,-75.81964586,2020-05-01 22:15 EDT,36,007,194.402,1.538050020061522
Rensselaer,New York,298,11,11,0,3.7%,146,0,42.71086263,-73.5097379,2020-05-01 22:15 EDT,36,083,159.431,1.869147154568434
Steuben,New York,231,6,37,2,16.0%,104,0,42.26782685,-77.38382596,2020-05-01 22:15 EDT,36,101,96.927,2.3832368689838743
Columbia,New York,210,40,13,0,6.2%,94,13,42.25001078,-73.63186134,2020-05-01 22:15 EDT,36,021,60.919,3.447200380833566
Warren,New York,182,6,0,0,0.0%,0,0,43.5592099,-73.85881158,2020-05-01 22:15 EDT,36,113,64.480,2.82258064516129
St. Lawrence,New York,176,0,0,0,0.0%,0,0,44.17727,-76.16771999999997,2020-05-01 22:15 EDT,36,089,109.558,1.6064550283867907
Washington,New York,170,22,6,4,3.5%,71,18,43.31227113,-73.43096234,2020-05-01 22:15 EDT,36,115,61.828,2.749563304651614
Madison,New York,169,36,5,0,3.0%,113,5,42.91290749,-75.66978904,2020-05-01 22:15 EDT,36,053,71.359,2.3683067307557564
Greene,New York,155,24,5,0,3.2%,104,26,42.27654571,-74.12261588,2020-05-01 22:15 EDT,36,039,47.617,3.255139971018754
Genesee,New York,154,1,3,0,1.9%,81,9,43.00094016,-78.1936949,2020-05-01 22:15 EDT,36,037,58.112,2.6500550660792954
Tompkins,New York,132,2,0,0,0.0%,100,3,42.44933495,-76.47064359,2020-05-01 22:15 EDT,36,109,102.962,1.2820263786639732
Chemung,New York,123,1,1,0,0.8%,10,0,42.1411881,-76.76001059999999,2020-05-01 22:15 EDT,36,015,85.740,1.4345696291112666
Tioga,New York,103,5,10,0,9.7%,32,2,42.06057,-76.34519,2020-05-01 22:15 EDT,36,107,49.045,2.1001121419104902
Chenango,New York,99,1,0,0,0.0%,0,0,42.49349443,-75.61153709999998,2020-05-01 22:15 EDT,36,017,48.348,2.047654504839911
Orleans,New York,96,7,13,4,13.5%,31,7,43.252100586000005,-78.23124678499991,2020-05-01 22:15 EDT,36,073,41.175,2.3315118397085612
Ontario,New York,91,1,9,0,9.9%,47,0,42.85288942,-77.29981098,2020-05-01 22:15 EDT,36,069,109.472,0.831262788658287
Fulton,New York,75,4,0,0,0.0%,0,0,43.11240266,-74.43516277,2020-05-01 22:15 EDT,36,035,53.743,1.3955305807267924
Livingston,New York,73,4,5,0,6.8%,41,11,42.72808354,-77.77543855,2020-05-01 22:15 EDT,36,051,63.907,1.1422848827202028
Delaware,New York,72,4,4,0,5.6%,45,6,42.19804334,-74.96635196,2020-05-01 22:15 EDT,36,025,45.502,1.582348028658081
Wayne,New York,72,1,1,0,1.4%,46,11,42.474131,-77.09816,2020-05-01 22:15 EDT,36,117,90.856,0.7924627982741921
Wyoming,New York,68,1,5,0,7.4%,47,14,42.70242659,-78.22443261,2020-05-01 22:15 EDT,36,121,40.565,1.6763219524220387
