State Name,Confirmed,New,Death,New Death,Fatality Rate,Emergency,Test Positive,Test Negative,Test Pending,Total Test,Test Last Update,State FIPS,Latitude,Longitude,Last Update
New York,114174,11016,3565,814,3.1%,State of Emergency,113704,169917,,283621,4/03 11:00,36,42.165726,-74.948051,2020-04-04 22:48 EDT
New Jersey,34124,4229,846,200,2.5%,State of Emergency,34124,41232,,75356,4/04 13:00,34,40.298904,-74.521011,2020-04-04 22:48 EDT
Michigan,14225,1481,540,61,3.8%,State of Emergency,14225,11893,,26118,4/04 11:00,26,43.326617999999996,-84.53609499999999,2020-04-04 22:48 EDT
California,13878,1311,322,41,2.3%,State of Emergency,12026,101674,13000,126700,4/02 00:00,06,36.116203000000006,-119.681564,2020-04-04 22:48 EDT
Louisiana,12496,2216,409,43,3.3%,State of Emergency,12496,46002,,58498,4/04 13:40,22,31.169546,-91.867805,2020-04-04 22:48 EDT
Massachusetts,11736,1334,216,24,1.8%,State of Emergency,11736,57064,,68800,4/04 12:30,25,42.230171,-71.530106,2020-04-04 22:48 EDT
Florida,11545,1277,195,25,1.7%,State of Emergency,11111,90956,1281,103348,4/04 09:51,12,27.766278999999997,-81.68678299999999,2020-04-04 22:48 EDT
Pennsylvania,10444,1874,136,34,1.3%,State of Emergency,10017,60013,,70030,4/04 12:00,42,40.590752,-77.209755,2020-04-04 22:48 EDT
Illinois,10359,1455,244,34,2.4%,State of Emergency,10357,43224,,53581,4/04 00:00,17,40.349457,-88.986137,2020-04-04 22:48 EDT
Washington,7632,665,318,23,4.2%,State of Emergency,6966,75633,,82599,4/03 18:55,53,47.400902,-121.490494,2020-04-04 22:48 EDT
Texas,6838,780,122,18,1.8%,State of Emergency,6110,57641,,63751,4/03 21:00,48,31.054486999999998,-97.563461,2020-04-04 22:48 EDT
Georgia,6383,419,208,10,3.3%,State of Emergency,6160,20134,,26294,4/04 11:27,13,33.040619,-83.643074,2020-04-04 22:48 EDT
Connecticut,5276,362,165,34,3.1%,State of Emergency,5276,16753,,22029,4/04 13:00,09,41.597782,-72.755371,2020-04-04 22:48 EDT
Colorado,4565,384,126,15,2.8%,State of Emergency,4173,17898,,22071,4/03 18:00,08,39.059810999999996,-105.311104,2020-04-04 22:48 EDT
Indiana,3953,516,116,14,2.9%,State of Emergency,3953,15847,,19800,4/02 23:59,18,39.849426,-86.258278,2020-04-04 22:48 EDT
Ohio,3739,442,102,12,2.7%,State of Emergency,3739,38132,,41871,4/04 14:00,39,40.388783000000004,-82.764915,2020-04-04 22:48 EDT
Tennessee,3322,254,50,6,1.5%,State of Emergency,3321,38070,,41391,4/04 15:00,47,35.747845,-86.69234499999999,2020-04-04 22:48 EDT
Maryland,3172,414,54,11,1.7%,State of Emergency,3125,22485,,25610,4/04 10:00,24,39.063946,-76.80210100000001,2020-04-04 22:48 EDT
North Carolina,2507,171,34,4,1.4%,State of Emergency,2402,36371,,38773,4/04 11:00,37,35.630066,-79.80641899999999,2020-04-04 22:48 EDT
Virginia,2407,383,52,5,2.2%,State of Emergency,2407,19145,,21552,4/03 17:00,51,37.769337,-78.16996800000001,2020-04-04 22:48 EDT
Missouri,2342,185,43,10,1.8%,State of Emergency,2291,22614,,24905,4/04 15:00,29,38.456084999999995,-92.288368,2020-04-04 22:48 EDT
Wisconsin,2128,130,60,9,2.8%,State of Emergency,2112,23859,,25971,4/04 04:00,55,44.268543,-89.616508,2020-04-04 22:48 EDT
Arizona,2019,250,52,11,2.6%,State of Emergency,2019,25141,,27160,4/04 00:00,04,33.729759,-111.431221,2020-04-04 22:48 EDT
South Carolina,1917,217,40,6,2.1%,State of Emergency,1917,16397,,18314,4/04 15:54,45,33.856891999999995,-80.94500699999999,2020-04-04 22:48 EDT
Nevada,1742,175,46,3,2.6%,State of Emergency,1742,14421,,16163,4/04 09:30,32,38.313515,-117.055374,2020-04-04 22:48 EDT
Alabama,1633,101,44,6,2.7%,State of Emergency,1580,9273,,10853,4/04 00:00,01,32.806671,-86.79113000000001,2020-04-04 22:48 EDT
Mississippi,1455,97,35,6,2.4%,State of Emergency,1455,5133,,6588,4/03 19:00,28,32.741646,-89.678696,2020-04-04 22:48 EDT
Utah,1429,181,8,0,0.6%,State of Emergency,1428,26615,,28043,4/04 15:00,49,40.150032,-111.86243400000001,2020-04-04 22:48 EDT
