County Name,State Name,Confirmed,New,Death,New Death,Fatality Rate,Latitude,Longitude,Last Update,STATEFP,COUNTYFP,Population Estimate 2018 (Ths.),Infection Rate
New York,New York,26697,3585,450,450,1.7%,40.71455,-74.00714,2020-03-27 22:37 EDT,36,500,8443.713,3.161760708825608
Westchester,New York,7187,1243,10,10,0.1%,41.16319759,-73.7560629,2020-03-27 22:37 EDT,36,119,968.815,7.418340962928939
Nassau,New York,4657,743,27,27,0.6%,40.74165225,-73.58899619,2020-03-27 22:37 EDT,36,059,1356.564,3.4329379225749768
Suffolk,New York,3385,650,30,30,0.9%,40.87732808,-72.85898036,2020-03-27 22:37 EDT,36,103,1487.901,2.275016953412895
Rockland,New York,1457,260,8,8,0.5%,41.152374,-74.02401032,2020-03-27 22:37 EDT,36,087,323.686,4.501275927905439
Orange,New York,910,159,4,4,0.4%,41.40206825,-74.30559567,2020-03-27 22:37 EDT,36,071,378.227,2.4059625568772196
Erie,New York,310,89,6,6,1.9%,42.76382119,-78.73224973,2020-03-27 22:37 EDT,36,029,919.866,0.33700560733846013
Dutchess,New York,225,35,1,1,0.4%,41.76477515,-73.74281684,2020-03-27 22:37 EDT,36,027,293.894,0.7655821486658455
Albany,New York,187,16,0,0,0.0%,42.65155,-73.75520999999998,2020-03-27 22:37 EDT,36,001,307.426,0.608276463278968
Monroe,New York,166,18,4,4,2.4%,43.14604282,-77.69674911,2020-03-27 22:37 EDT,36,055,744.248,0.2230439315926949
Onondaga,New York,123,12,1,1,0.8%,43.004870000000004,-76.1836,2020-03-27 22:37 EDT,36,067,464.242,0.26494802279845425
Putnam,New York,111,17,0,0,0.0%,41.42653455,-73.7494999,2020-03-27 22:37 EDT,36,079,99.070,1.1204199051175936
Ulster,New York,98,20,0,0,0.0%,41.95986,-73.99033,2020-03-27 22:37 EDT,36,111,179.303,0.5465608495117203
Saratoga,New York,93,20,0,0,0.0%,43.06974,-73.63661,2020-03-27 22:37 EDT,36,091,227.377,0.40901234513605156
Schenectady,New York,66,4,1,1,1.5%,42.81238,-73.94122,2020-03-27 22:37 EDT,36,093,154.883,0.42612810960531505
Sullivan,New York,64,11,0,0,0.0%,41.71631354,-74.76811083,2020-03-27 22:37 EDT,36,105,75.211,0.8509393572748667
Tompkins,New York,48,16,0,0,0.0%,42.44933495,-76.47064359,2020-03-27 22:37 EDT,36,109,102.962,0.46619141042326295
Rensselaer,New York,44,0,0,0,0.0%,42.71086263,-73.5097379,2020-03-27 22:37 EDT,36,083,159.431,0.2759814590637956
Columbia,New York,27,3,0,0,0.0%,42.25001078,-73.63186134,2020-03-27 22:37 EDT,36,021,60.919,0.4432114775357442
Niagara,New York,23,9,0,0,0.0%,43.19998147,-78.74522262,2020-03-27 22:37 EDT,36,063,211.704,0.1086422552242754
Broome,New York,18,2,3,3,16.7%,42.16021802,-75.81964586,2020-03-27 22:37 EDT,36,007,194.402,0.09259164000370367
Madison,New York,17,8,1,1,5.9%,42.91290749,-75.66978904,2020-03-27 22:37 EDT,36,053,71.359,0.2382320380050169
Ontario,New York,14,3,0,0,0.0%,42.85288942,-77.29981098,2020-03-27 22:37 EDT,36,069,109.472,0.1278865828705057
Oneida,New York,13,0,0,0,0.0%,43.24306498,-75.42583597,2020-03-27 22:37 EDT,36,065,230.782,0.05633021639469282
Steuben,New York,12,1,0,0,0.0%,42.26782685,-77.38382596,2020-03-27 22:37 EDT,36,101,96.927,0.12380451267448697
Clinton,New York,11,0,0,0,0.0%,44.7904,-73.6006,2020-03-27 22:37 EDT,36,019,80.794,0.1361487239151422
Wayne,New York,11,3,0,0,0.0%,42.474131,-77.09816,2020-03-27 22:37 EDT,36,117,90.856,0.12107070529189046
Chemung,New York,11,4,0,0,0.0%,42.1411881,-76.76001059999999,2020-03-27 22:37 EDT,36,015,85.740,0.1282948448798694
Herkimer,New York,9,2,0,0,0.0%,43.0259,-74.98433,2020-03-27 22:37 EDT,36,043,62.505,0.14398848092152627
Delaware,New York,8,1,0,0,0.0%,42.19804334,-74.96635196,2020-03-27 22:37 EDT,36,025,45.502,0.17581644762867568
Warren,New York,8,6,0,0,0.0%,43.5592099,-73.85881158,2020-03-27 22:37 EDT,36,113,64.480,0.12406947890818858
Wyoming,New York,7,0,1,1,14.3%,42.70242659,-78.22443261,2020-03-27 22:37 EDT,36,121,40.565,0.1725625539257981
Greene,New York,6,1,0,0,0.0%,42.27654571,-74.12261588,2020-03-27 22:37 EDT,36,039,47.617,0.12600541823298403
Genesee,New York,6,2,0,0,0.0%,43.00094016,-78.1936949,2020-03-27 22:37 EDT,36,037,58.112,0.10324889867841411
Washington,New York,6,2,0,0,0.0%,43.31227113,-73.43096234,2020-03-27 22:37 EDT,36,115,61.828,0.09704341075240991
Montgomery,New York,5,0,0,0,0.0%,42.90229179999999,-74.43960085,2020-03-27 22:37 EDT,36,057,49.426,0.101161332092421
Essex,New York,5,0,0,0,0.0%,44.10755697,-73.79125847,2020-03-27 22:37 EDT,36,031,37.751,0.13244682260072582
Otsego,New York,5,2,0,0,0.0%,42.63373751,-75.03256231,2020-03-27 22:37 EDT,36,077,60.244,0.08299581701082266
Chenango,New York,4,1,0,0,0.0%,42.49349443,-75.61153709999998,2020-03-27 22:37 EDT,36,017,48.348,0.0827335153470671
