County Name,State Name,Confirmed,New,Death,New Death,Fatality Rate,Latitude,Longitude,Last Update,STATEFP,COUNTYFP,Population Estimate 2018 (Ths.),Infection Rate
New York,New York,47439,4320,1139,1139,2.4%,40.71455,-74.00714,2020-04-01 15:53 EDT,36,500,8443.713,5.618262960856201
Westchester,New York,10683,716,25,25,0.2%,41.16319759,-73.7560629,2020-04-01 15:53 EDT,36,119,968.815,11.026873035615674
Nassau,New York,9554,1010,76,76,0.8%,40.74165225,-73.58899619,2020-04-01 15:53 EDT,36,059,1356.564,7.04279341041042
Suffolk,New York,7605,892,53,53,0.7%,40.87732808,-72.85898036,2020-04-01 15:53 EDT,36,103,1487.901,5.111227158258513
Rockland,New York,3321,458,18,18,0.5%,41.152374,-74.02401032,2020-04-01 15:53 EDT,36,087,323.686,10.259943278362364
Orange,New York,1756,196,19,19,1.1%,41.40206825,-74.30559567,2020-04-01 15:53 EDT,36,071,378.227,4.642714560303733
Erie,New York,582,29,11,11,1.9%,42.76382119,-78.73224973,2020-04-01 15:53 EDT,36,029,919.866,0.6327008499063993
Dutchess,New York,547,63,4,4,0.7%,41.76477515,-73.74281684,2020-04-01 15:53 EDT,36,027,293.894,1.8612152680898555
Monroe,New York,349,49,9,9,2.6%,43.14604282,-77.69674911,2020-04-01 15:53 EDT,36,055,744.248,0.46892971160150915
Onondaga,New York,277,28,1,1,0.4%,43.00487,-76.1836,2020-04-01 15:53 EDT,36,067,464.242,0.5966715635379823
Albany,New York,240,14,1,1,0.4%,42.65155,-73.75520999999998,2020-04-01 15:53 EDT,36,001,307.426,0.7806756747965364
Ulster,New York,222,5,3,3,1.4%,41.95986,-73.99033,2020-04-01 15:53 EDT,36,111,179.303,1.2381276386898157
Putnam,New York,207,21,0,0,0.0%,41.42653455,-73.7494999,2020-04-01 15:53 EDT,36,079,99.070,2.089431714949026
Saratoga,New York,122,14,1,1,0.8%,43.06974,-73.63661,2020-04-01 15:53 EDT,36,091,227.377,0.5365538291032075
Sullivan,New York,121,3,1,1,0.8%,41.71631354,-74.76811083,2020-04-01 15:53 EDT,36,105,75.211,1.608807222347795
Schenectady,New York,93,8,1,1,1.1%,42.81238,-73.94122,2020-04-01 15:53 EDT,36,093,154.883,0.6004532453529439
Tompkins,New York,76,0,0,0,0.0%,42.44933495,-76.47064359,2020-04-01 15:53 EDT,36,109,102.962,0.738136399836833
Madison,New York,62,0,2,2,3.2%,42.91290749,-75.66978904,2020-04-01 15:53 EDT,36,053,71.359,0.868846256253591
Rensselaer,New York,55,0,0,0,0.0%,42.71086263,-73.5097379,2020-04-01 15:53 EDT,36,083,159.431,0.3449768238297445
Oneida,New York,50,10,1,1,2.0%,43.24306498,-75.42583597,2020-04-01 15:53 EDT,36,065,230.782,0.21665467844112624
