State Name,Confirmed,New,Death,New Death,Fatality Rate,Emergency,Test Positive,Test Negative,Test Pending,Total Test,Test Last Update,State FIPS,Latitude,Longitude,Last Update
New York,46093,6953,603,142,1.3%,State of Emergency,44635,101118,,145753,3/26 16:59,36,42.165726,-74.948051,2020-03-27 22:37 EDT
New Jersey,8825,1949,108,27,1.2%,State of Emergency,8825,16547,,25372,3/27 13:30,34,40.298904,-74.521011,2020-03-27 22:37 EDT
California,4840,796,98,16,2%,State of Emergency,3879,17380,57400,78659,3/27 00:00,06,36.116203000000006,-119.681564,2020-03-27 22:37 EDT
Washington,3723,561,174,24,4.7%,State of Emergency,3207,43173,,46380,3/27 02:59,53,47.400902,-121.490494,2020-03-27 22:37 EDT
Michigan,3657,801,92,31,2.5%,State of Emergency,3657,6550,,10207,3/27 11:00,26,43.326617999999996,-84.53609499999999,2020-03-27 22:37 EDT
Massachusetts,3240,823,35,10,1.1%,State of Emergency,3240,26131,,29371,3/27 12:30,25,42.230171,-71.530106,2020-03-27 22:37 EDT
Florida,3198,715,46,18,1.4%,State of Emergency,2765,28186,1517,32468,3/27 12:00,12,27.766278999999997,-81.68678299999999,2020-03-27 22:37 EDT
Illinois,3027,485,34,8,1.1%,State of Emergency,3060,18516,,21576,3/27 00:00,17,40.349457,-88.986137,2020-03-27 22:37 EDT
Louisiana,2746,443,119,36,4.3%,State of Emergency,2746,18613,,21359,3/27 13:00,22,31.169546,-91.867805,2020-03-27 22:37 EDT
Pennsylvania,2345,536,23,5,1%,State of Emergency,2218,21016,,23234,3/27 12:00,42,40.590752,-77.209755,2020-03-27 22:37 EDT
Georgia,2192,550,64,8,2.9%,State of Emergency,2001,7864,,9865,3/27 12:00,13,33.040619,-83.643074,2020-03-27 22:37 EDT
Texas,2008,343,26,2,1.3%,State of Emergency,1731,21935,,23666,3/27 13:00,48,31.054486999999998,-97.563461,2020-03-27 22:37 EDT
Colorado,1738,308,31,4,1.8%,State of Emergency,1430,8692,,10122,3/26 18:00,08,39.059810999999996,-105.311104,2020-03-27 22:37 EDT
Tennessee,1321,223,6,3,0.5%,State of Emergency,1203,14888,,16091,3/27 15:00,47,35.747845,-86.69234499999999,2020-03-27 22:37 EDT
Connecticut,1291,279,27,6,2.1%,State of Emergency,1291,7109,,8400,3/27 13:30,09,41.597782,-72.755371,2020-03-27 22:37 EDT
Ohio,1139,269,19,4,1.7%,State of Emergency,1137,19012,,20149,3/27 14:00,39,40.388783000000004,-82.764915,2020-03-27 22:37 EDT
Indiana,981,323,25,6,2.5%,State of Emergency,981,5955,,6936,3/26 12:59,18,39.849426,-86.258278,2020-03-27 22:37 EDT
Wisconsin,926,198,14,2,1.5%,State of Emergency,842,13140,,13982,3/27 16:00,55,44.268543,-89.616508,2020-03-27 22:37 EDT
North Carolina,911,145,5,2,0.5%,State of Emergency,763,14373,,15136,3/27 11:40,37,35.630066,-79.80641899999999,2020-03-27 22:37 EDT
Maryland,779,196,5,1,0.6%,State of Emergency,774,94,,868,3/27 10:00,24,39.063946,-76.80210100000001,2020-03-27 22:37 EDT
Missouri,686,162,9,0,1.3%,State of Emergency,669,369,,1038,3/27 00:00,29,38.456084999999995,-92.288368,2020-03-27 22:37 EDT
Arizona,665,157,13,5,2%,State of Emergency,736,7455,30,8221,3/27 00:00,04,33.729759,-111.431221,2020-03-27 22:37 EDT
Alabama,627,92,4,2,0.6%,State of Emergency,587,4184,,4771,3/27 00:00,01,32.806671,-86.79113000000001,2020-03-27 22:37 EDT
Virginia,610,140,16,2,2.6%,State of Emergency,604,6733,,7337,3/27 00:00,51,37.769337,-78.16996800000001,2020-03-27 22:37 EDT
Mississippi,579,0,8,0,1.4%,State of Emergency,579,2560,,3139,3/26 19:00,28,32.741646,-89.678696,2020-03-27 22:37 EDT
Nevada,544,101,10,0,1.8%,State of Emergency,535,6161,,6696,3/26 23:00,32,38.313515,-117.055374,2020-03-27 22:37 EDT
South Carolina,542,86,13,5,2.4%,State of Emergency,456,2307,,2763,3/26 16:35,45,33.856891999999995,-80.94500699999999,2020-03-27 22:37 EDT
Utah,480,78,2,1,0.4%,State of Emergency,480,8764,,9244,3/27 15:00,49,40.150032,-111.86243400000001,2020-03-27 22:37 EDT
Oregon,416,99,12,1,2.9%,State of Emergency,414,8510,,8924,3/27 12:30,41,44.572021,-122.07093799999998,2020-03-27 22:37 EDT
Minnesota,398,52,4,2,1%,State of Emergency,398,13605,,14003,3/27 00:00,27,45.694454,-93.900192,2020-03-27 22:37 EDT
Arkansas,381,32,3,1,0.8%,State of Emergency,381,1545,0,1926,3/27 14:05,05,34.969704,-92.37312299999999,2020-03-27 22:37 EDT
Oklahoma,322,74,8,1,2.5%,State of Emergency,322,1084,,1406,3/27 08:00,40,35.565342,-96.928917,2020-03-27 22:37 EDT
District of Columbia,304,37,4,1,1.3%,State of Emergency,267,1897,2,2166,3/26 19:00,11,38.897438,-77.02681700000001,2020-03-27 22:37 EDT
Kentucky,302,54,7,2,2.3%,State of Emergency,248,3768,,4016,3/26 17:00,21,37.66814,-84.670067,2020-03-27 22:37 EDT
Iowa,235,55,3,0,1.3%,State of Emergency,235,3740,,3975,3/27 15:40,19,42.011539,-93.210526,2020-03-27 22:37 EDT
Idaho,233,46,4,1,1.7%,State of Emergency,189,2668,,2857,3/26 20:00,16,44.240459,-114.47882800000001,2020-03-27 22:37 EDT
Kansas,219,47,4,1,1.8%,State of Emergency,202,3229,,3431,3/27 09:00,20,38.5266,-96.726486,2020-03-27 22:37 EDT
Rhode Island,203,38,0,0,0%,State of Emergency,165,1366,138,1669,3/26 00:00,44,41.680893,-71.51178,2020-03-27 22:37 EDT
New Mexico,191,55,1,0,0.5%,State of Emergency,136,8377,,8513,3/26 00:00,35,34.840515,-106.24848200000001,2020-03-27 22:37 EDT
New Hampshire,187,33,2,1,1.1%,State of Emergency,158,3395,592,4145,3/26 09:00,33,43.452492,-71.563896,2020-03-27 22:37 EDT
Vermont,184,28,10,1,5.4%,State of Emergency,184,2077,,2261,3/27 13:00,50,44.045876,-72.710686,2020-03-27 22:37 EDT
Maine,168,13,1,1,0.6%,State of Emergency,168,3394,,3562,3/27 11:30,23,44.693946999999994,-69.381927,2020-03-27 22:37 EDT
Delaware,165,22,2,1,1.2%,State of Emergency,163,36,,199,3/27 00:00,10,39.318523,-75.507141,2020-03-27 22:37 EDT
Montana,121,32,1,0,0.8%,State of Emergency,108,2590,,2698,3/27 10:00,30,46.921925,-110.454353,2020-03-27 22:37 EDT
Hawaii,120,14,0,0,0%,State of Emergency,106,4357,3,4466,3/26 18:00,15,21.094317999999998,-157.49833700000002,2020-03-27 22:37 EDT
West Virginia,96,21,0,0,0%,State of Emergency,76,1779,43,1898,3/26 00:00,54,38.491226,-80.954453,2020-03-27 22:37 EDT
Nebraska,90,8,2,2,2.2%,State of Emergency,85,1761,,1846,3/27 14:30,31,41.125370000000004,-98.26808199999999,2020-03-27 22:37 EDT
Puerto Rico,79,15,3,1,3.8%,State of Emergency,79,519,334,932,3/27 07:00,72,18.24914,-66.62804,2020-03-27 22:37 EDT
Wyoming,73,18,0,0,0%,State of Emergency,70,1211,,1281,3/27 12:50,56,42.755966,-107.30248999999999,2020-03-27 22:37 EDT
Alaska,69,11,1,0,1.4%,State of Emergency,69,2319,13,2401,3/26 21:00,02,61.370716,-152.404419,2020-03-27 22:37 EDT
North Dakota,68,10,1,1,1.5%,State of Emergency,65,2427,,2492,3/27 11:31,38,47.528912,-99.784012,2020-03-27 22:37 EDT
South Dakota,58,12,1,0,1.7%,State of Emergency,58,2387,20,2465,3/27 12:30,46,44.299782,-99.438828,2020-03-27 22:37 EDT
Guam,51,6,1,0,2%,State of Emergency,51,299,,350,3/27 07:00,66,13.421129,144.73972,2020-03-27 22:37 EDT
US Virgin Islands,19,2,0,0,0%,State of Emergency,19,55,2,76,3/27 14:00,78,17.752625,-64.73541999999999,2020-03-27 22:37 EDT
