State Name,Confirmed,New,Death,New Death,Fatality Rate,Emergency,Test Positive,Test Negative,Test Pending,Total Test,Test Last Update,State FIPS,Latitude,Longitude,Last Update
New York,174489,12682,7887,820,4.5%,State of Emergency,170512,247373,,417885,4/10 00:00,36,42.165726,-74.948051,2020-04-10 22:54 EDT
New Jersey,54588,3561,1932,225,3.5%,State of Emergency,54588,58935,,113523,4/10 13:00,34,40.298904,-74.521011,2020-04-10 22:54 EDT
Michigan,22783,1279,1281,205,5.6%,State of Emergency,22783,49261,,72044,4/10 11:00,26,43.326617999999996,-84.53609499999999,2020-04-10 22:54 EDT
California,21286,1117,591,46,2.8%,State of Emergency,19472,145391,13900,178763,4/09 00:00,06,36.116203000000006,-119.681564,2020-04-10 22:54 EDT
Massachusetts,20974,2033,599,96,2.9%,State of Emergency,20974,81398,,102372,4/10 12:30,25,42.230171,-71.530106,2020-04-10 22:54 EDT
Pennsylvania,20408,1776,449,83,2.2%,State of Emergency,19979,93040,,113019,4/10 12:00,42,40.590752,-77.209755,2020-04-10 22:54 EDT
Louisiana,19253,970,755,53,3.9%,State of Emergency,19253,73027,,92280,4/10 13:00,22,31.169546,-91.867805,2020-04-10 22:54 EDT
Florida,17968,1142,419,50,2.3%,State of Emergency,17531,145299,1411,164241,4/10 11:30,12,27.766278999999997,-81.68678299999999,2020-04-10 22:54 EDT
Illinois,17903,1479,597,68,3.3%,State of Emergency,17887,69640,,87527,4/10 00:00,17,40.349457,-88.986137,2020-04-10 22:54 EDT
Texas,12380,897,248,25,2%,State of Emergency,11671,104047,,115718,4/10 13:00,48,31.054486999999998,-97.563461,2020-04-10 22:54 EDT
Georgia,11859,977,425,16,3.6%,State of Emergency,11483,34664,,46147,4/10 11:28,13,33.040619,-83.643074,2020-04-10 22:54 EDT
Connecticut,10538,754,448,68,4.3%,State of Emergency,10538,25750,,36288,4/10 17:00,09,41.597782,-72.755371,2020-04-10 22:54 EDT
Washington,10219,466,487,30,4.8%,State of Emergency,9608,83391,,92999,4/09 02:59,53,47.400902,-121.490494,2020-04-10 22:54 EDT
Maryland,6968,784,171,33,2.5%,State of Emergency,6968,37480,,44448,4/10 10:00,24,39.063946,-76.80210100000001,2020-04-10 22:54 EDT
Indiana,6907,556,300,55,4.3%,State of Emergency,6907,28133,,35040,4/10 10:00,18,39.849426,-86.258278,2020-04-10 22:54 EDT
Colorado,6513,311,250,24,3.8%,State of Emergency,6510,26143,,32653,4/10 01:59,08,39.059810999999996,-105.311104,2020-04-10 22:54 EDT
Ohio,5878,366,231,18,3.9%,State of Emergency,5878,52695,,58573,4/10 14:00,39,40.388783000000004,-82.764915,2020-04-10 22:54 EDT
Tennessee,4891,258,98,4,2%,State of Emergency,4862,57937,,62799,4/10 15:00,47,35.747845,-86.69234499999999,2020-04-10 22:54 EDT
Virginia,4509,467,121,12,2.7%,State of Emergency,4509,30950,521,35980,4/10 09:00,51,37.769337,-78.16996800000001,2020-04-10 22:54 EDT
North Carolina,4090,254,84,2,2.1%,State of Emergency,3908,53737,,57645,4/10 11:00,37,35.630066,-79.80641899999999,2020-04-10 22:54 EDT
Missouri,3902,278,105,13,2.7%,State of Emergency,3799,36941,,40740,4/10 15:00,29,38.456084999999995,-92.288368,2020-04-10 22:54 EDT
US Military,3366,334,13,5,0.4%,State of Emergency,,,,,,,,,2020-04-10 22:54 EDT
Arizona,3112,94,97,8,3.1%,State of Emergency,3112,34622,,37734,4/10 00:00,04,33.729759,-111.431221,2020-04-10 22:54 EDT
Wisconsin,3068,179,128,17,4.2%,State of Emergency,3068,33225,,36293,4/10 16:00,55,44.268543,-89.616508,2020-04-10 22:54 EDT
South Carolina,3067,274,72,5,2.3%,State of Emergency,3065,25118,,28183,4/10 15:49,45,33.856891999999995,-80.94500699999999,2020-04-10 22:54 EDT
