State Name,Confirmed,New,Death,New Death,Fatality Rate,Emergency,Test Positive,Test Negative,Test Pending,Total Test,Test Last Update,State FIPS,Latitude,Longitude,Last Update
New York,76049,8664,1714,374,2.3%,State of Emergency,75795,129391,,205186,3/29 09:16,36,42.165726,-74.948051,2020-03-31 22:50 EDT
New Jersey,18699,2224,267,69,1.4%,State of Emergency,18696,27077,,45773,3/31 13:00,34,40.298904,-74.521011,2020-03-31 22:50 EDT
California,8501,1103,182,29,2.1%,State of Emergency,7482,21772,57400,86654,3/31 16:00,06,36.116203000000006,-119.681564,2020-03-31 22:50 EDT
Michigan,7615,1120,259,74,3.4%,State of Emergency,7615,11893,,19508,3/31 11:00,26,43.326617999999996,-84.53609499999999,2020-03-31 22:50 EDT
Florida,6741,1004,85,17,1.3%,State of Emergency,6338,54285,1163,61786,3/31 11:30,12,27.766278999999997,-81.68678299999999,2020-03-31 22:50 EDT
Massachusetts,6620,868,89,33,1.3%,State of Emergency,6620,40315,,46935,3/31 12:30,25,42.230171,-71.530106,2020-03-31 22:50 EDT
Illinois,5994,936,99,25,1.7%,State of Emergency,5994,29231,,35225,3/31 00:00,17,40.349457,-88.986137,2020-03-31 22:50 EDT
Washington,5450,278,225,4,4.1%,State of Emergency,4896,60566,,65462,3/31 00:00,53,47.400902,-121.490494,2020-03-31 22:50 EDT
Louisiana,5237,1212,239,54,4.6%,State of Emergency,5237,33730,,38967,3/31 13:00,22,31.169546,-91.867805,2020-03-31 22:50 EDT
Pennsylvania,4994,842,66,16,1.3%,State of Emergency,4843,37645,,42488,3/31 12:00,42,40.590752,-77.209755,2020-03-31 22:50 EDT
Georgia,4117,1086,125,25,3%,State of Emergency,3929,12252,,16181,3/31 12:57,13,33.040619,-83.643074,2020-03-31 22:50 EDT
Texas,3901,540,57,10,1.5%,State of Emergency,3266,39726,,42992,3/31 13:45,48,31.054486999999998,-97.563461,2020-03-31 22:50 EDT
Connecticut,3128,733,69,33,2.2%,State of Emergency,3128,13029,,16157,3/31 13:30,09,41.597782,-72.755371,2020-03-31 22:50 EDT
Colorado,2966,372,69,18,2.3%,State of Emergency,2627,12737,,15364,3/30 18:00,08,39.059810999999996,-105.311104,2020-03-31 22:50 EDT
Tennessee,2391,450,23,7,1%,State of Emergency,2239,25121,,27360,3/31 15:00,47,35.747845,-86.69234499999999,2020-03-31 22:50 EDT
Ohio,2199,266,55,15,2.5%,State of Emergency,2199,26992,,29191,3/31 14:00,39,40.388783000000004,-82.764915,2020-03-31 22:50 EDT
Indiana,2159,375,49,14,2.3%,State of Emergency,2159,11214,,13373,3/30 12:59,18,39.849426,-86.258278,2020-03-31 22:50 EDT
Maryland,1660,248,18,3,1.1%,State of Emergency,1660,14868,,16528,3/31 10:00,24,39.063946,-76.80210100000001,2020-03-31 22:50 EDT
North Carolina,1545,168,12,4,0.8%,State of Emergency,1498,21608,,23106,3/31 09:05,37,35.630066,-79.80641899999999,2020-03-31 22:50 EDT
Wisconsin,1412,127,25,2,1.8%,State of Emergency,1351,17375,,18726,3/31 16:00,55,44.268543,-89.616508,2020-03-31 22:50 EDT
Missouri,1358,247,15,1,1.1%,State of Emergency,1327,14614,,15941,3/31 15:00,29,38.456084999999995,-92.288368,2020-03-31 22:50 EDT
Arizona,1289,134,24,4,1.9%,State of Emergency,1289,18082,,19371,3/31 00:00,04,33.729759,-111.431221,2020-03-31 22:50 EDT
Virginia,1250,230,27,2,2.2%,State of Emergency,1250,12151,,13401,3/31 00:00,51,37.769337,-78.16996800000001,2020-03-31 22:50 EDT
Nevada,1138,141,26,8,2.3%,State of Emergency,1113,10681,,11794,3/31 09:30,32,38.313515,-117.055374,2020-03-31 22:50 EDT
South Carolina,1083,158,22,4,2%,State of Emergency,1083,4616,,5699,3/31 16:31,45,33.856891999999995,-80.94500699999999,2020-03-31 22:50 EDT
Alabama,993,49,23,12,2.3%,State of Emergency,981,6298,,7279,3/31 00:00,01,32.806671,-86.79113000000001,2020-03-31 22:50 EDT
Mississippi,937,91,20,4,2.1%,State of Emergency,937,3537,,4474,3/30 19:00,28,32.741646,-89.678696,2020-03-31 22:50 EDT
Utah,888,82,5,1,0.6%,State of Emergency,887,17626,,18513,3/31 15:00,49,40.150032,-111.86243400000001,2020-03-31 22:50 EDT
Oregon,690,85,18,2,2.6%,State of Emergency,690,13136,,13826,3/31 11:00,41,44.572021,-122.07093799999998,2020-03-31 22:50 EDT
Kentucky,632,152,18,7,2.8%,State of Emergency,480,6330,,6810,3/30 17:00,21,37.66814,-84.670067,2020-03-31 22:50 EDT
Minnesota,629,53,12,2,1.9%,State of Emergency,629,19151,,19780,3/31 00:00,27,45.694454,-93.900192,2020-03-31 22:50 EDT
Oklahoma,568,86,23,6,4%,State of Emergency,565,1229,,1794,3/31 08:00,40,35.565342,-96.928917,2020-03-31 22:50 EDT
Arkansas,564,65,8,1,1.4%,State of Emergency,523,5959,,6482,3/31 14:59,05,34.969704,-92.37312299999999,2020-03-31 22:50 EDT
