County Name,State Name,Confirmed,New,Death,New Death,Fatality Rate,Latitude,Longitude,Last Update,STATEFP,COUNTYFP,Population Estimate 2018 (Ths.),Infection Rate
New York,New York,13119,2355,125,125,1.0%,40.71455,-74.00714,2020-03-23 23:21 EDT,36,061,68.02,192.86974419288447
Westchester,New York,2894,1021,0,0,0.0%,41.16319759,-73.7560629,2020-03-23 23:21 EDT,36,119,27.97,103.46800143010368
Nassau,New York,2442,542,4,4,0.2%,40.74165225,-73.58899619,2020-03-23 23:21 EDT,36,059,20.48,119.23828125
Suffolk,New York,1458,424,13,13,0.9%,40.87732808,-72.85898036,2020-03-23 23:21 EDT,36,103,29.24,49.86320109439125
Rockland,New York,592,137,1,1,0.2%,41.152374,-74.02401032,2020-03-23 23:21 EDT,36,087,6.95,85.17985611510791
Orange,New York,389,142,0,0,0.0%,41.40206825,-74.30559567,2020-03-23 23:21 EDT,36,071,11.27,34.516415261756876
Albany,New York,127,4,0,0,0.0%,42.65155,-73.75520999999998,2020-03-23 23:21 EDT,36,001,17.58,7.224118316268488
Dutchess,New York,100,18,1,1,1.0%,41.76477515,-73.74281684,2020-03-23 23:21 EDT,36,027,19.66,5.08646998982706
Erie,New York,87,31,0,0,0.0%,42.76382119,-78.73224973,2020-03-23 23:21 EDT,36,029,27.67,3.144199494036863
Monroe,New York,81,13,2,2,2.5%,43.14604282,-77.69674911,2020-03-23 23:21 EDT,36,055,25.92,3.125
Saratoga,New York,53,18,0,0,0.0%,43.06974,-73.63661,2020-03-23 23:21 EDT,36,091,3.4,15.588235294117647
Onondaga,New York,53,8,0,0,0.0%,43.004870000000004,-76.1836,2020-03-23 23:21 EDT,36,067,17.03,3.112155020551967
Putnam,New York,45,14,0,0,0.0%,41.42653455,-73.7494999,2020-03-23 23:21 EDT,36,079,2.58,17.441860465116278
Schenectady,New York,44,12,0,0,0.0%,42.81238,-73.94122,2020-03-23 23:21 EDT,36,093,4.58,9.606986899563319
Ulster,New York,35,17,0,0,0.0%,41.95986,-73.99033,2020-03-23 23:21 EDT,36,111,11.82,2.961082910321489
Rensselaer,New York,29,9,0,0,0.0%,42.71086263,-73.5097379,2020-03-23 23:21 EDT,36,083,5.87,4.940374787052811
Sullivan,New York,23,11,0,0,0.0%,41.71631354,-74.76811083,2020-03-23 23:21 EDT,36,105,3.79,6.068601583113456
Columbia,New York,17,0,0,0,0.0%,42.250010778000046,-73.63186134099993,2020-03-23 23:21 EDT,36,021,1.96,8.673469387755102
Tompkins,New York,15,0,0,0,0.0%,42.44933495,-76.47064359,2020-03-23 23:21 EDT,36,109,13.09,1.145912910618793
Niagara,New York,10,1,0,0,0.0%,43.19998147,-78.74522262,2020-03-23 23:21 EDT,36,063,3.99,2.506265664160401
