State Name,Confirmed,New,Death,New Death,Fatality Rate,Emergency,Test Positive,Test Negative,Test Pending,Total Test,Test Last Update,State FIPS,Latitude,Longitude,Last Update
New York,20885,3969,158,6,0.8%,State of Emergency,20875,57414,,78289,3/23 11:36,36,42.165726,-74.948051,2020-03-23 21:39 EDT
New Jersey,2844,930,27,6,0.9%,State of Emergency,2844,359,94,3297,3/23 14:00,34,40.298904,-74.521011,2020-03-23 21:39 EDT
Washington,2221,225,111,16,5%,State of Emergency,1996,28879,,30875,3/22 18:00,53,47.400902,-121.490494,2020-03-23 21:39 EDT
California,2203,387,43,8,2%,State of Emergency,1733,12567,12100,26400,3/23 00:00,06,36.116203000000006,-119.681564,2020-03-23 21:39 EDT
Michigan,1329,291,15,6,1.1%,State of Emergency,1328,2069,,3397,3/23 11:00,26,43.326617999999996,-84.53609499999999,2020-03-23 21:39 EDT
Illinois,1285,235,12,5,0.9%,State of Emergency,1285,8583,,9868,3/23 00:00,17,40.349457,-88.986137,2020-03-23 21:39 EDT
Florida,1227,223,18,4,1.5%,State of Emergency,1171,11063,860,13094,3/23 11:00,12,27.766278999999997,-81.68678299999999,2020-03-23 21:39 EDT
Louisiana,1172,335,35,16,3%,State of Emergency,1172,4776,,5948,3/23 13:00,22,31.169546,-91.867805,2020-03-23 21:39 EDT
Georgia,803,179,26,1,3.2%,State of Emergency,772,4297,,5069,3/23 12:00,13,33.040619,-83.643074,2020-03-23 21:39 EDT
Massachusetts,777,131,9,4,1.2%,State of Emergency,777,8145,,8922,3/23 12:30,25,42.230171,-71.530106,2020-03-23 21:39 EDT
Texas,765,93,9,1,1.2%,State of Emergency,352,9703,,10055,3/23 13:00,48,31.054486999999998,-97.563461,2020-03-23 21:39 EDT
Colorado,723,128,7,0,1%,State of Emergency,591,4845,,5436,3/22 18:00,08,39.059810999999996,-105.311104,2020-03-23 21:39 EDT
Pennsylvania,698,183,6,1,0.9%,State of Emergency,644,6595,,7239,3/23 15:00,42,40.590752,-77.209755,2020-03-23 21:39 EDT
Tennessee,615,117,2,0,0.3%,State of Emergency,615,3272,,3887,3/23 15:00,47,35.747845,-86.69234499999999,2020-03-23 21:39 EDT
Ohio,443,87,6,3,1.4%,State of Emergency,442,140,,582,3/23 14:00,39,40.388783000000004,-82.764915,2020-03-23 21:39 EDT
Wisconsin,425,42,5,1,1.2%,State of Emergency,416,7050,,7466,3/23 16:00,55,44.268543,-89.616508,2020-03-23 21:39 EDT
Connecticut,415,88,10,2,2.4%,State of Emergency,415,4085,,4500,3/23 16:00,09,41.597782,-72.755371,2020-03-23 21:39 EDT
North Carolina,413,102,0,0,0%,State of Emergency,297,8141,,8438,3/23 15:00,37,35.630066,-79.80641899999999,2020-03-23 21:39 EDT
South Carolina,298,105,5,2,1.7%,State of Emergency,299,1466,,1765,3/23 16:35,45,33.856891999999995,-80.94500699999999,2020-03-23 21:39 EDT
Maryland,290,42,3,0,1%,State of Emergency,288,94,,382,3/23 10:00,24,39.063946,-76.80210100000001,2020-03-23 21:39 EDT
Indiana,270,66,7,0,2.6%,State of Emergency,259,1701,,1960,3/23 11:00,18,39.849426,-86.258278,2020-03-23 21:39 EDT
Utah,257,77,1,0,0.4%,State of Emergency,257,4790,,5047,3/23 15:00,49,40.150032,-111.86243400000001,2020-03-23 21:39 EDT
Virginia,254,33,7,1,2.8%,State of Emergency,254,3443,,3697,3/23 00:00,51,37.769337,-78.16996800000001,2020-03-23 21:39 EDT
Mississippi,249,42,1,0,0.4%,State of Emergency,249,1143,,1392,3/22 19:22,28,32.741646,-89.678696,2020-03-23 21:39 EDT
Nevada,245,54,4,2,1.6%,State of Emergency,245,3490,0,3735,3/22 14:59,32,38.313515,-117.055374,2020-03-23 21:39 EDT
Arizona,235,83,2,0,0.9%,State of Emergency,265,309,6,580,3/23 00:00,04,33.729759,-111.431221,2020-03-23 21:39 EDT
Minnesota,235,66,1,0,0.4%,State of Emergency,235,4511,,4746,3/23 00:00,27,45.694454,-93.900192,2020-03-23 21:39 EDT
Arkansas,197,31,0,0,0%,State of Emergency,174,906,0,1080,3/23 00:00,05,34.969704,-92.37312299999999,2020-03-23 21:39 EDT
Alabama,196,39,0,0,0%,State of Emergency,167,1665,,1832,3/23 12:00,01,32.806671,-86.79113000000001,2020-03-23 21:39 EDT
Missouri,195,45,4,1,2.1%,State of Emergency,183,369,,552,3/23 15:00,29,38.456084999999995,-92.288368,2020-03-23 21:39 EDT
Oregon,191,30,5,0,2.6%,State of Emergency,191,3649,,3840,3/23 11:00,41,44.572021,-122.07093799999998,2020-03-23 21:39 EDT
District of Columbia,141,21,2,0,1.4%,State of Emergency,116,1113,,1229,3/22 19:00,11,38.897438,-77.02681700000001,2020-03-23 21:39 EDT
Kentucky,124,21,4,1,3.2%,State of Emergency,104,1762,,1866,3/23 09:00,21,37.66814,-84.670067,2020-03-23 21:39 EDT
Maine,107,21,0,0,0%,State of Emergency,107,2791,,2898,3/23 11:30,23,44.693946999999994,-69.381927,2020-03-23 21:39 EDT
Rhode Island,106,23,0,0,0%,State of Emergency,106,932,216,1254,3/22 15:25,44,41.680893,-71.51178,2020-03-23 21:39 EDT
Iowa,105,15,0,0,0%,State of Emergency,105,2043,,2148,3/23 00:00,19,42.011539,-93.210526,2020-03-23 21:39 EDT
New Hampshire,101,23,1,1,1%,State of Emergency,78,1374,889,2341,3/22 09:00,33,43.452492,-71.563896,2020-03-23 21:39 EDT
Kansas,84,17,2,0,2.4%,State of Emergency,82,417,,499,3/23 11:00,20,38.5266,-96.726486,2020-03-23 21:39 EDT
New Mexico,83,18,0,0,0%,State of Emergency,65,5321,,5386,3/22 00:00,35,34.840515,-106.24848200000001,2020-03-23 21:39 EDT
Oklahoma,81,14,2,0,2.5%,State of Emergency,81,694,102,877,3/23 08:00,40,35.565342,-96.928917,2020-03-23 21:39 EDT
Hawaii,77,21,0,0,0%,State of Emergency,56,2955,,3011,3/22 18:00,15,21.094317999999998,-157.49833700000002,2020-03-23 21:39 EDT
Vermont,75,23,5,3,6.7%,State of Emergency,75,1106,,1181,3/23 13:00,50,44.045876,-72.710686,2020-03-23 21:39 EDT
Delaware,68,12,0,0,0%,State of Emergency,68,36,,104,3/23 11:15,10,39.318523,-75.507141,2020-03-23 21:39 EDT
Idaho,68,17,0,0,0%,State of Emergency,47,1309,,1356,3/22 19:00,16,44.240459,-114.47882800000001,2020-03-23 21:39 EDT
Nebraska,52,1,0,0,0%,State of Emergency,50,356,,406,3/21 00:00,31,41.125370000000004,-98.26808199999999,2020-03-23 21:39 EDT
Montana,46,12,0,0,0%,State of Emergency,34,1146,,1180,3/23 10:00,30,46.921925,-110.454353,2020-03-23 21:39 EDT
North Dakota,33,3,0,0,0%,State of Emergency,30,1353,,1383,3/23 12:11,38,47.528912,-99.784012,2020-03-23 21:39 EDT
Alaska,32,0,0,0,0%,State of Emergency,22,946,,968,3/21 16:30,02,61.370716,-152.404419,2020-03-23 21:39 EDT
Puerto Rico,31,8,2,1,6.5%,State of Emergency,31,189,35,255,3/23 07:00,72,18.24914,-66.62804,2020-03-23 21:39 EDT
Guam,29,2,1,0,3.4%,State of Emergency,29,161,,190,3/23 06:45,66,13.421129,144.73972,2020-03-23 21:39 EDT
South Dakota,28,7,1,0,3.6%,State of Emergency,28,762,265,1055,3/23 10:00,46,44.299782,-99.438828,2020-03-23 21:39 EDT
Wyoming,28,2,0,0,0%,State of Emergency,26,592,,618,3/23 14:00,56,42.755966,-107.30248999999999,2020-03-23 21:39 EDT
US Virgin Islands,17,11,0,0,0%,State of Emergency,17,,,17,3/22 20:30,78,17.752625,-64.73541999999999,2020-03-23 21:39 EDT
West Virginia,16,0,0,0,0%,State of Emergency,16,444,4,464,3/22 19:00,54,38.491226,-80.954453,2020-03-23 21:39 EDT
