County Name,State Name,Confirmed,New,Death,New Death,Fatality Rate,Recovered,New Recovered,Latitude,Longitude,Last Update,STATEFP,COUNTYFP,Population Estimate 2018 (Ths.),Infection Rate
New York,New York,182257,1233,19198,141,10.5%,0,0,40.71455,-74.00714,2020-05-05 22:51 EDT,36,500,8443.713,21.58493544250024
Suffolk,New York,38252,715,1296,23,3.4%,2971,37,40.87732808,-72.85898036,2020-05-05 22:51 EDT,36,103,1487.901,25.708699705155112
Nassau,New York,36965,0,1818,26,4.9%,3007,37,40.74165225,-73.58899619,2020-05-05 22:51 EDT,36,059,1356.564,27.248990832721496
Westchester,New York,30240,143,1116,15,3.7%,9371,0,41.16319759,-73.7560629,2020-05-05 22:51 EDT,36,119,968.815,31.213389553217073
Rockland,New York,12144,49,551,15,4.5%,0,0,41.152374,-74.02401032,2020-05-05 22:51 EDT,36,087,323.686,37.51784136477945
Orange,New York,9441,159,354,11,3.7%,0,0,41.40206825,-74.30559567,2020-05-05 22:51 EDT,36,071,378.227,24.961200548876736
Erie,New York,3891,89,308,25,7.9%,479,0,42.76382119,-78.73224973,2020-05-05 22:51 EDT,36,029,919.866,4.229963929528866
Dutchess,New York,3151,20,40,0,1.3%,793,0,41.76477515,-73.74281684,2020-05-05 22:51 EDT,36,027,293.894,10.72155266864924
Monroe,New York,1623,28,128,0,7.9%,726,0,43.14604282,-77.69674911,2020-05-05 22:51 EDT,36,055,744.248,2.1807247046683362
Ulster,New York,1416,2,44,0,3.1%,582,4,41.95986,-73.99033,2020-05-05 22:51 EDT,36,111,179.303,7.897246560291797
Albany,New York,1294,7,49,0,3.8%,621,0,42.65155,-73.75520999999998,2020-05-05 22:51 EDT,36,001,307.426,4.209143013277992
Putnam,New York,1144,0,7,0,0.6%,0,0,41.42653455,-73.7494999,2020-05-05 22:51 EDT,36,079,99.070,11.54739073382457
Onondaga,New York,1088,0,37,0,3.4%,619,0,43.004870000000004,-76.1836,2020-05-05 22:51 EDT,36,067,464.242,2.3436052748351077
Sullivan,New York,984,8,23,0,2.3%,536,0,41.71631354,-74.76811083,2020-05-05 22:51 EDT,36,105,75.211,13.083192618101076
Oneida,New York,574,24,18,0,3.1%,196,0,43.24306498,-75.42583597,2020-05-05 22:51 EDT,36,065,230.782,2.4871957085041294
Schenectady,New York,537,2,28,0,5.2%,367,0,42.81238,-73.94122,2020-05-05 22:51 EDT,36,093,154.883,3.4671332554250633
Niagara,New York,529,0,28,0,5.3%,255,0,43.19998147,-78.74522262,2020-05-05 22:51 EDT,36,063,211.704,2.4987718701583344
Saratoga,New York,368,1,11,0,3.0%,121,0,43.06974,-73.63661,2020-05-05 22:51 EDT,36,091,227.377,1.6184574517211503
Rensselaer,New York,339,28,23,0,6.8%,146,0,42.71086263,-73.5097379,2020-05-05 22:51 EDT,36,083,159.431,2.1263116959687887
Broome,New York,338,4,22,0,6.5%,221,15,42.16021802,-75.81964586,2020-05-05 22:51 EDT,36,007,194.402,1.7386652400695464
Madison,New York,246,0,6,0,2.4%,120,0,42.91290749,-75.66978904,2020-05-05 22:51 EDT,36,053,71.359,3.4473577264255386
Steuben,New York,239,0,37,0,15.5%,104,0,42.26782685,-77.38382596,2020-05-05 22:51 EDT,36,101,96.927,2.4657732107668657
Columbia,New York,229,3,16,0,7.0%,102,0,42.25001078,-73.63186134,2020-05-05 22:51 EDT,36,021,60.919,3.7590899390994603
Warren,New York,192,0,0,0,0.0%,0,0,43.5592099,-73.85881158,2020-05-05 22:51 EDT,36,113,64.480,2.9776674937965257
Washington,New York,188,0,8,0,4.3%,75,0,43.31227113,-73.43096234,2020-05-05 22:51 EDT,36,115,61.828,3.0406935369088437
St. Lawrence,New York,185,0,0,0,0.0%,0,0,44.17727,-76.16771999999997,2020-05-05 22:51 EDT,36,089,109.558,1.6886032968838425
Greene,New York,172,0,10,0,5.8%,116,0,42.27654571,-74.12261588,2020-05-05 22:51 EDT,36,039,47.617,3.612155322678875
Genesee,New York,159,0,3,0,1.9%,86,0,43.00094016,-78.1936949,2020-05-05 22:51 EDT,36,037,58.112,2.7360958149779737
Tompkins,New York,133,0,0,0,0.0%,106,0,42.44933495,-76.47064359,2020-05-05 22:51 EDT,36,109,102.962,1.2917386997144578
Chemung,New York,126,0,1,0,0.8%,10,0,42.1411881,-76.76001059999999,2020-05-05 22:51 EDT,36,015,85.740,1.469559132260322
Tioga,New York,107,0,14,0,13.1%,32,0,42.06057,-76.34519,2020-05-05 22:51 EDT,36,107,49.045,2.1816698949943927
Orleans,New York,102,0,14,0,13.7%,36,0,43.252100586000005,-78.23124678499991,2020-05-05 22:51 EDT,36,073,41.175,2.4772313296903463
Chenango,New York,100,0,0,0,0.0%,0,0,42.49349443,-75.61153709999998,2020-05-05 22:51 EDT,36,017,48.348,2.0683378836766773
Fulton,New York,97,13,0,0,0.0%,0,0,43.11240266,-74.43516277,2020-05-05 22:51 EDT,36,035,53.743,1.8048862177399847
Ontario,New York,97,5,9,0,9.3%,47,0,42.85288942,-77.29981098,2020-05-05 22:51 EDT,36,069,109.472,0.886071324174218
Livingston,New York,86,1,6,0,7.0%,44,0,42.72808354,-77.77543855,2020-05-05 22:51 EDT,36,051,63.907,1.3457054782731157
Wayne,New York,76,0,2,0,2.6%,49,0,42.474131,-77.09816,2020-05-05 22:51 EDT,36,117,90.856,0.836488509289425
Clinton,New York,74,0,4,0,5.4%,55,0,44.7904,-73.6006,2020-05-05 22:51 EDT,36,019,80.794,0.9159095972473204
Delaware,New York,72,0,4,0,5.6%,45,0,42.19804334,-74.96635196,2020-05-05 22:51 EDT,36,025,45.502,1.582348028658081
Wyoming,New York,70,1,5,0,7.1%,51,0,42.70242659,-78.22443261,2020-05-05 22:51 EDT,36,121,40.565,1.7256255392579811
Herkimer,New York,67,4,3,0,4.5%,0,0,43.0259,-74.98433,2020-05-05 22:51 EDT,36,043,62.505,1.0719142468602512
Oswego,New York,67,0,3,0,4.5%,56,0,43.436525700000004,-76.14924403,2020-05-05 22:51 EDT,36,075,119.104,0.5625335840945728
Otsego,New York,67,0,4,0,6.0%,57,0,42.63373751,-75.03256231,2020-05-05 22:51 EDT,36,077,60.244,1.1121439479450235
Jefferson,New York,63,0,0,0,0.0%,9,0,44.04103424,-75.91225529,2020-05-05 22:51 EDT,36,045,114.448,0.5504683349643507
Montgomery,New York,61,5,1,0,1.6%,43,0,42.90229179999999,-74.43960085,2020-05-05 22:51 EDT,36,057,49.426,1.234168251527536
Cattaraugus,New York,53,0,0,0,0.0%,0,0,42.2485958350001,-78.678812022,2020-05-05 22:51 EDT,36,009,77.686,0.6822336070849316
Cayuga,New York,52,0,1,0,1.9%,50,0,42.92145204,-76.54917489,2020-05-05 22:51 EDT,36,011,77.868,0.6677967843016387
Seneca,New York,46,1,0,0,0.0%,0,0,42.790068356999996,-76.822922724,2020-05-05 22:51 EDT,36,099,34.612,1.3290188373974345
Schoharie,New York,45,0,0,0,0.0%,0,0,42.58820746,-74.44213588,2020-05-05 22:51 EDT,36,095,31.364,1.4347659737278409
Chautauqua,New York,37,0,4,0,10.8%,29,0,42.22826274,-79.36643298,2020-05-05 22:51 EDT,36,013,129.656,0.2853705189115814
Allegany,New York,35,0,0,0,0.0%,28,0,42.25739788,-78.02755444,2020-05-05 22:51 EDT,36,003,47.025,0.7442849548112707
Cortland,New York,32,0,0,0,0.0%,31,0,42.59500111,-76.07023743,2020-05-05 22:51 EDT,36,023,48.123,0.6649626997485609
Essex,New York,30,1,0,0,0.0%,8,0,44.10755697,-73.79125847,2020-05-05 22:51 EDT,36,031,37.751,0.7946809356043549
Yates,New York,19,0,1,0,5.3%,2,0,42.633345773,-77.11807677899999,2020-05-05 22:51 EDT,36,123,25.009,0.7597264984605542
Franklin,New York,16,0,0,0,0.0%,4,0,44.592675381999996,-74.3034218499999,2020-05-05 22:51 EDT,36,033,50.692,0.3156316578552829
Lewis,New York,9,0,0,0,0.0%,5,0,43.78473386600009,-75.448706117,2020-05-05 22:51 EDT,36,049,26.719,0.33683895355365095
Schuyler,New York,8,0,0,0,0.0%,6,0,42.370638971999995,-76.9851275,2020-05-05 22:51 EDT,36,097,17.992,0.4446420631391729
Hamilton,New York,3,0,0,0,0.0%,0,0,43.66130373,-74.49733573,2020-05-05 22:51 EDT,36,041,4.575,0.6557377049180327
Bergen,New Jersey,16460,178,1261,46,7.7%,0,0,40.95949149,-74.074442,2020-05-05 22:51 EDT,34,003,929.999,17.698943762305124
Hudson,New Jersey,16099,218,870,25,5.4%,314,0,40.74034231,-74.07410970000002,2020-05-05 22:51 EDT,34,017,668.631,24.077555482770016
Essex,New Jersey,14840,219,1319,27,8.9%,60,0,40.78779259,-74.24760059,2020-05-05 22:51 EDT,34,013,793.555,18.700657169320337
Passaic,New Jersey,13797,301,663,30,4.8%,0,0,40.86034,-74.12374,2020-05-05 22:51 EDT,34,031,504.041,27.37277324662081
Union,New Jersey,13503,146,768,31,5.7%,151,0,40.69635,-74.26957,2020-05-05 22:51 EDT,34,039,553.066,24.414807635978345
Middlesex,New Jersey,13142,374,667,25,5.1%,0,0,40.57936,-74.50067,2020-05-05 22:51 EDT,34,023,826.698,15.896978098410786
Ocean,New Jersey,7060,86,469,22,6.6%,0,0,39.90927434,-74.2969653,2020-05-05 22:51 EDT,34,029,591.939,11.926904630375766
Monmouth,New Jersey,6490,112,398,13,6.1%,0,0,40.2600411,-74.22194634,2020-05-05 22:51 EDT,34,025,623.387,10.410868369086941
Morris,New Jersey,5625,76,474,25,8.4%,1,0,40.86201902,-74.5442741,2020-05-05 22:51 EDT,34,027,494.383,11.377818412040867
Mercer,New Jersey,4743,149,280,24,5.9%,12,0,40.28331911,-74.70157374,2020-05-05 22:51 EDT,34,021,368.762,12.861954322842378
Camden,New Jersey,4251,178,180,17,4.2%,0,0,39.94525,-75.11913,2020-05-05 22:51 EDT,34,007,507.367,8.378550437848737
Somerset,New Jersey,3820,67,306,8,8.0%,0,0,40.49859,-74.52249,2020-05-05 22:51 EDT,34,035,330.176,11.569587129288623
Burlington,New Jersey,3207,107,164,15,5.1%,0,0,40.07687,-74.85775,2020-05-05 22:51 EDT,34,005,446.367,7.1846709098118815
Gloucester,New Jersey,1467,34,61,10,4.2%,0,0,39.71720107,-75.14164366,2020-05-05 22:51 EDT,34,015,290.852,5.043802346210443
Atlantic,New Jersey,1190,55,51,0,4.3%,71,0,39.4806564,-74.67264306,2020-05-05 22:51 EDT,34,001,268.539,4.431386130133799
Sussex,New Jersey,987,8,120,4,12.2%,0,0,41.13934496,-74.69067762,2020-05-05 22:51 EDT,34,037,142.298,6.936148083599207
Cumberland,New Jersey,985,45,23,4,2.3%,0,0,39.37311491,-75.11061925,2020-05-05 22:51 EDT,34,011,153.400,6.421121251629726
Warren,New Jersey,982,5,91,4,9.3%,76,0,40.85732358,-74.997063,2020-05-05 22:51 EDT,34,041,106.293,9.238614019737895
Hunterdon,New Jersey,679,14,38,1,5.6%,0,0,40.56725317,-74.91217921,2020-05-05 22:51 EDT,34,019,125.051,5.429784647863672
Cape May,New Jersey,369,14,26,2,7.0%,45,0,38.93547,-74.92137,2020-05-05 22:51 EDT,34,009,93.705,3.937890187289899
Salem,New Jersey,347,35,15,1,4.3%,0,0,39.57661332,-75.35810746,2020-05-05 22:51 EDT,34,033,63.336,5.478716685613237
Middlesex,Massachusetts,15980,223,1028,31,6.4%,748,0,42.48559407,-71.3917913,2020-05-05 22:51 EDT,25,017,1595.192,10.017602896704597
Suffolk,Massachusetts,14173,232,609,13,4.3%,3142,0,42.33189157,-71.07537429,2020-05-05 22:51 EDT,25,025,791.766,17.900490801575213
Essex,Massachusetts,9979,206,527,15,5.3%,326,0,42.632509999999996,-70.78113,2020-05-05 22:51 EDT,25,009,781.024,12.776816077354859
Worcester,Massachusetts,6597,126,331,11,5.0%,8,0,42.26341,-71.80219,2020-05-05 22:51 EDT,25,027,822.280,8.022814613027194
Norfolk,Massachusetts,6466,84,575,20,8.9%,334,0,42.119409999999995,-71.33083,2020-05-05 22:51 EDT,25,021,698.249,9.260306853285863
Plymouth,Massachusetts,5736,134,341,8,5.9%,344,0,41.92808,-70.6568,2020-05-05 22:51 EDT,25,023,512.135,11.200171829693343
Bristol,Massachusetts,4235,132,210,5,5.0%,0,0,41.79836956,-71.11428121,2020-05-05 22:51 EDT,25,005,558.905,7.577316359667565
Hampden,Massachusetts,4203,89,415,7,9.9%,0,0,42.064613,-72.422,2020-05-05 22:51 EDT,25,013,469.116,8.959404496968768
Barnstable,Massachusetts,969,8,48,1,5.0%,0,0,41.70194,-70.30442,2020-05-05 22:51 EDT,25,001,213.690,4.534606205250597
Hampshire,Massachusetts,575,12,47,11,8.2%,0,0,42.3402715,-72.66940388,2020-05-05 22:51 EDT,25,015,161.159,3.5679049882414264
Berkshire,Massachusetts,457,4,36,0,7.9%,0,0,42.51105,-73.19426,2020-05-05 22:51 EDT,25,003,127.328,3.5891555667253083
Franklin,Massachusetts,275,2,37,0,13.5%,0,0,42.58654867,-72.59777313,2020-05-05 22:51 EDT,25,011,70.935,3.876788609290195
Cook,Illinois,45223,1508,1922,120,4.3%,2,0,41.84014932,-87.81682325,2020-05-05 22:51 EDT,17,031,5223.719,8.657242091314636
Lake,Illinois,4370,118,151,0,3.5%,0,0,42.32327645,-88.00353452,2020-05-05 22:51 EDT,17,097,703.619,6.2107475778795065
DuPage,Illinois,3918,115,207,11,5.3%,100,0,41.85194049,-88.08561127,2020-05-05 22:51 EDT,17,043,931.743,4.205022200327773
