State Name,Confirmed,New,Death,New Death,Fatality Rate,Emergency,Test Positive,Test Negative,Test Pending,Total Test,Test Last Update,State FIPS,Latitude,Longitude,Last Update
New York,131815,8655,4758,599,3.6%,State of Emergency,130689,190122,,320811,4/06 00:00,36,42.165726,-74.948051,2020-04-06 22:49 EDT
New Jersey,41090,3585,1003,86,2.4%,State of Emergency,41090,47942,,89032,4/06 13:00,34,40.298904,-74.521011,2020-04-06 22:49 EDT
Michigan,17221,1503,727,111,4.2%,State of Emergency,17221,30030,,47251,4/06 11:00,26,43.326617999999996,-84.53609499999999,2020-04-06 22:49 EDT
California,16334,1139,388,37,2.4%,State of Emergency,14336,103095,15000,132431,4/06 00:00,06,36.116203000000006,-119.681564,2020-04-06 22:49 EDT
Louisiana,14867,1857,512,37,3.4%,State of Emergency,14867,54299,,69166,4/06 13:00,22,31.169546,-91.867805,2020-04-06 22:49 EDT
Massachusetts,13837,1337,260,29,1.9%,State of Emergency,13837,62592,,76429,4/06 12:30,25,42.230171,-71.530106,2020-04-06 22:49 EDT
Florida,13629,1279,254,33,1.9%,State of Emergency,13324,109950,1142,124416,4/06 12:17,12,27.766278999999997,-81.68678299999999,2020-04-06 22:49 EDT
Pennsylvania,13206,1563,179,13,1.4%,State of Emergency,12980,70874,,83854,4/06 12:00,42,40.590752,-77.209755,2020-04-06 22:49 EDT
Illinois,12262,1006,308,32,2.5%,State of Emergency,12262,50680,,62942,4/06 00:00,17,40.349457,-88.986137,2020-04-06 22:49 EDT
Washington,8354,370,383,40,4.6%,State of Emergency,7984,83391,,91375,4/05 19:55,53,47.400902,-121.490494,2020-04-06 22:49 EDT
Texas,8152,984,153,11,1.9%,State of Emergency,7276,78081,,85357,4/05 21:00,48,31.054486999999998,-97.563461,2020-04-06 22:49 EDT
Georgia,7558,825,294,74,3.9%,State of Emergency,7314,32698,,40012,4/06 11:28,13,33.040619,-83.643074,2020-04-06 22:49 EDT
Connecticut,6906,1231,206,18,3%,State of Emergency,6906,19780,,26686,4/06 15:15,09,41.597782,-72.755371,2020-04-06 22:49 EDT
