State Name,Confirmed,New,Death,New Death,Fatality Rate,Emergency,Test Positive,Test Negative,Test Pending,Total Test,Test Last Update,State FIPS,Latitude,Longitude,Last Update
New York,203348,7202,10842,786,5.3%,State of Emergency,202208,296935,,499143,4/14 00:00,36,42.165726,-74.948051,2020-04-14 22:57 EDT
New Jersey,68824,4240,2805,362,4.1%,State of Emergency,68824,70950,,139774,4/14 13:00,34,40.298904,-74.521011,2020-04-14 22:57 EDT
Massachusetts,28164,1297,957,113,3.4%,State of Emergency,28163,98388,,126551,4/14 10:00,25,42.230171,-71.530106,2020-04-14 22:57 EDT
Michigan,27001,1366,1768,166,6.5%,State of Emergency,27001,59225,,86226,4/14 11:00,26,43.326617999999996,-84.53609499999999,2020-04-14 22:57 EDT
Pennsylvania,25591,1255,702,110,2.7%,State of Emergency,25345,108286,,133631,4/14 12:00,42,40.590752,-77.209755,2020-04-14 22:57 EDT
California,25587,1215,786,54,3.1%,State of Emergency,23338,178870,13200,215408,4/13 00:00,06,36.116203000000006,-119.681564,2020-04-14 22:57 EDT
Illinois,23248,1224,868,70,3.7%,State of Emergency,23247,87369,,110616,4/14 00:00,17,40.349457,-88.986137,2020-04-14 22:57 EDT
Florida,21628,609,571,72,2.6%,State of Emergency,21367,181813,1275,204455,4/14 11:30,12,27.766278999999997,-81.68678299999999,2020-04-14 22:57 EDT
Louisiana,21518,502,1013,129,4.7%,State of Emergency,21518,96904,,118422,4/13 13:00,22,31.169546,-91.867805,2020-04-14 22:57 EDT
Texas,15342,839,362,45,2.4%,State of Emergency,14624,131843,,146467,4/14 12:45,48,31.054486999999998,-97.563461,2020-04-14 22:57 EDT
Georgia,14578,957,525,46,3.6%,State of Emergency,14223,47572,,61795,4/14 11:28,13,33.040619,-83.643074,2020-04-14 22:57 EDT
Connecticut,13989,608,671,69,4.8%,State of Emergency,13989,31852,,45841,4/14 16:00,09,41.597782,-72.755371,2020-04-14 22:57 EDT
Washington,10976,251,546,22,5%,State of Emergency,10538,83391,,93929,4/13 02:59,53,47.400902,-121.490494,2020-04-14 22:57 EDT
Maryland,9472,536,302,40,3.2%,State of Emergency,9472,44261,,53733,4/14 10:00,24,39.063946,-76.80210100000001,2020-04-14 22:57 EDT
Indiana,8527,159,387,34,4.5%,State of Emergency,8527,37490,,46017,4/14 13:00,18,39.849426,-86.258278,2020-04-14 22:57 EDT
Colorado,7950,257,329,21,4.1%,State of Emergency,7691,31051,,38742,4/13 00:00,08,39.059810999999996,-105.311104,2020-04-14 22:57 EDT
Ohio,7285,310,324,50,4.4%,State of Emergency,7153,60721,,67874,4/14 14:00,39,40.388783000000004,-82.764915,2020-04-14 22:57 EDT
Virginia,6182,435,157,8,2.5%,State of Emergency,6171,36592,469,43232,4/13 17:00,51,37.769337,-78.16996800000001,2020-04-14 22:57 EDT
Tennessee,5827,217,124,15,2.1%,State of Emergency,5823,73008,,78831,4/14 15:00,47,35.747845,-86.69234499999999,2020-04-14 22:57 EDT
North Carolina,5170,163,112,1,2.2%,State of Emergency,5024,60015,,65039,4/14 11:00,37,35.630066,-79.80641899999999,2020-04-14 22:57 EDT
Missouri,4784,253,153,16,3.2%,State of Emergency,4686,43292,,47978,4/14 15:00,29,38.456084999999995,-92.288368,2020-04-14 22:57 EDT
Alabama,3953,152,114,11,2.9%,State of Emergency,3876,29241,,33117,4/14 00:00,01,32.806671,-86.79113000000001,2020-04-14 22:57 EDT
Arizona,3809,105,131,9,3.4%,State of Emergency,3806,40290,,44096,4/14 00:00,04,33.729759,-111.431221,2020-04-14 22:57 EDT
Wisconsin,3555,128,170,16,4.8%,State of Emergency,3555,37997,277,41829,4/14 16:00,55,44.268543,-89.616508,2020-04-14 22:57 EDT
South Carolina,3553,115,97,10,2.7%,State of Emergency,3553,30319,,33872,4/14 15:55,45,33.856891999999995,-80.94500699999999,2020-04-14 22:57 EDT
Rhode Island,3251,275,80,7,2.5%,State of Emergency,3251,19649,,22900,4/13 00:00,44,41.680893,-71.51178,2020-04-14 22:57 EDT
Nevada,3134,105,126,5,4%,State of Emergency,3088,23573,,26661,4/14 12:00,32,38.313515,-117.055374,2020-04-14 22:57 EDT
Mississippi,3087,147,111,13,3.6%,State of Emergency,3087,34791,,37878,4/13 19:00,28,32.741646,-89.678696,2020-04-14 22:57 EDT
Utah,2417,55,18,0,0.7%,State of Emergency,2412,44064,,46476,4/14 15:00,49,40.150032,-111.86243400000001,2020-04-14 22:57 EDT
Kentucky,2210,162,115,9,5.2%,State of Emergency,2048,24635,,26683,4/13 17:00,21,37.66814,-84.670067,2020-04-14 22:57 EDT
Oklahoma,2184,120,108,9,4.9%,State of Emergency,2184,26085,,28269,4/14 08:00,40,35.565342,-96.928917,2020-04-14 22:57 EDT
District of Columbia,2058,103,67,15,3.3%,State of Emergency,2058,9460,,11518,4/14 00:00,11,38.897438,-77.02681700000001,2020-04-14 22:57 EDT
Delaware,1926,165,43,2,2.2%,State of Emergency,1761,10543,,12304,4/13 17:00,10,39.318523,-75.507141,2020-04-14 22:57 EDT
Iowa,1899,189,49,6,2.6%,State of Emergency,1899,16986,,18885,4/14 00:00,19,42.011539,-93.210526,2020-04-14 22:57 EDT
Minnesota,1695,45,79,9,4.7%,State of Emergency,1695,37546,,39241,4/13 17:00,27,45.694454,-93.900192,2020-04-14 22:57 EDT
Oregon,1633,50,55,2,3.4%,State of Emergency,1633,30730,,32363,4/14 11:00,41,44.572021,-122.07093799999998,2020-04-14 22:57 EDT
Arkansas,1498,23,32,2,2.1%,State of Emergency,1480,19651,,21131,4/14 14:46,05,34.969704,-92.37312299999999,2020-04-14 22:57 EDT
Idaho,1463,0,33,0,2.3%,State of Emergency,1453,13661,,15114,4/13 19:00,16,44.240459,-114.47882800000001,2020-04-14 22:57 EDT
Kansas,1441,55,69,7,4.8%,State of Emergency,1426,12721,,14147,4/14 12:00,20,38.5266,-96.726486,2020-04-14 22:57 EDT
New Mexico,1407,62,36,5,2.6%,State of Emergency,1345,30625,,31970,4/13 21:04,35,34.840515,-106.24848200000001,2020-04-14 22:57 EDT
New Hampshire,1091,72,27,4,2.5%,State of Emergency,1020,10590,25,11635,4/13 09:00,33,43.452492,-71.563896,2020-04-14 22:57 EDT
South Dakota,988,120,6,0,0.6%,State of Emergency,988,8308,0,9296,4/13 18:00,46,44.299782,-99.438828,2020-04-14 22:57 EDT
Puerto Rico,923,20,45,0,4.9%,State of Emergency,923,6284,1322,8529,4/14 07:00,72,18.24914,-66.62804,2020-04-14 22:57 EDT
Nebraska,897,27,20,2,2.2%,State of Emergency,871,10486,,11357,4/13 20:03,31,41.125370000000004,-98.26808199999999,2020-04-14 22:57 EDT
Navajo Nation,838,25,33,5,3.9%,State of Emergency,,,,,,,,,2020-04-14 22:57 EDT
Vermont,752,4,29,0,3.9%,State of Emergency,752,9833,,10585,4/13 23:59,50,44.045876,-72.710686,2020-04-14 22:57 EDT
Maine,735,38,21,2,2.9%,State of Emergency,734,11608,,12342,4/14 11:45,23,44.693946999999994,-69.381927,2020-04-14 22:57 EDT
West Virginia,694,61,10,1,1.4%,State of Emergency,640,16398,,17038,4/14 10:00,54,38.491226,-80.954453,2020-04-14 22:57 EDT
Hawaii,517,13,9,0,1.7%,State of Emergency,504,18916,,19420,4/13 18:00,15,21.094317999999998,-157.49833700000002,2020-04-14 22:57 EDT
Montana,399,5,7,0,1.8%,State of Emergency,399,8835,,9234,4/14 11:56,30,46.921925,-110.454353,2020-04-14 22:57 EDT
North Dakota,341,10,9,1,2.6%,State of Emergency,341,10575,,10916,4/14 13:00,38,47.528912,-99.784012,2020-04-14 22:57 EDT
Alaska,285,8,9,1,3.2%,State of Emergency,285,8063,,8348,4/14 14:15,02,61.370716,-152.404419,2020-04-14 22:57 EDT
Wyoming,282,7,1,0,0.4%,State of Emergency,275,5689,,5964,4/13 15:19,56,42.755966,-107.30248999999999,2020-04-14 22:57 EDT
Guam,133,0,5,0,3.8%,State of Emergency,135,811,,946,4/14 08:15,66,13.421129,144.73972,2020-04-14 22:57 EDT
US Virgin Islands,51,0,1,0,2%,State of Emergency,51,326,23,400,4/13 18:30,78,17.752625,-64.73541999999999,2020-04-14 22:57 EDT
Northern Mariana Islands,11,0,2,0,18.2%,State of Emergency,13,27,7,47,4/14 00:00,,,,2020-04-14 22:57 EDT
