County Name,State Name,Confirmed,New,Death,Fatality Rate,Latitude,Longitude,Last Update,STATEFP,COUNTYFP,Population Estimate 2018 (Ths.),Infection Rate
Spokane,Washington,9,0,0,0%,47.65726,-117.41228000000001,2020-03-19 23:11 EDT,53,063,14.28,0.6302521008403361
Grant,Washington,8,0,1,12.5%,47.19885794,-119.4525987,2020-03-19 23:11 EDT,53,025,1.23,6.504065040650406
Whatcom,Washington,7,0,0,0%,48.82559702,-121.7174182,2020-03-19 23:11 EDT,53,073,5.72,1.2237762237762237
Yakima,Washington,7,0,0,0%,46.60448,-120.50721000000001,2020-03-19 23:11 EDT,53,077,3.51,1.9943019943019944
Thurston,Washington,6,0,0,0%,46.91980578,-122.82986909999998,2020-03-19 23:11 EDT,53,067,4.1,1.4634146341463417
Jefferson,Washington,4,0,0,0%,47.74810608,-123.6000095,2020-03-19 23:11 EDT,53,031,0.63,6.349206349206349
Clark,Washington,4,0,3,75%,45.78187331,-122.48127849999999,2020-03-19 23:11 EDT,53,011,3.43,1.1661807580174925
Kittitas,Washington,4,0,0,0%,46.98472,-120.41752,2020-03-19 23:11 EDT,53,037,2.62,1.5267175572519083
Chelan,Washington,2,0,0,0%,47.86707169,-120.62526770000001,2020-03-19 23:11 EDT,53,007,0.93,2.150537634408602
Klickitat,Washington,2,0,0,0%,45.87640914,-120.79203970000002,2020-03-19 23:11 EDT,53,039,0.2,10.0
Grays Harbor,Washington,1,0,0,0%,47.15055235,-123.7737432,2020-03-19 23:11 EDT,53,027,2.7,0.37037037037037035
Columbia,Washington,1,0,0,0%,46.29757684,-117.90786340000001,2020-03-19 23:11 EDT,53,013,0.08,12.5
Lincoln,Washington,1,0,0,0%,47.57305061,-118.4177041,2020-03-19 23:11 EDT,53,043,0.09,11.11111111111111
Cowlitz,Washington,1,0,0,0%,46.19454048,-122.67832720000001,2020-03-19 23:11 EDT,53,015,1.21,0.8264462809917356
Lewis,Washington,1,0,0,0%,46.57779491,-122.39291580000001,2020-03-19 23:11 EDT,53,041,0.94,1.0638297872340425
Mason,Washington,1,0,0,0%,38.61504,-83.80988,2020-03-19 23:11 EDT,53,045,2.79,0.35842293906810035
Los Angeles,California,231,41,2,0.9%,34.053490000000004,-118.24531999999999,2020-03-19 23:11 EDT,06,037,178.33,1.29535131497785
Santa Clara,California,189,14,6,3.2%,37.35579,-121.95508999999998,2020-03-19 23:11 EDT,06,085,30.98,6.100710135571337
San Diego,California,101,25,0,0%,32.71568,-117.16171000000001,2020-03-19 23:11 EDT,06,073,108.14,0.9339744775291289
San Mateo,California,89,9,1,1.1%,37.54704,-122.31485,2020-03-19 23:11 EDT,06,081,8.82,10.090702947845804
San Francisco,California,70,19,0,0%,37.777120000000004,-122.41963999999999,2020-03-19 23:11 EDT,06,075,24.24,2.887788778877888
Orange,California,53,11,0,0%,33.78787,-117.85071,2020-03-19 23:11 EDT,06,059,44.93,1.1796127309147564
Sacramento,California,45,5,3,6.7%,38.57944000000001,-121.49085,2020-03-19 23:11 EDT,06,067,22.16,2.0306859205776173
Contra Costa,California,41,2,0,0%,37.91793732,-121.9259354,2020-03-19 23:11 EDT,06,013,10.61,3.8642789820923658
Alameda,California,38,4,0,0%,37.76683,-122.2453,2020-03-19 23:11 EDT,06,001,36.42,1.043382756727073
Riverside,California,22,6,3,13.6%,33.98171,-117.37404,2020-03-19 23:11 EDT,06,065,33.32,0.6602641056422569
San Joaquin,California,17,3,2,11.8%,37.93479557,-121.2713112,2020-03-19 23:11 EDT,06,077,15.02,1.1318242343541944
Marin,California,15,0,0,0%,38.07188727,-122.7195348,2020-03-19 23:11 EDT,06,041,8.22,1.824817518248175
Santa Cruz,California,14,1,0,0%,36.97424,-122.03098,2020-03-19 23:11 EDT,06,087,14.05,0.9964412811387899
Ventura,California,13,1,0,0%,34.28082,-119.29231999999999,2020-03-19 23:11 EDT,06,111,11.37,1.1433597185576079
San Luis Obispo,California,13,6,0,0%,35.28579000000001,-120.66275,2020-03-19 23:11 EDT,06,079,16.23,0.8009858287122612
Placer,California,9,0,1,11.1%,39.05913563,-120.75363279999999,2020-03-19 23:11 EDT,06,061,3.96,2.272727272727273
Solano,California,8,0,0,0%,38.27793363,-121.9272405,2020-03-19 23:11 EDT,06,095,11.4,0.7017543859649122
Santa Barbara,California,8,5,0,0%,34.41938,-119.69905,2020-03-19 23:11 EDT,06,083,19.63,0.40753948038716253
Tulare,California,7,2,0,0%,36.20649,-119.34305,2020-03-19 23:11 EDT,06,107,5.05,1.3861386138613863
Sonoma,California,6,0,0,0%,38.29188,-122.45728000000001,2020-03-19 23:11 EDT,06,097,10.92,0.5494505494505495
Yolo,California,5,0,0,0%,38.73431,-121.81278999999999,2020-03-19 23:11 EDT,06,113,10.17,0.4916420845624386
Stanislaus,California,5,0,0,0%,37.55932622,-120.9976619,2020-03-19 23:11 EDT,06,099,6.46,0.7739938080495357
San Bernardino,California,5,0,0,0%,34.10524,-117.29411999999999,2020-03-19 23:11 EDT,06,071,37.61,0.1329433661260303
Kern,California,4,3,0,0%,35.34281638,-118.7299395,2020-03-19 23:11 EDT,06,029,32.38,0.12353304508956145
Monterey,California,4,2,0,0%,36.21714603,-121.2390196,2020-03-19 23:11 EDT,06,053,18.09,0.22111663902708678
San Benito,California,3,0,0,0%,36.50506,-121.08332,2020-03-19 23:11 EDT,06,069,0.29,10.344827586206897
Fresno,California,3,0,0,0%,36.74084000000001,-119.78551999999999,2020-03-19 23:11 EDT,06,019,16.96,0.17688679245283018
Imperial,California,3,1,0,0%,32.84748,-115.56952,2020-03-19 23:11 EDT,06,025,9.05,0.3314917127071823
Calaveras,California,2,0,0,0%,38.20473567,-120.55406550000001,2020-03-19 23:11 EDT,06,009,0.49,4.081632653061225
Humboldt,California,1,0,0,0%,40.69879803,-123.87371470000001,2020-03-19 23:11 EDT,06,023,5.55,0.1801801801801802
Madera,California,1,0,0,0%,36.96205,-120.06398999999999,2020-03-19 23:11 EDT,06,039,7.91,0.1264222503160556
Shasta,California,1,0,0,0%,40.598279999999995,-122.49095,2020-03-19 23:11 EDT,06,089,2.83,0.35335689045936397
Nevada,California,1,0,0,0%,39.2616,-121.0161,2020-03-19 23:11 EDT,06,057,1.18,0.8474576271186441
Mendocino,California,1,1,0,0%,39.44024062600005,-123.39127840499998,2020-03-19 23:11 EDT,06,045,1.98,0.5050505050505051
Bergen,New Jersey,195,81,2,1%,40.95949149,-74.074442,2020-03-19 23:11 EDT,34,003,10.44,18.678160919540232
Middlesex,New Jersey,64,24,0,0%,40.57936,-74.50067,2020-03-19 23:11 EDT,34,023,23.36,2.73972602739726
Essex,New Jersey,63,18,1,1.6%,40.78779259,-74.24760059,2020-03-19 23:11 EDT,34,013,23.48,2.6831345826235093
Hudson,New Jersey,55,21,1,1.8%,40.74034231,-74.07410970000002,2020-03-19 23:11 EDT,34,017,9.48,5.80168776371308
Monmouth,New Jersey,43,11,1,2.3%,40.2600411,-74.22194634,2020-03-19 23:11 EDT,34,025,6.78,6.342182890855457
Passaic,New Jersey,38,20,0,0%,40.86034,-74.12374,2020-03-19 23:11 EDT,34,031,10.23,3.7145650048875853
Ocean,New Jersey,33,25,0,0%,39.90927434,-74.2969653,2020-03-19 23:11 EDT,34,029,6.88,4.796511627906977
Union,New Jersey,29,3,0,0%,40.69635,-74.26957,2020-03-19 23:11 EDT,34,039,6.56,4.420731707317073
Morris,New Jersey,26,7,0,0%,40.86201902,-74.5442741,2020-03-19 23:11 EDT,34,027,8.57,3.0338389731621938
Somerset,New Jersey,21,5,0,0%,40.49859,-74.52249,2020-03-19 23:11 EDT,34,035,5.28,3.977272727272727
Mercer,New Jersey,20,5,0,0%,40.28331911,-74.70157374,2020-03-19 23:11 EDT,34,021,20.37,0.9818360333824251
Burlington,New Jersey,14,4,0,0%,40.07687,-74.85775,2020-03-19 23:11 EDT,34,005,11.74,1.192504258943782
Camden,New Jersey,13,5,0,0%,39.94525,-75.11913,2020-03-19 23:11 EDT,34,007,7.5,1.7333333333333334
Hunterdon,New Jersey,8,2,0,0%,40.56725317,-74.91217921,2020-03-19 23:11 EDT,34,019,3.68,2.1739130434782608
Warren,New Jersey,3,2,0,0%,40.85732358,-74.997063,2020-03-19 23:11 EDT,34,041,1.98,1.5151515151515151
Atlantic,New Jersey,3,0,0,0%,39.4806564,-74.67264306,2020-03-19 23:11 EDT,34,001,6.04,0.4966887417218543
Gloucester,New Jersey,2,0,0,0%,39.71720107,-75.14164366,2020-03-19 23:11 EDT,34,015,4.24,0.4716981132075471
