State Name,Confirmed,New,Death,New Death,Fatality Rate,Emergency,Test Positive,Test Negative,Test Pending,Total Test,Test Last Update,State FIPS,Latitude,Longitude,Last Update
New York,190288,8463,9385,757,4.9%,State of Emergency,188694,272907,,461601,4/12 00:00,36,42.165726,-74.948051,2020-04-12 22:38 EDT
New Jersey,61850,3699,2350,167,3.8%,State of Emergency,61850,64885,,126735,4/12 13:00,34,40.298904,-74.521011,2020-04-12 22:38 EDT
Massachusetts,25475,2615,756,70,3%,State of Emergency,25475,91255,,116730,4/12 16:00,25,42.230171,-71.530106,2020-04-12 22:38 EDT
Michigan,24638,648,1487,95,6%,State of Emergency,24638,54799,,79437,4/12 11:00,26,43.326617999999996,-84.53609499999999,2020-04-12 22:38 EDT
California,23209,793,675,41,2.9%,State of Emergency,21794,168534,13200,203528,4/11 00:00,06,36.116203000000006,-119.681564,2020-04-12 22:38 EDT
Pennsylvania,22997,1055,557,29,2.4%,State of Emergency,22833,102057,,124890,4/12 12:00,42,40.590752,-77.209755,2020-04-12 22:38 EDT
Illinois,20852,1673,720,43,3.5%,State of Emergency,20852,79883,,100735,4/12 00:00,17,40.349457,-88.986137,2020-04-12 22:38 EDT
Louisiana,20595,581,840,40,4.1%,State of Emergency,20595,83450,,104045,4/12 13:00,22,31.169546,-91.867805,2020-04-12 22:38 EDT
Florida,19895,912,461,16,2.3%,State of Emergency,19355,163398,1297,184050,4/12 11:23,12,27.766278999999997,-81.68678299999999,2020-04-12 22:38 EDT
Texas,13807,454,292,18,2.1%,State of Emergency,13484,111049,,124533,4/11 21:00,48,31.054486999999998,-97.563461,2020-04-12 22:38 EDT
Georgia,12550,289,442,9,3.5%,State of Emergency,12452,42001,,54453,4/12 11:27,13,33.040619,-83.643074,2020-04-12 22:38 EDT
Connecticut,12035,525,554,60,4.6%,State of Emergency,12035,29185,,41220,4/12 16:00,09,41.597782,-72.755371,2020-04-12 22:38 EDT
Washington,10530,114,510,14,4.8%,State of Emergency,10224,83391,,93615,4/11 02:59,53,47.400902,-121.490494,2020-04-12 22:38 EDT
Maryland,8225,531,236,30,2.9%,State of Emergency,8225,41539,,49764,4/12 10:00,24,39.063946,-76.80210100000001,2020-04-12 22:38 EDT
Indiana,7928,495,343,13,4.3%,State of Emergency,7928,34561,,42489,4/11 11:59,18,39.849426,-86.258278,2020-04-12 22:38 EDT
Colorado,7307,415,290,16,4%,State of Emergency,6893,27980,,34873,4/11 00:00,08,39.059810999999996,-105.311104,2020-04-12 22:38 EDT
Ohio,6604,356,253,7,3.8%,State of Emergency,6604,56639,,63243,4/12 14:00,39,40.388783000000004,-82.764915,2020-04-12 22:38 EDT
Tennessee,5508,376,106,0,1.9%,State of Emergency,5308,65369,,70677,4/11 15:00,47,35.747845,-86.69234499999999,2020-04-12 22:38 EDT
Virginia,5274,197,141,11,2.7%,State of Emergency,5274,34711,521,40506,4/11 17:00,51,37.769337,-78.16996800000001,2020-04-12 22:38 EDT
North Carolina,4590,189,90,1,2%,State of Emergency,4520,57619,,62139,4/12 10:45,37,35.630066,-79.80641899999999,2020-04-12 22:38 EDT
Missouri,4272,124,118,2,2.8%,State of Emergency,4160,41040,,45200,4/12 15:00,29,38.456084999999995,-92.288368,2020-04-12 22:38 EDT
Alabama,3583,322,93,0,2.6%,State of Emergency,3525,18058,,21583,4/12 00:00,01,32.806671,-86.79113000000001,2020-04-12 22:38 EDT
Arizona,3542,149,115,7,3.2%,State of Emergency,3539,38570,,42109,4/12 00:00,04,33.729759,-111.431221,2020-04-12 22:38 EDT
US Military,3366,0,13,0,0.4%,State of Emergency,,,,,,,,,2020-04-12 22:38 EDT
Wisconsin,3341,128,144,7,4.3%,State of Emergency,3341,35916,,39257,4/12 09:46,55,44.268543,-89.616508,2020-04-12 22:38 EDT
South Carolina,3320,111,82,2,2.5%,State of Emergency,3319,28106,,31425,4/12 15:30,45,33.856891999999995,-80.94500699999999,2020-04-12 22:38 EDT
Nevada,2836,89,112,4,3.9%,State of Emergency,2836,21775,,24611,4/12 10:30,32,38.313515,-117.055374,2020-04-12 22:38 EDT
Mississippi,2781,141,96,3,3.5%,State of Emergency,2781,18632,,21413,4/11 19:00,28,32.741646,-89.678696,2020-04-12 22:38 EDT
Rhode Island,2665,316,63,7,2.4%,State of Emergency,2665,17685,,20350,4/12 00:00,44,41.680893,-71.51178,2020-04-12 22:38 EDT
Utah,2303,97,18,0,0.8%,State of Emergency,2303,41931,,44234,4/12 15:00,49,40.150032,-111.86243400000001,2020-04-12 22:38 EDT
Oklahoma,1970,102,96,2,4.9%,State of Emergency,1970,20790,,22760,4/12 08:00,40,35.565342,-96.928917,2020-04-12 22:38 EDT
Kentucky,1963,112,97,3,4.9%,State of Emergency,1840,22727,,24567,4/11 17:00,21,37.66814,-84.670067,2020-04-12 22:38 EDT
District of Columbia,1875,97,50,3,2.7%,State of Emergency,1875,8765,,10640,4/11 00:00,11,38.897438,-77.02681700000001,2020-04-12 22:38 EDT
Delaware,1625,146,35,2,2.2%,State of Emergency,1479,9624,,11103,4/11 13:30,10,39.318523,-75.507141,2020-04-12 22:38 EDT
Minnesota,1621,198,70,7,4.3%,State of Emergency,1621,35800,,37421,4/11 21:00,27,45.694454,-93.900192,2020-04-12 22:38 EDT
Iowa,1587,77,41,7,2.6%,State of Emergency,1587,16005,,17592,4/12 00:00,19,42.011539,-93.210526,2020-04-12 22:38 EDT
Oregon,1527,80,52,1,3.4%,State of Emergency,1527,28231,,29758,4/12 11:00,41,44.572021,-122.07093799999998,2020-04-12 22:38 EDT
Idaho,1407,0,27,0,1.9%,State of Emergency,1407,12901,,14308,4/11 19:00,16,44.240459,-114.47882800000001,2020-04-12 22:38 EDT
Kansas,1337,69,56,1,4.2%,State of Emergency,1337,11916,,13253,4/12 12:00,20,38.5266,-96.726486,2020-04-12 22:38 EDT
Arkansas,1280,52,27,2,2.1%,State of Emergency,1280,18442,,19722,4/12 11:33,05,34.969704,-92.37312299999999,2020-04-12 22:38 EDT
New Mexico,1245,71,26,6,2.1%,State of Emergency,1174,27518,,28692,4/11 00:00,35,34.840515,-106.24848200000001,2020-04-12 22:38 EDT
New Hampshire,985,56,23,0,2.3%,State of Emergency,929,9996,119,11044,4/11 09:00,33,43.452492,-71.563896,2020-04-12 22:38 EDT
Puerto Rico,897,109,44,2,4.9%,State of Emergency,897,5819,1251,7967,4/12 07:00,72,18.24914,-66.62804,2020-04-12 22:38 EDT
Nebraska,791,87,17,0,2.1%,State of Emergency,791,9900,,10691,4/12 13:40,31,41.125370000000004,-98.26808199999999,2020-04-12 22:38 EDT
South Dakota,730,104,6,0,0.8%,State of Emergency,730,7823,0,8553,4/11 18:00,46,44.299782,-99.438828,2020-04-12 22:38 EDT
Vermont,727,16,27,2,3.7%,State of Emergency,727,9114,,9841,4/12 00:00,50,44.045876,-72.710686,2020-04-12 22:38 EDT
Navajo Nation,698,0,24,0,3.4%,State of Emergency,,,,,,,,,2020-04-12 22:38 EDT
Maine,633,17,19,0,3%,State of Emergency,633,6088,,6721,4/12 10:30,23,44.693946999999994,-69.381927,2020-04-12 22:38 EDT
West Virginia,611,19,8,2,1.3%,State of Emergency,611,15646,,16257,4/12 17:00,54,38.491226,-80.954453,2020-04-12 22:38 EDT
Hawaii,499,13,9,0,1.8%,State of Emergency,486,17482,,17968,4/11 18:00,15,21.094317999999998,-157.49833700000002,2020-04-12 22:38 EDT
Montana,387,10,6,0,1.6%,State of Emergency,387,8526,,8913,4/12 10:21,30,46.921925,-110.454353,2020-04-12 22:38 EDT
North Dakota,308,15,8,1,2.6%,State of Emergency,308,10042,,10350,4/12 12:58,38,47.528912,-99.784012,2020-04-12 22:38 EDT
Alaska,272,15,8,0,2.9%,State of Emergency,272,7766,,8038,4/12 14:50,02,61.370716,-152.404419,2020-04-12 22:38 EDT
