County Name,State Name,Confirmed,New,Death,New Death,Fatality Rate,Latitude,Longitude,Last Update,STATEFP,COUNTYFP,Population Estimate 2018 (Ths.),Infection Rate
New York,New York,38087,4613,914,914,2.4%,40.71455,-74.00714,2020-03-30 22:53 EDT,36,500,8443.713,4.510693340713972
Westchester,New York,9326,807,10,10,0.1%,41.16319759,-73.7560629,2020-03-30 22:53 EDT,36,119,968.815,9.626192823191218
Nassau,New York,7344,899,48,48,0.7%,40.74165225,-73.58899619,2020-03-30 22:53 EDT,36,059,1356.564,5.413677496970287
Suffolk,New York,5791,768,44,44,0.8%,40.87732808,-72.85898036,2020-03-30 22:53 EDT,36,103,1487.901,3.892060022810657
Rockland,New York,2511,302,8,8,0.3%,41.152374,-74.02401032,2020-03-30 22:53 EDT,36,087,323.686,7.757518088517885
Orange,New York,1435,188,5,5,0.3%,41.40206825,-74.30559567,2020-03-30 22:53 EDT,36,071,378.227,3.7940178781525384
Erie,New York,463,49,8,8,1.7%,42.76382119,-78.73224973,2020-03-30 22:53 EDT,36,029,919.866,0.503334181282926
Dutchess,New York,392,72,3,3,0.8%,41.76477515,-73.74281684,2020-03-30 22:53 EDT,36,027,293.894,1.333814232342273
Monroe,New York,257,34,8,8,3.1%,43.14604282,-77.69674911,2020-03-30 22:53 EDT,36,055,744.248,0.3453150025260397
Onondaga,New York,228,34,1,1,0.4%,43.00487,-76.1836,2020-03-30 22:53 EDT,36,067,464.242,0.4911231642117689
Albany,New York,217,12,1,1,0.5%,42.65155,-73.75520999999998,2020-03-30 22:53 EDT,36,001,307.426,0.7058609226285351
Ulster,New York,207,21,0,0,0.0%,41.95986,-73.99033,2020-03-30 22:53 EDT,36,111,179.303,1.1544703658053685
Putnam,New York,167,23,0,0,0.0%,41.42653455,-73.7494999,2020-03-30 22:53 EDT,36,079,99.070,1.6856767941859292
Saratoga,New York,108,0,1,1,0.9%,43.06974,-73.63661,2020-03-30 22:53 EDT,36,091,227.377,0.4749820782225115
Sullivan,New York,106,18,1,1,0.9%,41.71631354,-74.76811083,2020-03-30 22:53 EDT,36,105,75.211,1.409368310486498
Schenectady,New York,80,4,1,1,1.2%,42.81238,-73.94122,2020-03-30 22:53 EDT,36,093,154.883,0.5165189207337152
Tompkins,New York,73,3,0,0,0.0%,42.44933495,-76.47064359,2020-03-30 22:53 EDT,36,109,102.962,0.708999436685379
Rensselaer,New York,54,2,0,0,0.0%,42.71086263,-73.5097379,2020-03-30 22:53 EDT,36,083,159.431,0.33870451794193096
Madison,New York,49,7,1,1,2.0%,42.91290749,-75.66978904,2020-03-30 22:53 EDT,36,053,71.359,0.6866688154262252
Niagara,New York,41,3,0,0,0.0%,43.19998147,-78.74522262,2020-03-30 22:53 EDT,36,063,211.704,0.19366662887805614
Columbia,New York,36,3,1,1,2.8%,42.25001078,-73.63186134,2020-03-30 22:53 EDT,36,021,60.919,0.5909486367143256
Broome,New York,35,6,3,3,8.6%,42.16021802,-75.81964586,2020-03-30 22:53 EDT,36,007,194.402,0.18003930000720156
Oneida,New York,34,8,0,0,0.0%,43.24306498,-75.42583597,2020-03-30 22:53 EDT,36,065,230.782,0.14732518133996586
St. Lawrence,New York,23,10,0,0,0.0%,44.17727,-76.16771999999997,2020-03-30 22:53 EDT,36,089,109.558,0.20993446393691015
Ontario,New York,20,2,0,0,0.0%,42.85288942,-77.29981098,2020-03-30 22:53 EDT,36,069,109.472,0.1826951183864367
Steuben,New York,19,2,0,0,0.0%,42.26782685,-77.38382596,2020-03-30 22:53 EDT,36,101,96.927,0.19602381173460437
Warren,New York,18,0,0,0,0.0%,43.5592099,-73.85881158,2020-03-30 22:53 EDT,36,113,64.480,0.2791563275434243
Clinton,New York,17,3,0,0,0.0%,44.7904,-73.6006,2020-03-30 22:53 EDT,36,019,80.794,0.21041166423249252
Chenango,New York,17,2,0,0,0.0%,42.49349443,-75.61153709999998,2020-03-30 22:53 EDT,36,017,48.348,0.35161744022503516
Otsego,New York,17,3,1,1,5.9%,42.63373751,-75.03256231,2020-03-30 22:53 EDT,36,077,60.244,0.28218577783679705
Wayne,New York,15,3,0,0,0.0%,42.474131,-77.09816,2020-03-30 22:53 EDT,36,117,90.856,0.16509641630712335
Livingston,New York,15,2,0,0,0.0%,42.72808354,-77.77543855,2020-03-30 22:53 EDT,36,051,63.907,0.2347160717918225
Oswego,New York,15,0,0,0,0.0%,43.4365257,-76.14924403,2020-03-30 22:53 EDT,36,075,119.104,0.12594035464803868
Chemung,New York,15,0,0,0,0.0%,42.1411881,-76.76001059999999,2020-03-30 22:53 EDT,36,015,85.740,0.17494751574527642
Delaware,New York,12,4,0,0,0.0%,42.19804334,-74.96635196,2020-03-30 22:53 EDT,36,025,45.502,0.26372467144301354
Herkimer,New York,12,2,2,2,16.7%,43.0259,-74.98433,2020-03-30 22:53 EDT,36,043,62.505,0.1919846412287017
Genesee,New York,11,2,1,1,9.1%,43.00094016,-78.1936949,2020-03-30 22:53 EDT,36,037,58.112,0.18928964757709252
Jefferson,New York,11,4,0,0,0.0%,44.04103424,-75.91225529,2020-03-30 22:53 EDT,36,045,114.448,0.09611351880329932
Greene,New York,10,3,0,0,0.0%,42.27654571,-74.12261588,2020-03-30 22:53 EDT,36,039,47.617,0.2100090303883067
Cortland,New York,10,0,0,0,0.0%,42.59500111,-76.07023743,2020-03-30 22:53 EDT,36,023,48.123,0.2078008436714253
Allegany,New York,9,3,1,1,11.1%,42.25739788,-78.02755444,2020-03-30 22:53 EDT,36,003,47.025,0.19138755980861244
Washington,New York,9,0,0,0,0.0%,43.31227113,-73.43096234,2020-03-30 22:53 EDT,36,115,61.828,0.14556511612861486
Tioga,New York,8,1,0,0,0.0%,42.06057,-76.34519,2020-03-30 22:53 EDT,36,107,49.045,0.16311550616780507
Wyoming,New York,8,0,1,1,12.5%,42.70242659,-78.22443261,2020-03-30 22:53 EDT,36,121,40.565,0.19721434734376928
Chautauqua,New York,7,0,0,0,0.0%,42.22826274,-79.36643298,2020-03-30 22:53 EDT,36,013,129.656,0.053989017091380265
Montgomery,New York,6,0,0,0,0.0%,42.90229179999999,-74.43960085,2020-03-30 22:53 EDT,36,057,49.426,0.12139359851090518
Schoharie,New York,6,1,0,0,0.0%,42.58820746,-74.44213588,2020-03-30 22:53 EDT,36,095,31.364,0.19130212983037878
Franklin,New York,6,0,0,0,0.0%,44.592675381999996,-74.3034218499999,2020-03-30 22:53 EDT,36,033,50.692,0.11836187169573108
Cattaraugus,New York,6,2,0,0,0.0%,42.2485958350001,-78.678812022,2020-03-30 22:53 EDT,36,009,77.686,0.07723399325489791
