County Name,State Name,Confirmed,New,Death,Fatality Rate,Last Update,STATEFP,COUNTYFP,Population Estimate 2018 (Ths.),Infection Rate
Ocean,New Jersey,1,0,0,0%,2020-03-14 12:04 EDT,34,029,6.88,0.14534883720930233
Mercer,New Jersey,1,0,0,0%,2020-03-14 12:04 EDT,34,021,20.37,0.049091801669121256
Cook,Illinois,40,0,0,0%,2020-03-14 12:04 EDT,17,031,90.99,0.43960874821408946
Kane,Illinois,2,0,0,0%,2020-03-14 12:04 EDT,17,089,6.81,0.2936857562408223
McHenry,Illinois,2,0,0,0%,2020-03-14 12:04 EDT,17,111,1.65,1.2121212121212122
Lake,Illinois,2,0,0,0%,2020-03-14 12:04 EDT,17,097,18.67,0.1071237279057311
Montgomery,Pennsylvania,18,0,0,0%,2020-03-14 12:04 EDT,42,091,21.66,0.8310249307479224
Delaware,Pennsylvania,6,0,0,0%,2020-03-14 12:04 EDT,42,045,22.69,0.2644336712208021
Monroe,Pennsylvania,3,0,0,0%,2020-03-14 12:04 EDT,42,089,4.51,0.6651884700665189
Philadelphia,Pennsylvania,3,0,0,0%,2020-03-14 12:04 EDT,42,101,56.54,0.05305978068623983
Bucks,Pennsylvania,3,0,0,0%,2020-03-14 12:04 EDT,42,017,8.04,0.373134328358209
Cumberland,Pennsylvania,3,0,0,0%,2020-03-14 12:04 EDT,42,041,12.25,0.24489795918367346
Wayne,Pennsylvania,1,0,0,0%,2020-03-14 12:04 EDT,42,127,3.73,0.2680965147453083
Northampton,Pennsylvania,1,0,0,0%,2020-03-14 12:04 EDT,42,095,11.25,0.08888888888888889
Pike,Pennsylvania,1,0,0,0%,2020-03-14 12:04 EDT,42,103,0.48,2.0833333333333335
Chester,Pennsylvania,1,0,0,0%,2020-03-14 12:04 EDT,42,029,13.5,0.07407407407407407
Washington,Pennsylvania,1,0,0,0%,2020-03-14 12:04 EDT,42,125,5.49,0.18214936247723132
Washington,Oregon,10,0,0,0%,2020-03-14 12:04 EDT,41,067,7.35,1.3605442176870748
Linn,Oregon,8,0,0,0%,2020-03-14 12:04 EDT,41,043,1.08,7.4074074074074066
Deschutes,Oregon,3,0,0,0%,2020-03-14 12:04 EDT,41,017,1.38,2.173913043478261
Jackson,Oregon,2,0,0,0%,2020-03-14 12:04 EDT,41,029,3.63,0.5509641873278237
Umatilla,Oregon,2,0,0,0%,2020-03-14 12:04 EDT,41,059,4.19,0.477326968973747
Marion,Oregon,2,0,0,0%,2020-03-14 12:04 EDT,41,047,10.76,0.1858736059479554
Klamath,Oregon,1,0,0,0%,2020-03-14 12:04 EDT,41,035,1.03,0.970873786407767
Douglas,Oregon,1,0,0,0%,2020-03-14 12:04 EDT,41,019,1.82,0.5494505494505494
Multnomah,Oregon,1,0,0,0%,2020-03-14 12:04 EDT,41,051,19.04,0.052521008403361345
Polk,Oregon,1,0,0,0%,2020-03-14 12:04 EDT,41,053,1.84,0.5434782608695652
Clackamas,Oregon,1,0,0,0%,2020-03-14 12:04 EDT,41,005,2.92,0.3424657534246575
James City,Virginia,7,0,0,0%,2020-03-14 12:04 EDT,51,095,1.14,6.140350877192983
Fairfax,Virginia,6,0,0,0%,2020-03-14 12:04 EDT,51,059,10.62,0.5649717514124294
Arlington,Virginia,5,0,0,0%,2020-03-14 12:04 EDT,51,013,2.88,1.7361111111111112
Loudoun,Virginia,3,0,0,0%,2020-03-14 12:04 EDT,51,107,1.7,1.7647058823529411
Prince William,Virginia,2,0,0,0%,2020-03-14 12:04 EDT,51,153,2.7,0.7407407407407407
Spotsylvania,Virginia,1,0,0,0%,2020-03-14 12:04 EDT,51,177,0.52,1.923076923076923
Hanover,Virginia,1,0,0,0%,2020-03-14 12:04 EDT,51,085,1.95,0.5128205128205129
Prince Edward,Virginia,1,0,0,0%,2020-03-14 12:04 EDT,51,147,4.05,0.2469135802469136
Chesterfield,Virginia,1,1,0,0%,2020-03-14 12:04 EDT,51,041,4.56,0.2192982456140351
Davidson,Tennessee,13,3,0,0%,2020-03-14 12:04 EDT,47,037,26.43,0.49186530457813094
Williamson,Tennessee,9,0,0,0%,2020-03-14 12:04 EDT,47,187,1.15,7.82608695652174
Shelby,Tennessee,2,0,0,0%,2020-03-14 12:04 EDT,47,157,18.24,0.10964912280701755
Sullivan,Tennessee,1,0,0,0%,2020-03-14 12:04 EDT,47,163,2.63,0.3802281368821293
Knox,Tennessee,1,0,0,0%,2020-03-14 12:04 EDT,47,093,12.38,0.08077544426494346
Hamilton,Tennessee,1,0,0,0%,2020-03-14 12:04 EDT,47,065,9.82,0.10183299389002036
Jefferson,Tennessee,1,0,0,0%,2020-03-14 12:04 EDT,47,089,1.5,0.6666666666666666
Rutherford,Tennessee,1,0,0,0%,2020-03-14 12:04 EDT,47,149,5.1,0.19607843137254904
Campbell,Tennessee,1,0,0,0%,2020-03-14 12:04 EDT,47,013,0.52,1.923076923076923
Prince George's,Maryland,7,0,0,0%,2020-03-14 12:04 EDT,24,033,20.01,0.34982508745627183
Montgomery,Maryland,6,0,0,0%,2020-03-14 12:04 EDT,24,031,9.01,0.6659267480577137
Baltimore,Maryland,2,0,0,0%,2020-03-14 12:04 EDT,24,005,21.42,0.09337068160597571
Harford,Maryland,1,0,0,0%,2020-03-14 12:04 EDT,24,025,2.75,0.36363636363636365
Charles,Maryland,1,0,0,0%,2020-03-14 12:04 EDT,24,017,1.41,0.7092198581560284
Anne Arundel,Maryland,1,0,0,0%,2020-03-14 12:04 EDT,24,003,14.99,0.066711140760507
Carroll,Maryland,1,0,0,0%,2020-03-14 12:04 EDT,24,013,3.37,0.29673590504451036
Oakland,Michigan,6,0,0,0%,2020-03-14 12:04 EDT,26,125,13.24,0.45317220543806647
Wayne,Michigan,6,0,0,0%,2020-03-14 12:04 EDT,26,163,22.72,0.26408450704225356
