State Name,Confirmed,New,Death,New Death,Fatality Rate,Emergency,Test Positive,Test Negative,Test Pending,Total Test,Test Last Update,State FIPS,Latitude,Longitude,Last Update
New York,161807,10729,7067,799,4.4%,State of Emergency,159937,231612,,391549,4/09 00:00,36,42.165726,-74.948051,2020-04-09 22:52 EDT
New Jersey,51027,3590,1709,205,3.3%,State of Emergency,51027,56165,,107192,4/09 08:00,34,40.298904,-74.521011,2020-04-09 22:52 EDT
Michigan,21504,1159,1076,118,5%,State of Emergency,21504,31362,,52866,4/09 11:00,26,43.326617999999996,-84.53609499999999,2020-04-09 22:52 EDT
California,20067,1036,556,48,2.8%,State of Emergency,18309,145191,14100,177600,4/08 19:00,06,36.116203000000006,-119.681564,2020-04-09 22:52 EDT
Massachusetts,18941,2151,503,70,2.7%,State of Emergency,18941,76017,,94958,4/09 12:30,25,42.230171,-71.530106,2020-04-09 22:52 EDT
Pennsylvania,18633,1887,365,46,2%,State of Emergency,18228,87374,,105602,4/09 12:00,42,40.590752,-77.209755,2020-04-09 22:52 EDT
Louisiana,18283,1253,702,51,3.8%,State of Emergency,18283,68636,,86919,4/09 13:00,22,31.169546,-91.867805,2020-04-09 22:52 EDT
Florida,16826,1128,371,48,2.2%,State of Emergency,16364,136185,1395,153944,4/09 10:00,12,27.766278999999997,-81.68678299999999,2020-04-09 22:52 EDT
Illinois,16422,1343,528,66,3.2%,State of Emergency,16422,64435,,80857,4/09 00:00,17,40.349457,-88.986137,2020-04-09 22:52 EDT
Texas,11483,1409,223,30,1.9%,State of Emergency,10230,95904,,106134,4/09 13:15,48,31.054486999999998,-97.563461,2020-04-09 22:52 EDT
Georgia,10885,679,412,47,3.8%,State of Emergency,10566,30519,,41085,4/09 11:54,13,33.040619,-83.643074,2020-04-09 22:52 EDT
Connecticut,9784,1003,380,45,3.9%,State of Emergency,9784,23718,,33502,4/09 16:00,09,41.597782,-72.755371,2020-04-09 22:52 EDT
Washington,9753,476,457,25,4.7%,State of Emergency,9097,83391,,92488,4/08 18:30,53,47.400902,-121.490494,2020-04-09 22:52 EDT
Indiana,6351,0,245,0,3.9%,State of Emergency,6351,25782,,32133,4/08 23:59,18,39.849426,-86.258278,2020-04-09 22:52 EDT
Colorado,6202,547,226,33,3.6%,State of Emergency,5655,23544,,29199,4/08 18:00,08,39.059810999999996,-105.311104,2020-04-09 22:52 EDT
Maryland,6185,656,138,14,2.2%,State of Emergency,6185,35344,,41529,4/09 10:00,24,39.063946,-76.80210100000001,2020-04-09 22:52 EDT
Ohio,5512,366,213,20,3.9%,State of Emergency,5512,50473,,55985,4/09 14:00,39,40.388783000000004,-82.764915,2020-04-09 22:52 EDT
Tennessee,4634,271,94,15,2%,State of Emergency,4634,55215,,59849,4/09 15:00,47,35.747845,-86.69234499999999,2020-04-09 22:52 EDT
Virginia,4042,397,109,34,2.7%,State of Emergency,4042,28984,627,33653,4/09 00:00,51,37.769337,-78.16996800000001,2020-04-09 22:52 EDT
North Carolina,3833,254,76,8,2%,State of Emergency,3651,44158,,47809,4/09 11:00,37,35.630066,-79.80641899999999,2020-04-09 22:52 EDT
Missouri,3432,0,93,0,2.7%,State of Emergency,3539,34955,,38494,4/09 15:00,29,38.456084999999995,-92.288368,2020-04-09 22:52 EDT
US Military,3132,0,8,0,0.3%,State of Emergency,,,,,,,,,2020-04-09 22:52 EDT
Arizona,3018,292,89,8,2.9%,State of Emergency,3018,34160,,37178,4/09 00:00,04,33.729759,-111.431221,2020-04-09 22:52 EDT
Wisconsin,2890,78,111,8,3.8%,State of Emergency,2885,31424,,34309,4/09 16:00,55,44.268543,-89.616508,2020-04-09 22:52 EDT
Alabama,2838,341,78,11,2.7%,State of Emergency,2769,18058,,20827,4/09 00:00,01,32.806671,-86.79113000000001,2020-04-09 22:52 EDT
South Carolina,2793,241,67,4,2.4%,State of Emergency,2792,24575,,27367,4/09 16:08,45,33.856891999999995,-80.94500699999999,2020-04-09 22:52 EDT
Nevada,2456,138,81,7,3.3%,State of Emergency,2456,19315,,21771,4/09 09:30,32,38.313515,-117.055374,2020-04-09 22:52 EDT
Mississippi,2260,257,76,9,3.4%,State of Emergency,2260,18632,,20892,4/08 00:00,28,32.741646,-89.678696,2020-04-09 22:52 EDT
Utah,1977,130,13,0,0.7%,State of Emergency,1976,36397,,38373,4/09 15:00,49,40.150032,-111.86243400000001,2020-04-09 22:52 EDT
Rhode Island,1727,277,43,8,2.5%,State of Emergency,1727,10682,,12409,4/09 15:32,44,41.680893,-71.51178,2020-04-09 22:52 EDT
Oklahoma,1686,160,80,1,4.7%,State of Emergency,1684,18595,,20279,4/09 08:00,40,35.565342,-96.928917,2020-04-09 22:52 EDT
District of Columbia,1523,83,32,5,2.1%,State of Emergency,1523,7201,,8724,4/08 00:00,11,38.897438,-77.02681700000001,2020-04-09 22:52 EDT
Idaho,1354,122,24,7,1.8%,State of Emergency,1232,11299,,12531,4/08 19:00,16,44.240459,-114.47882800000001,2020-04-09 22:52 EDT
Kentucky,1341,0,73,0,5.4%,State of Emergency,1346,20455,,21801,4/08 17:00,21,37.66814,-84.670067,2020-04-09 22:52 EDT
Oregon,1321,84,44,6,3.3%,State of Emergency,1321,24306,,25627,4/09 11:00,41,44.572021,-122.07093799999998,2020-04-09 22:52 EDT
Iowa,1270,125,29,2,2.3%,State of Emergency,1270,13703,,14973,4/09 00:00,19,42.011539,-93.210526,2020-04-09 22:52 EDT
Minnesota,1242,90,50,11,4%,State of Emergency,1242,31052,,32294,4/09 12:00,27,45.694454,-93.900192,2020-04-09 22:52 EDT
Delaware,1209,93,23,4,1.9%,State of Emergency,1207,8683,,9890,4/09 17:00,10,39.318523,-75.507141,2020-04-09 22:52 EDT
Arkansas,1146,69,21,3,1.8%,State of Emergency,1119,13832,,14951,4/09 14:35,05,34.969704,-92.37312299999999,2020-04-09 22:52 EDT
Kansas,1117,66,42,8,3.8%,State of Emergency,1106,9669,,10775,4/09 12:00,20,38.5266,-96.726486,2020-04-09 22:52 EDT
