County Name,State Name,Confirmed,New,Death,New Death,Fatality Rate,Latitude,Longitude,Last Update,STATEFP,COUNTYFP,Population Estimate 2018 (Ths.),Infection Rate
New York,New York,43119,5032,1096,1096,2.5%,40.71455,-74.00714,2020-03-31 22:50 EDT,36,500,8443.713,5.106639697488534
Westchester,New York,9967,641,25,25,0.3%,41.16319759,-73.7560629,2020-03-31 22:50 EDT,36,119,968.815,10.287825849104317
Nassau,New York,8544,1200,63,63,0.7%,40.74165225,-73.58899619,2020-03-31 22:50 EDT,36,059,1356.564,6.298265323272622
Suffolk,New York,6713,922,53,53,0.8%,40.87732808,-72.85898036,2020-03-31 22:50 EDT,36,103,1487.901,4.5117249064285865
Rockland,New York,2863,352,18,18,0.6%,41.152374,-74.02401032,2020-03-31 22:50 EDT,36,087,323.686,8.844991751265116
Orange,New York,1560,125,12,12,0.8%,41.40206825,-74.30559567,2020-03-31 22:50 EDT,36,071,378.227,4.1245072403609475
Erie,New York,553,90,10,10,1.8%,42.76382119,-78.73224973,2020-03-31 22:50 EDT,36,029,919.866,0.6011745188973175
Dutchess,New York,484,92,3,3,0.6%,41.76477515,-73.74281684,2020-03-31 22:50 EDT,36,027,293.894,1.6468522664634186
Monroe,New York,300,43,9,9,3.0%,43.14604282,-77.69674911,2020-03-31 22:50 EDT,36,055,744.248,0.40309144263740043
Onondaga,New York,249,21,1,1,0.4%,43.004870000000004,-76.1836,2020-03-31 22:50 EDT,36,067,464.242,0.5363581924944318
Albany,New York,226,9,1,1,0.4%,42.65155,-73.75520999999998,2020-03-31 22:50 EDT,36,001,307.426,0.7351362604334052
Ulster,New York,217,10,1,1,0.5%,41.95986,-73.99033,2020-03-31 22:50 EDT,36,111,179.303,1.2102418810616666
Putnam,New York,186,19,0,0,0.0%,41.42653455,-73.7494999,2020-03-31 22:50 EDT,36,079,99.070,1.8774603815484003
Sullivan,New York,118,12,1,1,0.8%,41.71631354,-74.76811083,2020-03-31 22:50 EDT,36,105,75.211,1.5689194399755355
Saratoga,New York,108,0,1,1,0.9%,43.06974,-73.63661,2020-03-31 22:50 EDT,36,091,227.377,0.4749820782225115
Schenectady,New York,85,5,1,1,1.2%,42.81238,-73.94122,2020-03-31 22:50 EDT,36,093,154.883,0.5488013532795724
Tompkins,New York,76,3,0,0,0.0%,42.44933495,-76.47064359,2020-03-31 22:50 EDT,36,109,102.962,0.738136399836833
Madison,New York,62,13,2,2,3.2%,42.91290749,-75.66978904,2020-03-31 22:50 EDT,36,053,71.359,0.868846256253591
Rensselaer,New York,55,1,0,0,0.0%,42.71086263,-73.5097379,2020-03-31 22:50 EDT,36,083,159.431,0.3449768238297445
Niagara,New York,42,1,0,0,0.0%,43.19998147,-78.74522262,2020-03-31 22:50 EDT,36,063,211.704,0.19839020519215508
Columbia,New York,41,5,1,1,2.4%,42.25001078,-73.63186134,2020-03-31 22:50 EDT,36,021,60.919,0.6730248362579819
Oneida,New York,40,6,0,0,0.0%,43.24306498,-75.42583597,2020-03-31 22:50 EDT,36,065,230.782,0.173323742752901
Broome,New York,38,3,3,3,7.9%,42.16021802,-75.81964586,2020-03-31 22:50 EDT,36,007,194.402,0.19547124000781885
St. Lawrence,New York,30,7,0,0,0.0%,44.17727,-76.16771999999997,2020-03-31 22:50 EDT,36,089,109.558,0.2738275616568393
Steuben,New York,24,5,0,0,0.0%,42.26782685,-77.38382596,2020-03-31 22:50 EDT,36,101,96.927,0.24760902534897394
Ontario,New York,22,2,0,0,0.0%,42.85288942,-77.29981098,2020-03-31 22:50 EDT,36,069,109.472,0.20096463022508038
Clinton,New York,21,4,0,0,0.0%,44.7904,-73.6006,2020-03-31 22:50 EDT,36,019,80.794,0.25992029111072606
Wayne,New York,20,5,0,0,0.0%,42.474131,-77.09816,2020-03-31 22:50 EDT,36,117,90.856,0.22012855507616447
Oswego,New York,20,5,0,0,0.0%,43.436525700000004,-76.14924403,2020-03-31 22:50 EDT,36,075,119.104,0.1679204728640516
Chemung,New York,20,5,0,0,0.0%,42.1411881,-76.76001059999999,2020-03-31 22:50 EDT,36,015,85.740,0.23326335432703524
Chenango,New York,19,2,0,0,0.0%,42.49349443,-75.61153709999998,2020-03-31 22:50 EDT,36,017,48.348,0.3929841978985687
Warren,New York,18,0,0,0,0.0%,43.5592099,-73.85881158,2020-03-31 22:50 EDT,36,113,64.480,0.2791563275434243
Livingston,New York,18,3,0,0,0.0%,42.72808354,-77.77543855,2020-03-31 22:50 EDT,36,051,63.907,0.281659286150187
Otsego,New York,18,1,1,1,5.6%,42.63373751,-75.03256231,2020-03-31 22:50 EDT,36,077,60.244,0.29878494123896154
Delaware,New York,16,4,0,0,0.0%,42.19804334,-74.96635196,2020-03-31 22:50 EDT,36,025,45.502,0.35163289525735136
Greene,New York,16,6,0,0,0.0%,42.27654571,-74.12261588,2020-03-31 22:50 EDT,36,039,47.617,0.3360144486212907
Herkimer,New York,12,0,2,2,16.7%,43.0259,-74.98433,2020-03-31 22:50 EDT,36,043,62.505,0.1919846412287017
Jefferson,New York,12,1,0,0,0.0%,44.04103424,-75.91225529,2020-03-31 22:50 EDT,36,045,114.448,0.10485111142178108
Genesee,New York,11,0,1,1,9.1%,43.00094016,-78.1936949,2020-03-31 22:50 EDT,36,037,58.112,0.18928964757709252
Washington,New York,11,2,0,0,0.0%,43.31227113,-73.43096234,2020-03-31 22:50 EDT,36,115,61.828,0.1779129197127515
Allegany,New York,10,1,1,1,10.0%,42.25739788,-78.02755444,2020-03-31 22:50 EDT,36,003,47.025,0.2126528442317916
Cortland,New York,10,0,0,0,0.0%,42.59500111,-76.07023743,2020-03-31 22:50 EDT,36,023,48.123,0.2078008436714253
Wyoming,New York,9,1,1,1,11.1%,42.70242659,-78.22443261,2020-03-31 22:50 EDT,36,121,40.565,0.22186614076174044
Franklin,New York,9,3,0,0,0.0%,44.592675381999996,-74.3034218499999,2020-03-31 22:50 EDT,36,033,50.692,0.1775428075435966
Tioga,New York,8,0,0,0,0.0%,42.06057,-76.34519,2020-03-31 22:50 EDT,36,107,49.045,0.16311550616780507
Chautauqua,New York,8,0,1,1,12.5%,42.22826274,-79.36643298,2020-03-31 22:50 EDT,36,013,129.656,0.0617017338187203
Montgomery,New York,7,1,0,0,0.0%,42.90229179999999,-74.43960085,2020-03-31 22:50 EDT,36,057,49.426,0.1416258649293894
Schoharie,New York,6,0,0,0,0.0%,42.58820746,-74.44213588,2020-03-31 22:50 EDT,36,095,31.364,0.19130212983037878
Orleans,New York,6,1,0,0,0.0%,43.252100586000005,-78.23124678499991,2020-03-31 22:50 EDT,36,073,41.175,0.14571948998178508
Cattaraugus,New York,6,0,0,0,0.0%,42.2485958350001,-78.678812022,2020-03-31 22:50 EDT,36,009,77.686,0.07723399325489791
Essex,New York,5,0,0,0,0.0%,44.10755697,-73.79125847,2020-03-31 22:50 EDT,36,031,37.751,0.13244682260072582
Cayuga,New York,4,0,0,0,0.0%,42.92145204,-76.54917489,2020-03-31 22:50 EDT,36,011,77.868,0.05136898340781836
Hamilton,New York,2,0,0,0,0.0%,43.66130373,-74.49733573,2020-03-31 22:50 EDT,36,041,4.575,0.4371584699453552
Schuyler,New York,2,0,0,0,0.0%,42.370638971999995,-76.9851275,2020-03-31 22:50 EDT,36,097,17.992,0.11116051578479323
Lewis,New York,2,0,0,0,0.0%,43.78473386600007,-75.44870611699997,2020-03-31 22:50 EDT,36,049,26.719,0.07485310078970021
Fulton,New York,1,0,0,0,0.0%,43.11240266,-74.43516277,2020-03-31 22:50 EDT,36,035,53.743,0.018607074409690564
Bergen,New Jersey,2909,427,35,35,1.2%,40.95949149,-74.074442,2020-03-31 22:50 EDT,34,003,929.999,3.1279603526455406
Essex,New Jersey,1900,336,15,15,0.8%,40.78779259,-74.24760059,2020-03-31 22:50 EDT,34,013,793.555,2.3942889906811753
Hudson,New Jersey,1606,292,11,11,0.7%,40.74034231,-74.07410970000002,2020-03-31 22:50 EDT,34,017,668.631,2.401922734662317
Union,New Jersey,1418,205,7,7,0.5%,40.69635,-74.26957,2020-03-31 22:50 EDT,34,039,553.066,2.563889300734451
Passaic,New Jersey,1294,203,11,11,0.9%,40.86034,-74.12374,2020-03-31 22:50 EDT,34,031,504.041,2.567251473590442
Middlesex,New Jersey,1277,154,12,12,0.9%,40.57936,-74.50067,2020-03-31 22:50 EDT,34,023,826.698,1.544699515421593
Monmouth,New Jersey,1140,110,8,8,0.7%,40.2600411,-74.22194634,2020-03-31 22:50 EDT,34,025,623.387,1.8287195594390004
Ocean,New Jersey,1022,148,7,7,0.7%,39.90927434,-74.2969653,2020-03-31 22:50 EDT,34,029,591.939,1.726529253858928
Morris,New Jersey,841,121,8,8,1.0%,40.86201902,-74.5442741,2020-03-31 22:50 EDT,34,027,494.383,1.7011102728046876
Somerset,New Jersey,413,64,6,6,1.5%,40.49859,-74.52249,2020-03-31 22:50 EDT,34,035,330.176,1.2508480325644504
Mercer,New Jersey,268,19,0,0,0.0%,40.28331911,-74.70157374,2020-03-31 22:50 EDT,34,021,368.762,0.7267560106518569
Camden,New Jersey,228,28,3,3,1.3%,39.94525,-75.11913,2020-03-31 22:50 EDT,34,007,507.367,0.44937885199471
Burlington,New Jersey,202,24,2,2,1.0%,40.07687,-74.85775,2020-03-31 22:50 EDT,34,005,446.367,0.45254241464982853
Sussex,New Jersey,132,19,1,1,0.8%,41.13934496,-74.69067762,2020-03-31 22:50 EDT,34,037,142.298,0.9276307467427511
Gloucester,New Jersey,114,25,1,1,0.9%,39.71720107,-75.14164366,2020-03-31 22:50 EDT,34,015,290.852,0.39195192056441075
Hunterdon,New Jersey,97,18,0,0,0.0%,40.56725317,-74.91217921,2020-03-31 22:50 EDT,34,019,125.051,0.7756835211233817
Warren,New Jersey,76,8,1,1,1.3%,40.85732358,-74.997063,2020-03-31 22:50 EDT,34,041,106.293,0.7150047510184114
Atlantic,New Jersey,31,2,0,0,0.0%,39.4806564,-74.67264306,2020-03-31 22:50 EDT,34,001,268.539,0.11543947061693088
Cumberland,New Jersey,18,6,1,1,5.6%,39.37311491,-75.11061925,2020-03-31 22:50 EDT,34,011,153.400,0.11734028683181225
Cape May,New Jersey,15,6,0,0,0.0%,38.93547,-74.92137,2020-03-31 22:50 EDT,34,009,93.705,0.1600768368817032
Salem,New Jersey,12,9,1,1,8.3%,39.57661332,-75.35810746,2020-03-31 22:50 EDT,34,033,63.336,0.189465706707086
Los Angeles,California,3019,545,54,54,1.8%,34.053490000000004,-118.24531999999999,2020-03-31 22:50 EDT,06,037,10098.052,0.29896855353884094
Santa Clara,California,890,42,30,30,3.4%,37.35579,-121.95508999999998,2020-03-31 22:50 EDT,06,085,1922.200,0.46301113307668296
San Diego,California,730,131,9,9,1.2%,32.71568,-117.16171000000001,2020-03-31 22:50 EDT,06,073,3302.833,0.221022376850419
Orange,California,502,38,7,7,1.4%,33.78787,-117.85071,2020-03-31 22:50 EDT,06,059,3164.182,0.158650798215779
San Francisco,California,397,23,6,6,1.5%,37.777120000000004,-122.41963999999999,2020-03-31 22:50 EDT,06,075,870.044,0.45629876190169694
Riverside,California,371,80,13,13,3.5%,33.98171,-117.37404,2020-03-31 22:50 EDT,06,065,2383.286,0.15566742724121235
Alameda,California,313,30,7,7,2.2%,37.76683,-122.2453,2020-03-31 22:50 EDT,06,001,1643.700,0.19042404331690696
San Mateo,California,309,0,10,10,3.2%,37.54704,-122.31485,2020-03-31 22:50 EDT,06,081,765.935,0.4034284893626744
Sacramento,California,224,0,7,7,3.1%,38.57944000000001,-121.49085,2020-03-31 22:50 EDT,06,067,1510.023,0.14834211134532388
Contra Costa,California,222,35,3,3,1.4%,37.91793732,-121.9259354,2020-03-31 22:50 EDT,06,013,1133.247,0.19589727570423746
San Bernardino,California,183,72,6,6,3.3%,34.10524,-117.29411999999999,2020-03-31 22:50 EDT,06,071,2135.413,0.08569770812484517
Ventura,California,149,23,5,5,3.4%,34.28082,-119.29231999999999,2020-03-31 22:50 EDT,06,111,848.112,0.1756843435772634
San Joaquin,California,141,5,8,8,5.7%,37.93479557,-121.2713112,2020-03-31 22:50 EDT,06,077,732.212,0.19256717999705003
Kern,California,101,25,1,1,1.0%,35.34281638,-118.7299395,2020-03-31 22:50 EDT,06,029,883.053,0.11437592081109514
Marin,California,99,0,4,4,4.0%,38.07188727,-122.7195348,2020-03-31 22:50 EDT,06,041,260.295,0.38033769377052956
Santa Barbara,California,99,11,0,0,0.0%,34.41938,-119.69905,2020-03-31 22:50 EDT,06,083,443.738,0.22310462480112137
San Luis Obispo,California,80,3,0,0,0.0%,35.28579000000001,-120.66275,2020-03-31 22:50 EDT,06,079,281.455,0.28423726705867725
Sonoma,California,73,0,2,2,2.7%,38.29188,-122.45728000000001,2020-03-31 22:50 EDT,06,097,501.317,0.1456164462804972
Placer,California,67,10,2,2,3.0%,39.05913563,-120.75363279999999,2020-03-31 22:50 EDT,06,061,380.077,0.17628006956485134
Fresno,California,53,0,0,0,0.0%,36.74084000000001,-119.78551999999999,2020-03-31 22:50 EDT,06,019,978.130,0.05418502653021582
Solano,California,49,6,0,0,0.0%,38.27793363,-121.9272405,2020-03-31 22:50 EDT,06,095,438.530,0.11173693932000092
Santa Cruz,California,49,4,1,1,2.0%,36.97424,-122.03098,2020-03-31 22:50 EDT,06,087,273.765,0.17898562635837306
Tulare,California,45,2,1,1,2.2%,36.20649,-119.34305,2020-03-31 22:50 EDT,06,107,460.477,0.09772475063901129
Monterey,California,40,0,1,1,2.5%,36.21714603,-121.2390196,2020-03-31 22:50 EDT,06,053,433.212,0.09233354570048845
Stanislaus,California,35,2,0,0,0.0%,37.55932622,-120.9976619,2020-03-31 22:50 EDT,06,099,539.301,0.06489882273535559
Imperial,California,33,0,0,0,0.0%,32.84748,-115.56952,2020-03-31 22:50 EDT,06,025,180.216,0.18311359701691307
Humboldt,California,27,6,0,0,0.0%,40.69879803,-123.87371470000001,2020-03-31 22:50 EDT,06,023,135.768,0.198868658299452
Yolo,California,25,1,1,1,4.0%,38.73431,-121.81278999999999,2020-03-31 22:50 EDT,06,113,214.977,0.11629151025458537
San Benito,California,21,4,1,1,4.8%,36.50506,-121.08332,2020-03-31 22:50 EDT,06,069,59.416,0.353440150801131
Madera,California,21,0,1,1,4.8%,36.96205,-120.06398999999999,2020-03-31 22:50 EDT,06,039,155.013,0.13547250875733002
Nevada,California,21,0,0,0,0.0%,39.2616,-121.0161,2020-03-31 22:50 EDT,06,057,99.092,0.21192427239333142
El Dorado,California,15,0,0,0,0.0%,38.68217,-120.84683000000001,2020-03-31 22:50 EDT,06,017,186.661,0.08035958234446404
Napa,California,15,1,0,0,0.0%,38.50647693,-122.3306091,2020-03-31 22:50 EDT,06,055,140.530,0.10673877463886715
Mono,California,13,0,1,1,7.7%,37.93749777,-118.8838882,2020-03-31 22:50 EDT,06,051,14.174,0.917172287286581
Merced,California,10,0,0,0,0.0%,37.19187429,-120.717739,2020-03-31 22:50 EDT,06,047,269.075,0.0371643593793552
Sutter,California,10,1,0,0,0.0%,39.0346753900001,-121.694845711,2020-03-31 22:50 EDT,06,101,95.872,0.10430574098798397
Butte,California,8,0,0,0,0.0%,39.66709143,-121.60091100000001,2020-03-31 22:50 EDT,06,007,227.075,0.03523065066607949
Inyo,California,8,0,0,0,0.0%,36.511060297,-117.41059195,2020-03-31 22:50 EDT,06,027,18.085,0.44235554326790155
Yuba,California,7,1,0,0,0.0%,39.26918299,-121.3512653,2020-03-31 22:50 EDT,06,115,75.493,0.09272382869934961
Shasta,California,6,0,1,1,16.7%,40.598279999999995,-122.49095,2020-03-31 22:50 EDT,06,089,179.085,0.03350364352123293
Mendocino,California,4,0,0,0,0.0%,39.44024063,-123.3912784,2020-03-31 22:50 EDT,06,045,87.422,0.04575507309372926
Calaveras,California,3,0,0,0,0.0%,38.20473567,-120.55406550000001,2020-03-31 22:50 EDT,06,009,45.235,0.06632032718028076
Siskiyou,California,3,0,0,0,0.0%,41.59256366,-122.54077720000001,2020-03-31 22:50 EDT,06,093,43.540,0.06890215893431327
Kings,California,3,1,0,0,0.0%,36.075430705,-119.815354141,2020-03-31 22:50 EDT,06,031,150.075,0.01999000499750125
Amador,California,2,0,0,0,0.0%,38.44606535,-120.65175500000001,2020-03-31 22:50 EDT,06,005,37.829,0.05286949165983769
Glenn,California,2,0,0,0,0.0%,39.598279844000004,-122.392389048,2020-03-31 22:50 EDT,06,021,27.897,0.0716922966627236
Tuolumne,California,2,0,0,0,0.0%,38.02764367200007,-119.954653631,2020-03-31 22:50 EDT,06,109,53.932,0.037083735073796635
Colusa,California,1,0,0,0,0.0%,39.1775976810001,-122.237102265,2020-03-31 22:50 EDT,06,011,21.464,0.04658963846440551
Alpine,California,1,1,0,0,0.0%,38.59733304900004,-119.82042125199995,2020-03-31 22:50 EDT,06,003,1.146,0.8726003490401397
Wayne,Michigan,1655,261,45,45,2.7%,42.28515,-83.3836,2020-03-31 22:50 EDT,26,163,1761.382,0.9396031071056704
Oakland,Michigan,1591,226,70,70,4.4%,42.74214,-83.16174000000002,2020-03-31 22:50 EDT,26,125,1250.843,1.2719422021788505
Macomb,Michigan,853,125,38,38,4.5%,42.69565,-82.92171,2020-03-31 22:50 EDT,26,099,868.704,0.9819224960400782
Washtenaw,Michigan,305,39,7,7,2.3%,42.25322942,-83.83877634,2020-03-31 22:50 EDT,26,161,365.961,0.8334221406106115
Genesee,Michigan,185,35,7,7,3.8%,43.0217016,-83.70675478,2020-03-31 22:50 EDT,26,049,409.361,0.45192385205234503
Kent,Michigan,108,12,1,1,0.9%,43.03216204,-85.54929822,2020-03-31 22:50 EDT,26,081,643.140,0.16792611251049538
Ingham,Michigan,91,18,0,0,0.0%,42.59709245,-84.37353421,2020-03-31 22:50 EDT,26,065,289.564,0.31426558550096007
Livingston,Michigan,80,16,2,2,2.5%,42.60291818,-83.91152404,2020-03-31 22:50 EDT,26,093,188.482,0.42444371345804904
Saginaw,Michigan,51,15,0,0,0.0%,43.33502489,-84.05317757,2020-03-31 22:50 EDT,26,145,192.778,0.2645530091607964
Monroe,Michigan,49,4,0,0,0.0%,41.916059999999995,-83.3979,2020-03-31 22:50 EDT,26,115,149.699,0.32732349581493536
Jackson,Michigan,47,10,1,1,2.1%,42.24848235,-84.42344983,2020-03-31 22:50 EDT,26,075,158.913,0.2957593148452298
Berrien,Michigan,35,3,1,1,2.9%,41.95468698,-86.41222292,2020-03-31 22:50 EDT,26,021,154.807,0.2260879675983644
St. Clair,Michigan,32,7,0,0,0.0%,42.83189,-82.50220999999998,2020-03-31 22:50 EDT,26,147,159.566,0.20054397553363498
Ottawa,Michigan,31,3,0,0,0.0%,42.96071229,-85.99516567,2020-03-31 22:50 EDT,26,139,284.034,0.10914186329805586
Clinton,Michigan,24,5,0,0,0.0%,42.94365426,-84.60151416,2020-03-31 22:50 EDT,26,037,77.896,0.3081031118414296
Kalamazoo,Michigan,24,0,1,1,4.2%,42.24543721,-85.53116967,2020-03-31 22:50 EDT,26,077,261.573,0.09175258914337489
Eaton,Michigan,21,6,0,0,0.0%,42.59607493,-84.83832067,2020-03-31 22:50 EDT,26,045,109.155,0.19238697265356602
Otsego,Michigan,19,2,0,0,0.0%,45.0992,-84.6482,2020-03-31 22:50 EDT,26,137,24.397,0.7787842767553388
Muskegon,Michigan,18,0,2,2,11.1%,43.29120706,-86.15200005,2020-03-31 22:50 EDT,26,121,173.043,0.10402038799604722
Lenawee,Michigan,18,3,0,0,0.0%,41.8950816170001,-84.06637217799991,2020-03-31 22:50 EDT,26,091,98.474,0.18278936572090096
Calhoun,Michigan,17,0,0,0,0.0%,42.24653649,-85.00558363,2020-03-31 22:50 EDT,26,025,134.473,0.12641942992273544
Hillsdale,Michigan,14,2,1,1,7.1%,41.88776412,-84.59292627,2020-03-31 22:50 EDT,26,059,45.830,0.3054767619463234
Midland,Michigan,10,1,0,0,0.0%,43.6468649,-84.38811027,2020-03-31 22:50 EDT,26,111,83.389,0.11991989351113456
Bay,Michigan,9,0,0,0,0.0%,43.70732889,-83.99203709,2020-03-31 22:50 EDT,26,017,104.786,0.08588933636172771
Tuscola,Michigan,9,4,2,2,22.2%,43.46412684,-83.41682258,2020-03-31 22:50 EDT,26,157,53.250,0.16901408450704225
Lapeer,Michigan,8,2,0,0,0.0%,43.09013207,-83.22178574,2020-03-31 22:50 EDT,26,087,88.202,0.0907008911362554
Shiawassee,Michigan,8,0,0,0,0.0%,42.95373744500011,-84.146743014,2020-03-31 22:50 EDT,26,155,68.493,0.11680025696056533
Grand Traverse,Michigan,7,0,0,0,0.0%,44.66867927,-85.56047625,2020-03-31 22:50 EDT,26,055,91.746,0.07629760425522637
Kalkaska,Michigan,7,2,1,1,14.3%,44.68468247,-85.09024392,2020-03-31 22:50 EDT,26,079,17.463,0.4008475061558724
Sanilac,Michigan,7,2,0,0,0.0%,43.42356616000011,-82.82012594799991,2020-03-31 22:50 EDT,26,151,41.376,0.16918020108275328
Van Buren,Michigan,7,3,0,0,0.0%,42.2513072570001,-86.01888992499991,2020-03-31 22:50 EDT,26,159,75.272,0.092996067594856
Isabella,Michigan,6,1,1,1,16.7%,43.64058966,-84.84678576,2020-03-31 22:50 EDT,26,073,70.775,0.0847756976333451
Montcalm,Michigan,5,1,0,0,0.0%,43.31095473,-85.1525018,2020-03-31 22:50 EDT,26,117,63.209,0.0791026594314101
Emmet,Michigan,5,1,0,0,0.0%,45.52025096,-84.89032852,2020-03-31 22:50 EDT,26,047,33.039,0.151336299524804
Charlevoix,Michigan,4,0,0,0,0.0%,45.31653,-85.26071999999998,2020-03-31 22:50 EDT,26,029,26.219,0.1525611197986193
Marquette,Michigan,4,1,0,0,0.0%,46.43125285,-87.64159342,2020-03-31 22:50 EDT,26,103,66.939,0.059755897160101
Cass,Michigan,4,0,1,1,25.0%,41.915392847000106,-85.993454001,2020-03-31 22:50 EDT,26,027,51.460,0.0777302759424796
Ionia,Michigan,4,0,0,0,0.0%,42.945088749,-85.0745858019999,2020-03-31 22:50 EDT,26,067,64.176,0.06232859636000997
St. Joseph,Michigan,4,1,0,0,0.0%,42.10339000000005,-86.48525999999998,2020-03-31 22:50 EDT,26,149,60.897,0.065684680690346
Allegan,Michigan,3,1,0,0,0.0%,42.5912512,-85.88819122,2020-03-31 22:50 EDT,26,005,115.250,0.026030368763557483
Mecosta,Michigan,3,1,1,1,33.3%,43.640810722,-85.3246211859999,2020-03-31 22:50 EDT,26,107,43.264,0.06934171597633136
Huron,Michigan,3,0,0,0,0.0%,43.8333068380001,-83.0188931639999,2020-03-31 22:50 EDT,26,063,31.543,0.09510826490822051
Gratiot,Michigan,3,0,0,0,0.0%,43.2927163460001,-84.604892691,2020-03-31 22:50 EDT,26,057,41.067,0.07305135510263715
Antrim,Michigan,3,1,0,0,0.0%,44.99908039300004,-85.14020693199996,2020-03-31 22:50 EDT,26,009,23.177,0.1294386676446477
Barry,Michigan,2,1,0,0,0.0%,42.59502105,-85.30897251,2020-03-31 22:50 EDT,26,015,60.057,0.03330169672144796
Wexford,Michigan,2,0,0,0,0.0%,44.33836176,-85.57838222,2020-03-31 22:50 EDT,26,165,33.111,0.06040288725801094
Gladwin,Michigan,2,0,0,0,0.0%,43.9906941,-84.38823148,2020-03-31 22:50 EDT,26,051,25.289,0.07908576851595554
Oceana,Michigan,2,0,0,0,0.0%,43.64089041,-86.2675668569999,2020-03-31 22:50 EDT,26,127,26.417,0.07570882386342129
Gogebic,Michigan,2,1,1,1,50.0%,46.408927934000104,-89.6945112809999,2020-03-31 22:50 EDT,26,053,15.414,0.12975217334890357
Osceola,Michigan,2,0,0,0,0.0%,43.9898326430001,-85.3252568979999,2020-03-31 22:50 EDT,26,133,23.232,0.08608815426997246
Branch,Michigan,2,2,0,0,0.0%,41.91610928400007,-85.05902759899999,2020-03-31 22:50 EDT,26,023,43.584,0.04588839941262849
Oscoda,Michigan,2,2,0,0,0.0%,44.681756044000046,-84.12973404299998,2020-03-31 22:50 EDT,26,135,8.277,0.24163344206838222
Leelanau,Michigan,1,0,0,0,0.0%,44.93849073,-85.81182341,2020-03-31 22:50 EDT,26,089,21.639,0.04621285641665512
Clare,Michigan,1,0,0,0,0.0%,43.9878737,-84.84783104,2020-03-31 22:50 EDT,26,035,30.616,0.032662660047034234
Roscommon,Michigan,1,0,0,0,0.0%,44.33561169,-84.61161259999999,2020-03-31 22:50 EDT,26,143,23.877,0.041881308372073545
