State Name,Confirmed,New,Death,New Death,Fatality Rate,Emergency,Test Positive,Test Negative,Test Pending,Total Test,Test Last Update,State FIPS,Latitude,Longitude,Last Update
New York,26374,3347,271,87,1%,State of Emergency,25665,65605,,91270,3/24 11:30,36,42.165726,-74.948051,2020-03-24 22:57 EDT
New Jersey,3675,831,44,17,1.2%,State of Emergency,3675,8325,45,12045,3/24 01:30,34,40.298904,-74.521011,2020-03-24 22:57 EDT
California,2565,323,53,10,2.1%,State of Emergency,2102,13452,12100,27654,3/24 00:00,06,36.116203000000006,-119.681564,2020-03-24 22:57 EDT
Washington,2469,248,124,13,5%,State of Emergency,2221,31712,,33933,3/23 18:07,53,47.400902,-121.490494,2020-03-24 22:57 EDT
Michigan,1795,463,24,6,1.3%,State of Emergency,1791,2069,,3860,3/24 11:00,26,43.326617999999996,-84.53609499999999,2020-03-24 22:57 EDT
Illinois,1537,253,16,4,1%,State of Emergency,1551,9934,,11485,3/24 00:00,17,40.349457,-88.986137,2020-03-24 22:57 EDT
Florida,1467,238,23,4,1.6%,State of Emergency,1412,13127,1008,15547,3/24 11:00,12,27.766278999999997,-81.68678299999999,2020-03-24 22:57 EDT
Louisiana,1388,219,46,11,3.3%,State of Emergency,1388,7215,,8603,3/24 13:00,22,31.169546,-91.867805,2020-03-24 22:57 EDT
Massachusetts,1159,382,11,2,0.9%,State of Emergency,1159,12590,,13749,3/24 12:30,25,42.230171,-71.530106,2020-03-24 22:57 EDT
Georgia,1097,294,38,12,3.5%,State of Emergency,1026,4458,,5484,3/24 12:00,13,33.040619,-83.643074,2020-03-24 22:57 EDT
Texas,999,190,12,3,1.2%,State of Emergency,410,10757,,11167,3/23 21:00,48,31.054486999999998,-97.563461,2020-03-24 22:57 EDT
Pennsylvania,946,248,8,1,0.8%,State of Emergency,851,8643,,9494,3/24 12:00,42,40.590752,-77.209755,2020-03-24 22:57 EDT
Colorado,912,189,11,4,1.2%,State of Emergency,720,5504,,6224,3/23 18:13,08,39.059810999999996,-105.311104,2020-03-24 22:57 EDT
Tennessee,773,187,2,0,0.3%,State of Emergency,667,10517,,11184,3/24 15:00,47,35.747845,-86.69234499999999,2020-03-24 22:57 EDT
Connecticut,618,203,12,2,1.9%,State of Emergency,618,4682,,5300,3/24 16:00,09,41.597782,-72.755371,2020-03-24 22:57 EDT
Ohio,567,124,8,2,1.4%,State of Emergency,564,140,,704,3/24 14:00,39,40.388783000000004,-82.764915,2020-03-24 22:57 EDT
North Carolina,507,83,0,0,0%,State of Emergency,398,8141,,8539,3/24 09:45,37,35.630066,-79.80641899999999,2020-03-24 22:57 EDT
Wisconsin,481,55,5,0,1%,State of Emergency,457,8237,,8694,3/24 16:00,55,44.268543,-89.616508,2020-03-24 22:57 EDT
Indiana,369,153,12,5,3.3%,State of Emergency,365,2566,,2931,3/24 11:00,18,39.849426,-86.258278,2020-03-24 22:57 EDT
Maryland,350,60,4,1,1.1%,State of Emergency,349,94,,443,3/24 10:00,24,39.063946,-76.80210100000001,2020-03-24 22:57 EDT
South Carolina,342,44,7,2,2%,State of Emergency,298,2012,,2310,3/23 16:35,45,33.856891999999995,-80.94500699999999,2020-03-24 22:57 EDT
Arizona,326,91,5,2,1.5%,State of Emergency,357,313,22,692,3/24 00:00,04,33.729759,-111.431221,2020-03-24 22:57 EDT
Mississippi,320,71,1,0,0.3%,State of Emergency,320,1552,,1872,3/23 19:00,28,32.741646,-89.678696,2020-03-24 22:57 EDT
Virginia,305,48,9,2,3%,State of Emergency,290,4180,,4470,3/24 00:00,51,37.769337,-78.16996800000001,2020-03-24 22:57 EDT
Utah,298,41,1,0,0.3%,State of Emergency,299,5524,,5823,3/24 15:00,49,40.150032,-111.86243400000001,2020-03-24 22:57 EDT
Missouri,286,91,8,3,2.8%,State of Emergency,183,369,,552,3/23 15:00,29,38.456084999999995,-92.288368,2020-03-24 22:57 EDT
Nevada,278,15,4,0,1.4%,State of Emergency,278,3954,0,4232,3/23 14:59,32,38.313515,-117.055374,2020-03-24 22:57 EDT
Minnesota,262,27,1,0,0.4%,State of Emergency,262,5550,,5812,3/24 00:00,27,45.694454,-93.900192,2020-03-24 22:57 EDT
Alabama,242,46,0,0,0%,State of Emergency,215,2106,,2321,3/24 12:00,01,32.806671,-86.79113000000001,2020-03-24 22:57 EDT
Arkansas,232,37,2,2,0.9%,State of Emergency,218,947,0,1165,3/24 00:00,05,34.969704,-92.37312299999999,2020-03-24 22:57 EDT
Oregon,210,19,8,3,3.8%,State of Emergency,209,4350,,4559,3/24 11:00,41,44.572021,-122.07093799999998,2020-03-24 22:57 EDT
District of Columbia,187,46,2,0,1.1%,State of Emergency,137,1195,2,1334,3/23 19:30,11,38.897438,-77.02681700000001,2020-03-24 22:57 EDT
