State Name,Confirmed,New,Death,New Death,Fatality Rate,Emergency,Test Positive,Test Negative,Test Pending,Total Test,Test Last Update,State FIPS,Latitude,Longitude,Last Update
New York,59742,6220,965,131,1.6%,State of Emergency,59513,112847,,172360,3/29 09:16,36,42.165726,-74.948051,2020-03-29 21:44 EDT
New Jersey,13386,2262,161,21,1.2%,State of Emergency,13386,22216,,35602,3/29 13:30,34,40.298904,-74.521011,2020-03-29 21:44 EDT
California,6247,580,130,8,2.1%,State of Emergency,5708,20549,64400,90657,3/29 14:18,06,36.116203000000006,-119.681564,2020-03-29 21:44 EDT
Michigan,5488,837,132,20,2.4%,State of Emergency,5486,11893,,17379,3/28 14:00,26,43.326617999999996,-84.53609499999999,2020-03-29 21:44 EDT
Massachusetts,4955,698,48,4,1%,State of Emergency,4955,34111,,39066,3/28 12:30,25,42.230171,-71.530106,2020-03-29 21:44 EDT
Florida,4950,912,60,4,1.2%,State of Emergency,4246,39070,,43316,3/29 11:30,12,27.766278999999997,-81.68678299999999,2020-03-29 21:44 EDT
Illinois,4596,1111,66,18,1.4%,State of Emergency,4596,23166,,27762,3/29 00:00,17,40.349457,-88.986137,2020-03-29 21:44 EDT
Washington,4483,206,198,9,4.4%,State of Emergency,4310,54896,,59206,3/28 02:59,53,47.400902,-121.490494,2020-03-29 21:44 EDT
Louisiana,3540,227,151,15,4.3%,State of Emergency,3540,24331,,27871,3/29 13:00,22,31.169546,-91.867805,2020-03-29 21:44 EDT
Pennsylvania,3465,557,43,8,1.2%,State of Emergency,3394,30061,,33455,3/29 12:00,42,40.590752,-77.209755,2020-03-29 21:44 EDT
Texas,2821,289,37,2,1.3%,State of Emergency,2552,23208,,25760,3/29 13:45,48,31.054486999999998,-97.563461,2020-03-29 21:44 EDT
Georgia,2683,242,84,5,3.1%,State of Emergency,2651,9913,,12564,3/28 18:27,13,33.040619,-83.643074,2020-03-29 21:44 EDT
