County Name,State Name,Confirmed,New,Death,Fatality Rate,Latitude,Longitude,Last Update,STATEFP,COUNTYFP,Population Estimate 2018 (Ths.),Infection Rate
New York,New York,463,134,7+2,1.5%,40.71455,-74.00714,2020-03-16 23:13 EDT,36,061,68.02,6.806821523081447
Westchester,New York,220,24,0,0%,41.16319759,-73.7560629,2020-03-16 23:13 EDT,36,119,27.97,7.865570253843404
Nassau,New York,109,11,0,0%,40.74165225,-73.58899619,2020-03-16 23:13 EDT,36,059,20.48,5.322265625
Suffolk,New York,74,27,2+2,2.7%,40.87732808,-72.85898036,2020-03-16 23:13 EDT,36,103,29.24,2.53077975376197
Rockland,New York,16,3,1,6.3%,41.152374,-74.02401032,2020-03-16 23:13 EDT,36,087,6.95,2.302158273381295
Albany,New York,15,4,0,0%,42.65155,-73.75520999999998,2020-03-16 23:13 EDT,36,001,17.58,0.8532423208191127
Monroe,New York,11,1,0,0%,43.14604282,-77.69674911,2020-03-16 23:13 EDT,36,055,25.92,0.4243827160493827
Orange,New York,11,5,0,0%,41.40206825,-74.30559567,2020-03-16 23:13 EDT,36,071,11.27,0.9760425909494232
Dutchess,New York,10,3,0,0%,41.76477515,-73.74281684,2020-03-16 23:13 EDT,36,027,19.66,0.508646998982706
Ulster,New York,7,2,0,0%,41.95986,-73.99033,2020-03-16 23:13 EDT,36,111,11.82,0.5922165820642978
Erie,New York,7,0,0,0%,42.76382119,-78.73224973,2020-03-16 23:13 EDT,36,029,27.67,0.2529815684857246
Saratoga,New York,5,2,0,0%,43.06974,-73.63661,2020-03-16 23:13 EDT,36,091,3.4,1.4705882352941178
Schenectady,New York,4,2,0,0%,42.81238,-73.94122,2020-03-16 23:13 EDT,36,093,4.58,0.8733624454148472
Tompkins,New York,2,1,0,0%,42.44933495,-76.47064359,2020-03-16 23:13 EDT,36,109,13.09,0.15278838808250572
Putnam,New York,2,0,0,0%,41.42653455,-73.7494999,2020-03-16 23:13 EDT,36,079,2.58,0.7751937984496123
Greene,New York,2,0,0,0%,42.27654571,-74.12261588,2020-03-16 23:13 EDT,36,039,3.21,0.6230529595015576
Allegany,New York,2,0,0,0%,42.25739788,-78.02755444,2020-03-16 23:13 EDT,36,003,4.27,0.468384074941452
Onondaga,New York,2,2,0,0%,43.00487,-76.1836,2020-03-16 23:13 EDT,36,067,17.03,0.11743981209630064
Delaware,New York,1,0,0,0%,42.19804334,-74.96635196,2020-03-16 23:13 EDT,36,025,2.41,0.41493775933609955
Herkimer,New York,1,0,0,0%,43.0259,-74.98433,2020-03-16 23:13 EDT,36,043,1.4,0.7142857142857143
Broome,New York,1,0,0,0%,42.16021802,-75.81964586,2020-03-16 23:13 EDT,36,007,10.92,0.09157509157509157
Tioga,New York,1,0,0,0%,42.06057,-76.34519,2020-03-16 23:13 EDT,36,107,0.52,1.923076923076923
Montgomery,New York,1,0,0,0%,42.90229179999999,-74.43960085,2020-03-16 23:13 EDT,36,057,0.92,1.0869565217391304
Ontario,New York,1,1,0,0%,42.85288942,-77.29981098,2020-03-16 23:13 EDT,36,069,3.24,0.30864197530864196
Clinton,New York,1,1,0,0%,43.048250000000046,-75.37877999999995,2020-03-16 23:13 EDT,36,019,6.64,0.15060240963855423
King,Washington,488,68,43+6,8.8%,47.49011813,-121.8043324,2020-03-16 23:13 EDT,53,033,38.77,12.587051844209439
Snohomish,Washington,200,24,4,2%,47.9124,-122.09306,2020-03-16 23:13 EDT,53,061,9.98,20.04008016032064
Pierce,Washington,38,9,0,0%,47.02270813,-122.1014408,2020-03-16 23:13 EDT,53,053,17.44,2.1788990825688073
Grant,Washington,7,4,1,14.3%,47.19885794,-119.4525987,2020-03-16 23:13 EDT,53,025,1.23,5.691056910569106
Kitsap,Washington,7,4,0,0%,47.47496219,-122.6085325,2020-03-16 23:13 EDT,53,035,9.3,0.7526881720430108
Skagit,Washington,7,3,0,0%,48.47933023,-121.7280802,2020-03-16 23:13 EDT,53,057,1.63,4.294478527607362
Island,Washington,7,1,0,0%,48.19160936,-122.6650075,2020-03-16 23:13 EDT,53,029,1.94,3.6082474226804124
Clark,Washington,4,1,0,0%,45.78187331,-122.4812785,2020-03-16 23:13 EDT,53,011,3.43,1.1661807580174925
Thurston,Washington,4,1,0,0%,46.91980578,-122.82986909999998,2020-03-16 23:13 EDT,53,067,4.1,0.9756097560975611
Yakima,Washington,4,0,0,0%,46.60448,-120.50721,2020-03-16 23:13 EDT,53,077,3.51,1.1396011396011396
Jefferson,Washington,3,0,0,0%,47.74810608,-123.6000095,2020-03-16 23:13 EDT,53,031,0.63,4.761904761904762
Kittitas,Washington,3,0,0,0%,46.98472,-120.41752,2020-03-16 23:13 EDT,53,037,2.62,1.1450381679389312
Whatcom,Washington,3,0,0,0%,48.82559702,-121.7174182,2020-03-16 23:13 EDT,53,073,5.72,0.5244755244755245
Spokane,Washington,3,0,0,0%,47.65726,-117.41228,2020-03-16 23:13 EDT,53,063,14.28,0.21008403361344538
Grays Harbor,Washington,1,0,0,0%,47.15055235,-123.7737432,2020-03-16 23:13 EDT,53,027,2.7,0.37037037037037035
Columbia,Washington,1,0,0,0%,46.29757684,-117.9078634,2020-03-16 23:13 EDT,53,013,0.08,12.5
Lincoln,Washington,1,0,0,0%,47.57305061,-118.4177041,2020-03-16 23:13 EDT,53,043,0.09,11.11111111111111
Cowlitz,Washington,1,0,0,0%,46.19454048,-122.6783272,2020-03-16 23:13 EDT,53,015,1.21,0.8264462809917356
Lewis,Washington,1,1,0,0%,46.57779491,-122.3929158,2020-03-16 23:13 EDT,53,041,0.94,1.0638297872340425
Santa Clara,California,138,24,4+2,2.9%,37.35579,-121.95508999999998,2020-03-16 23:13 EDT,06,085,30.98,4.454486765655261
Los Angeles,California,94,25,1,1.1%,34.053490000000004,-118.24532,2020-03-16 23:13 EDT,06,037,178.33,0.5271126563113329
San Diego,California,55,20,0,0%,32.71568,-117.16171,2020-03-16 23:13 EDT,06,073,108.14,0.5085999630109118
