State Name,Confirmed,New,Death,New Death,Fatality Rate,Emergency,Test Positive,Test Negative,Test Pending,Total Test,Test Last Update,State FIPS,Latitude,Longitude,Last Update
New York,39125,6088,454,88,1.2%,State of Emergency,37258,84846,,122104,3/26 16:59,36,42.165726,-74.948051,2020-03-26 22:27 EDT
New Jersey,6876,2474,81,19,1.2%,State of Emergency,6876,13661,,20537,3/25 14:00,34,40.298904,-74.521011,2020-03-26 22:27 EDT
California,4032,863,82,15,2%,State of Emergency,3006,17380,57400,77786,3/25 17:00,06,36.116203000000006,-119.681564,2020-03-26 22:27 EDT
Washington,3207,608,150,17,4.7%,State of Emergency,2580,31712,,34292,3/25 21:20,53,47.400902,-121.490494,2020-03-26 22:27 EDT
Michigan,2857,562,61,18,2.1%,State of Emergency,2856,6550,,9406,3/26 11:00,26,43.326617999999996,-84.53609499999999,2020-03-26 22:27 EDT
Illinois,2542,674,26,7,1%,State of Emergency,2538,14093,,16631,3/26 00:00,17,40.349457,-88.986137,2020-03-26 22:27 EDT
Florida,2484,507,29,6,1.2%,State of Emergency,2355,23741,1443,27539,3/26 11:00,12,27.766278999999997,-81.68678299999999,2020-03-26 22:27 EDT
Massachusetts,2417,579,25,10,1%,State of Emergency,2417,21204,,23621,3/26 12:30,25,42.230171,-71.530106,2020-03-26 22:27 EDT
Louisiana,2305,510,83,18,3.6%,State of Emergency,2305,15724,,18029,3/26 15:00,22,31.169546,-91.867805,2020-03-26 22:27 EDT
Pennsylvania,1795,510,18,2,1%,State of Emergency,1687,16441,,18128,3/26 12:00,42,40.590752,-77.209755,2020-03-26 22:27 EDT
Texas,1651,269,24,6,1.5%,State of Emergency,1396,20028,,21424,3/26 13:00,48,31.054486999999998,-97.563461,2020-03-26 22:27 EDT
Georgia,1643,272,56,9,3.4%,State of Emergency,1525,7401,,8926,3/26 12:00,13,33.040619,-83.643074,2020-03-26 22:27 EDT
Colorado,1430,343,19,0,1.3%,State of Emergency,1086,6978,,8064,3/25 18:00,08,39.059810999999996,-105.311104,2020-03-26 22:27 EDT
Tennessee,1099,182,3,0,0.3%,State of Emergency,957,13952,,14909,3/26 15:00,47,35.747845,-86.69234499999999,2020-03-26 22:27 EDT
Connecticut,1012,137,21,2,2.1%,State of Emergency,1012,5625,,6637,3/26 16:00,09,41.597782,-72.755371,2020-03-26 22:27 EDT
Ohio,870,165,15,4,1.7%,State of Emergency,867,16449,,17316,3/26 14:00,39,40.388783000000004,-82.764915,2020-03-26 22:27 EDT
North Carolina,749,124,3,1,0.4%,State of Emergency,636,12274,,12910,3/26 12:36,37,35.630066,-79.80641899999999,2020-03-26 22:27 EDT
Wisconsin,728,91,10,3,1.4%,State of Emergency,707,11583,,12290,3/26 16:00,55,44.268543,-89.616508,2020-03-26 22:27 EDT
Indiana,645,167,17,1,2.6%,State of Emergency,645,4006,,4651,3/25 12:59,18,39.849426,-86.258278,2020-03-26 22:27 EDT
Maryland,583,157,4,0,0.7%,State of Emergency,580,94,,674,3/26 10:00,24,39.063946,-76.80210100000001,2020-03-26 22:27 EDT
Alabama,531,97,1,0,0.2%,State of Emergency,506,3593,,4099,3/26 00:00,01,32.806671,-86.79113000000001,2020-03-26 22:27 EDT
Missouri,530,148,9,1,1.7%,State of Emergency,502,369,,871,3/26 15:00,29,38.456084999999995,-92.288368,2020-03-26 22:27 EDT
Arizona,508,105,8,2,1.6%,State of Emergency,577,347,33,957,3/26 00:00,04,33.729759,-111.431221,2020-03-26 22:27 EDT
Mississippi,485,0,6,1,1.2%,State of Emergency,485,2291,,2776,3/26 00:00,28,32.741646,-89.678696,2020-03-26 22:27 EDT
Virginia,471,72,14,1,3%,State of Emergency,460,5729,,6189,3/26 00:00,51,37.769337,-78.16996800000001,2020-03-26 22:27 EDT
South Carolina,456,32,9,2,2%,State of Emergency,456,2307,,2763,3/26 11:00,45,33.856891999999995,-80.94500699999999,2020-03-26 22:27 EDT
Nevada,420,105,10,0,2.4%,State of Emergency,420,4697,,5117,3/26 11:00,32,38.313515,-117.055374,2020-03-26 22:27 EDT
Utah,402,56,1,0,0.2%,State of Emergency,402,7308,,7710,3/26 15:00,49,40.150032,-111.86243400000001,2020-03-26 22:27 EDT
Minnesota,346,59,2,1,0.6%,State of Emergency,346,12604,,12950,3/26 13:15,27,45.694454,-93.900192,2020-03-26 22:27 EDT
Arkansas,335,34,2,0,0.6%,State of Emergency,335,1504,0,1839,3/26 00:00,05,34.969704,-92.37312299999999,2020-03-26 22:27 EDT
Oregon,316,50,11,1,3.5%,State of Emergency,327,6953,,7280,3/26 16:31,41,44.572021,-122.07093799999998,2020-03-26 22:27 EDT
District of Columbia,267,36,3,0,1.1%,State of Emergency,231,1626,1,1858,3/25 00:00,11,38.897438,-77.02681700000001,2020-03-26 22:27 EDT
Kentucky,248,50,5,0,2%,State of Emergency,198,3102,,3300,3/25 17:00,21,37.66814,-84.670067,2020-03-26 22:27 EDT
Oklahoma,248,84,7,1,2.8%,State of Emergency,248,958,,1206,3/26 08:00,40,35.565342,-96.928917,2020-03-26 22:27 EDT
Idaho,190,47,3,3,1.6%,State of Emergency,123,2065,,2188,3/25 19:00,16,44.240459,-114.47882800000001,2020-03-26 22:27 EDT
Iowa,179,32,1,0,0.6%,State of Emergency,179,2578,,2757,3/26 00:00,19,42.011539,-93.210526,2020-03-26 22:27 EDT
Kansas,172,35,3,0,1.7%,State of Emergency,168,2869,,3037,3/26 12:00,20,38.5266,-96.726486,2020-03-26 22:27 EDT
Rhode Island,165,33,0,0,0%,State of Emergency,165,1339,181,1685,3/25 00:00,44,41.680893,-71.51178,2020-03-26 22:27 EDT
