County Name,State Name,Confirmed,New,Death,New Death,Fatality Rate,Latitude,Longitude,Last Update,STATEFP,COUNTYFP,Population Estimate 2018 (Ths.),Infection Rate
New York,New York,20011,4414,280,280,1.4%,40.71455,-74.00714,2020-03-25 22:25 EDT,36,500,8443.713,2.3699289637153704
Westchester,New York,4691,800,1,1,0.0%,41.16319759,-73.7560629,2020-03-25 22:25 EDT,36,119,968.815,4.841997698218958
Nassau,New York,3285,416,17,17,0.5%,40.74165225,-73.58899619,2020-03-25 22:25 EDT,36,059,1356.564,2.4215591745026406
Suffolk,New York,2260,380,20,20,0.9%,40.87732808,-72.85898036,2020-03-25 22:25 EDT,36,103,1487.901,1.5189182613628192
Rockland,New York,968,297,5,5,0.5%,41.152374,-74.02401032,2020-03-25 22:25 EDT,36,087,323.686,2.9905525725548836
Orange,New York,638,140,1,1,0.2%,41.40206825,-74.30559567,2020-03-25 22:25 EDT,36,071,378.227,1.6868177047117208
Dutchess,New York,153,29,1,1,0.7%,41.76477515,-73.74281684,2020-03-25 22:25 EDT,36,027,293.894,0.5205958610927749
Albany,New York,152,6,0,0,0.0%,42.65155,-73.75520999999998,2020-03-25 22:25 EDT,36,001,307.426,0.4944279273711397
Erie,New York,122,1,1,1,0.8%,42.76382119,-78.73224973,2020-03-25 22:25 EDT,36,029,919.866,0.1326280132106198
Monroe,New York,118,12,3,3,2.5%,43.14604282,-77.69674911,2020-03-25 22:25 EDT,36,055,744.248,0.15854930077071083
Putnam,New York,84,2,0,0,0.0%,41.42653455,-73.7494999,2020-03-25 22:25 EDT,36,079,99.070,0.8478853336025033
Onondaga,New York,81,21,1,1,1.2%,43.00487,-76.1836,2020-03-25 22:25 EDT,36,067,464.242,0.17447796623312842
Ulster,New York,65,30,0,0,0.0%,41.95986,-73.99033,2020-03-25 22:25 EDT,36,111,179.303,0.362514849165937
Saratoga,New York,64,11,0,0,0.0%,43.06974,-73.63661,2020-03-25 22:25 EDT,36,091,227.377,0.2814708611688957
Schenectady,New York,55,11,1,1,1.8%,42.81238,-73.94122,2020-03-25 22:25 EDT,36,093,154.883,0.3551067580044292
Sullivan,New York,39,16,0,0,0.0%,41.71631354,-74.76811083,2020-03-25 22:25 EDT,36,105,75.211,0.5185411708393719
Rensselaer,New York,38,2,0,0,0.0%,42.71086263,-73.5097379,2020-03-25 22:25 EDT,36,083,159.431,0.23834762373691437
Tompkins,New York,23,5,0,0,0.0%,42.44933495,-76.47064359,2020-03-25 22:25 EDT,36,109,102.962,0.22338338416114684
Columbia,New York,19,1,0,0,0.0%,42.25001078,-73.63186134,2020-03-25 22:25 EDT,36,021,60.919,0.3118895582658941
Niagara,New York,12,2,0,0,0.0%,43.19998147,-78.74522262,2020-03-25 22:25 EDT,36,063,211.704,0.056682915769187166
Broome,New York,11,2,2,2,18.2%,42.16021802,-75.81964586,2020-03-25 22:25 EDT,36,007,194.402,0.05658378000226335
Oneida,New York,10,0,0,0,0.0%,43.24306498,-75.42583597,2020-03-25 22:25 EDT,36,065,230.782,0.04333093568822525
Clinton,New York,10,4,0,0,0.0%,44.7904,-73.6006,2020-03-25 22:25 EDT,36,019,80.794,0.12377156719558384
Ontario,New York,9,3,0,0,0.0%,42.85288942,-77.29981098,2020-03-25 22:25 EDT,36,069,109.472,0.08221280327389652
Steuben,New York,8,0,0,0,0.0%,42.26782685,-77.38382596,2020-03-25 22:25 EDT,36,101,96.927,0.08253634178299132
Wayne,New York,7,1,0,0,0.0%,42.474131,-77.09816,2020-03-25 22:25 EDT,36,117,90.856,0.07704499427665756
Madison,New York,7,3,1,1,14.3%,42.91290749,-75.66978904,2020-03-25 22:25 EDT,36,053,71.359,0.09809554506088931
Delaware,New York,5,2,0,0,0.0%,42.19804334,-74.96635196,2020-03-25 22:25 EDT,36,025,45.502,0.1098852797679223
Herkimer,New York,5,1,0,0,0.0%,43.0259,-74.98433,2020-03-25 22:25 EDT,36,043,62.505,0.07999360051195904
Greene,New York,4,0,0,0,0.0%,42.27654571,-74.12261588,2020-03-25 22:25 EDT,36,039,47.617,0.08400361215532268
Montgomery,New York,4,1,0,0,0.0%,42.90229179999999,-74.43960085,2020-03-25 22:25 EDT,36,057,49.426,0.08092906567393679
Essex,New York,4,0,0,0,0.0%,44.10755697,-73.79125847,2020-03-25 22:25 EDT,36,031,37.751,0.10595745808058066
Wyoming,New York,4,0,1,1,25.0%,42.70242659,-78.22443261,2020-03-25 22:25 EDT,36,121,40.565,0.09860717367188464
Washington,New York,4,1,0,0,0.0%,43.31227113,-73.43096234,2020-03-25 22:25 EDT,36,115,61.828,0.06469560716827327
Chenango,New York,3,0,0,0,0.0%,42.49349443,-75.61153709999998,2020-03-25 22:25 EDT,36,017,48.348,0.06205013651030032
Livingston,New York,3,0,0,0,0.0%,42.72808354,-77.77543855,2020-03-25 22:25 EDT,36,051,63.907,0.0469432143583645
Cortland,New York,3,0,0,0,0.0%,42.59500111,-76.07023743,2020-03-25 22:25 EDT,36,023,48.123,0.06234025310142759
Chemung,New York,3,0,0,0,0.0%,42.1411881,-76.76001059999999,2020-03-25 22:25 EDT,36,015,85.740,0.03498950314905529
Allegany,New York,2,0,0,0,0.0%,42.25739788,-78.02755444,2020-03-25 22:25 EDT,36,003,47.025,0.04253056884635832
Genesee,New York,2,1,0,0,0.0%,43.00094016,-78.1936949,2020-03-25 22:25 EDT,36,037,58.112,0.03441629955947137
Warren,New York,2,0,0,0,0.0%,43.5592099,-73.85881158,2020-03-25 22:25 EDT,36,113,64.480,0.031017369727047144
Hamilton,New York,2,0,0,0,0.0%,43.66130373,-74.49733573,2020-03-25 22:25 EDT,36,041,4.575,0.4371584699453552
Schoharie,New York,2,1,0,0,0.0%,42.58820746,-74.44213588,2020-03-25 22:25 EDT,36,095,31.364,0.06376737661012626
Jefferson,New York,2,0,0,0,0.0%,44.04103424,-75.91225529,2020-03-25 22:25 EDT,36,045,114.448,0.017475185236963512
Oswego,New York,2,0,0,0,0.0%,43.4365257,-76.14924403,2020-03-25 22:25 EDT,36,075,119.104,0.016792047286405157
