State Name,Confirmed,New,Death,New Death,Fatality Rate,Emergency,Test Positive,Test Negative,Test Pending,Total Test,Test Last Update,State FIPS,Latitude,Longitude,Last Update
New York,123160,8986,4159,594,3.4%,State of Emergency,122031,180249,,302280,4/04 00:00,36,42.165726,-74.948051,2020-04-05 22:53 EDT
New Jersey,37505,3381,917,72,2.4%,State of Emergency,37505,44661,,82166,4/05 13:00,34,40.298904,-74.521011,2020-04-05 22:53 EDT
Michigan,15718,1495,617,77,3.9%,State of Emergency,15718,30030,,45748,4/05 11:00,26,43.326617999999996,-84.53609499999999,2020-04-05 22:53 EDT
California,15158,1239,349,25,2.3%,State of Emergency,13438,103095,15000,131533,4/04 00:00,06,36.116203000000006,-119.681564,2020-04-05 22:53 EDT
Louisiana,13010,526,477,69,3.7%,State of Emergency,13010,47315,,60325,4/05 13:00,22,31.169546,-91.867805,2020-04-05 22:53 EDT
Massachusetts,12500,823,231,15,1.8%,State of Emergency,12500,59437,,71937,4/05 12:30,25,42.230171,-71.530106,2020-04-05 22:53 EDT
Florida,12350,811,221,26,1.8%,State of Emergency,12151,101253,1129,114533,4/05 13:30,12,27.766278999999997,-81.68678299999999,2020-04-05 22:53 EDT
Pennsylvania,11589,1083,151,12,1.3%,State of Emergency,11510,66261,,77771,4/05 12:00,42,40.590752,-77.209755,2020-04-05 22:53 EDT
Illinois,11259,899,274,30,2.4%,State of Emergency,11256,47727,,58983,4/05 00:00,17,40.349457,-88.986137,2020-04-05 22:53 EDT
Washington,7984,393,343,25,4.3%,State of Emergency,7591,80327,,87918,4/04 02:59,53,47.400902,-121.490494,2020-04-05 22:53 EDT
Texas,7288,506,139,16,1.9%,State of Emergency,6812,64126,,70938,4/05 13:00,48,31.054486999999998,-97.563461,2020-04-05 22:53 EDT
Georgia,6742,361,219,12,3.2%,State of Emergency,6647,21185,,27832,4/05 11:27,13,33.040619,-83.643074,2020-04-05 22:53 EDT
Connecticut,5675,399,189,24,3.3%,State of Emergency,5675,17595,,23270,4/05 12:00,09,41.597782,-72.755371,2020-04-05 22:53 EDT
Colorado,4950,385,140,14,2.8%,State of Emergency,4565,19335,,23900,4/04 18:00,08,39.059810999999996,-105.311104,2020-04-05 22:53 EDT
Indiana,4411,465,127,11,2.9%,State of Emergency,4411,18241,,22652,4/04 11:59,18,39.849426,-86.258278,2020-04-05 22:53 EDT
Ohio,4043,304,119,17,2.9%,State of Emergency,4043,39713,,43756,4/05 14:00,39,40.388783000000004,-82.764915,2020-04-05 22:53 EDT
Tennessee,3633,311,53,1,1.5%,State of Emergency,3633,41667,,45300,4/04 15:00,47,35.747845,-86.69234499999999,2020-04-05 22:53 EDT
Maryland,3617,445,67,13,1.9%,State of Emergency,3609,24728,,28337,4/05 10:00,24,39.063946,-76.80210100000001,2020-04-05 22:53 EDT
North Carolina,2660,111,40,4,1.5%,State of Emergency,2585,37460,,40045,4/05 11:00,37,35.630066,-79.80641899999999,2020-04-05 22:53 EDT
Virginia,2640,228,52,0,2%,State of Emergency,2637,21034,,23671,4/04 17:00,51,37.769337,-78.16996800000001,2020-04-05 22:53 EDT
Missouri,2466,119,47,2,1.9%,State of Emergency,2367,24882,,27249,4/05 15:00,29,38.456084999999995,-92.288368,2020-04-05 22:53 EDT
Wisconsin,2320,192,75,15,3.2%,State of Emergency,2267,25169,,27436,4/05 16:00,55,44.268543,-89.616508,2020-04-05 22:53 EDT
Arizona,2269,250,64,11,2.8%,State of Emergency,2269,25141,,27410,4/05 00:00,04,33.729759,-111.431221,2020-04-05 22:53 EDT
South Carolina,2049,135,44,4,2.1%,State of Emergency,2049,16927,,18976,4/05 15:30,45,33.856891999999995,-80.94500699999999,2020-04-05 22:53 EDT
Nevada,1855,122,46,0,2.5%,State of Emergency,1836,14995,,16831,4/05 09:30,32,38.313515,-117.055374,2020-04-05 22:53 EDT
Alabama,1827,195,45,1,2.5%,State of Emergency,1796,11282,,13078,4/05 00:00,01,32.806671,-86.79113000000001,2020-04-05 22:53 EDT
Mississippi,1638,0,43,0,2.6%,State of Emergency,1638,5580,,7218,4/04 19:00,28,32.741646,-89.678696,2020-04-05 22:53 EDT
Utah,1605,176,8,0,0.5%,State of Emergency,1605,29287,,30892,4/05 15:00,49,40.150032,-111.86243400000001,2020-04-05 22:53 EDT
Oklahoma,1254,95,46,4,3.7%,State of Emergency,1252,1401,,2653,4/05 08:00,40,35.565342,-96.928917,2020-04-05 22:53 EDT
Idaho,1101,25,10,0,0.9%,State of Emergency,1077,9184,,10261,4/04 19:00,16,44.240459,-114.47882800000001,2020-04-05 22:53 EDT
Oregon,1068,69,27,1,2.5%,State of Emergency,999,17926,,18925,4/04 11:00,41,44.572021,-122.07093799999998,2020-04-05 22:53 EDT
District of Columbia,1002,4,22,0,2.2%,State of Emergency,998,5836,,6834,4/04 00:00,11,38.897438,-77.02681700000001,2020-04-05 22:53 EDT
Kentucky,955,40,45,5,4.7%,State of Emergency,917,15746,,16663,4/04 17:00,21,37.66814,-84.670067,2020-04-05 22:53 EDT
Minnesota,935,70,29,5,3.1%,State of Emergency,935,25842,,26777,4/04 17:00,27,45.694454,-93.900192,2020-04-05 22:53 EDT
Rhode Island,922,116,25,8,2.7%,State of Emergency,922,7181,,8103,4/05 00:00,44,41.680893,-71.51178,2020-04-05 22:53 EDT
Iowa,869,84,22,7,2.5%,State of Emergency,868,9973,,10841,4/05 00:00,19,42.011539,-93.210526,2020-04-05 22:53 EDT
Arkansas,853,113,16,2,1.9%,State of Emergency,830,10412,,11242,4/05 14:34,05,34.969704,-92.37312299999999,2020-04-05 22:53 EDT
Kansas,751,53,22,1,2.9%,State of Emergency,747,7476,,8223,4/05 12:00,20,38.5266,-96.726486,2020-04-05 22:53 EDT
Delaware,673,80,14,0,2.1%,State of Emergency,673,6321,,6994,4/05 12:30,10,39.318523,-75.507141,2020-04-05 22:53 EDT
New Hampshire,669,48,9,0,1.3%,State of Emergency,621,7411,93,8125,4/04 09:00,33,43.452492,-71.563896,2020-04-05 22:53 EDT
