County Name,State Name,Confirmed,New,Death,New Death,Fatality Rate,Recovered,New Recovered,Latitude,Longitude,Last Update,STATEFP,COUNTYFP,Population Estimate 2018 (Ths.),Infection Rate
New York,New York,179718,2133,18925,329,10.5%,0,0,40.71455,-74.00714,2020-05-03 22:15 EDT,36,500,8443.713,21.28423834396077
Nassau,New York,36780,261,1770,25,4.8%,2889,0,40.74165225,-73.58899619,2020-05-03 22:15 EDT,36,059,1356.564,27.112616876166552
Suffolk,New York,36085,0,1256,29,3.5%,2901,0,40.87732808,-72.85898036,2020-05-03 22:15 EDT,36,103,1487.901,24.2522856023351
Westchester,New York,29884,258,1086,19,3.6%,9371,0,41.16319759,-73.7560629,2020-05-03 22:15 EDT,36,119,968.815,30.845930337577347
Rockland,New York,12025,80,519,0,4.3%,0,0,41.152374,-74.02401032,2020-05-03 22:15 EDT,36,087,323.686,37.150201120839334
Orange,New York,9038,0,329,0,3.6%,0,0,41.40206825,-74.30559567,2020-05-03 22:15 EDT,36,071,378.227,23.895702845116823
Erie,New York,3710,112,266,0,7.2%,479,0,42.76382119,-78.73224973,2020-05-03 22:15 EDT,36,029,919.866,4.0331961394377
Dutchess,New York,3086,37,37,0,1.2%,693,0,41.76477515,-73.74281684,2020-05-03 22:15 EDT,36,027,293.894,10.500384492367996
Monroe,New York,1566,32,121,0,7.7%,697,0,43.14604282,-77.69674911,2020-05-03 22:15 EDT,36,055,744.248,2.10413733056723
Ulster,New York,1358,0,37,0,2.7%,535,0,41.95986,-73.99033,2020-05-03 22:15 EDT,36,111,179.303,7.573771771805268
Putnam,New York,1115,0,7,0,0.6%,0,0,41.42653455,-73.7494999,2020-05-03 22:15 EDT,36,079,99.070,11.254668416271324
Onondaga,New York,952,5,34,0,3.6%,574,0,43.00487,-76.1836,2020-05-03 22:15 EDT,36,067,464.242,2.0506546154807195
Sullivan,New York,931,0,22,0,2.4%,501,0,41.71631354,-74.76811083,2020-05-03 22:15 EDT,36,105,75.211,12.378508462857827
Schenectady,New York,521,0,27,0,5.2%,318,0,42.81238,-73.94122,2020-05-03 22:15 EDT,36,093,154.883,3.3638294712783203
Oneida,New York,489,15,17,0,3.5%,182,0,43.24306498,-75.42583597,2020-05-03 22:15 EDT,36,065,230.782,2.118882755154215
Niagara,New York,488,0,25,0,5.1%,234,0,43.19998147,-78.74522262,2020-05-03 22:15 EDT,36,063,211.704,2.305105241280278
Saratoga,New York,361,0,11,0,3.0%,121,0,43.06974,-73.63661,2020-05-03 22:15 EDT,36,091,227.377,1.5876715762808022
Broome,New York,327,22,22,0,6.7%,182,0,42.16021802,-75.81964586,2020-05-03 22:15 EDT,36,007,194.402,1.682081460067283
Rensselaer,New York,311,0,11,0,3.5%,146,0,42.71086263,-73.5097379,2020-05-03 22:15 EDT,36,083,159.431,1.9506871311100098
Steuben,New York,231,0,37,0,16.0%,104,0,42.26782685,-77.38382596,2020-05-03 22:15 EDT,36,101,96.927,2.3832368689838743
Columbia,New York,210,0,13,0,6.2%,94,0,42.25001078,-73.63186134,2020-05-03 22:15 EDT,36,021,60.919,3.447200380833566
Warren,New York,185,0,0,0,0.0%,0,0,43.5592099,-73.85881158,2020-05-03 22:15 EDT,36,113,64.480,2.869106699751861
Washington,New York,184,0,6,0,3.3%,71,0,43.31227113,-73.43096234,2020-05-03 22:15 EDT,36,115,61.828,2.9759979297405703
