State Name,Confirmed,New,Death,New Death,Fatality Rate,Emergency,Test Positive,Test Negative,Test Pending,Total Test,Test Last Update,State FIPS,Latitude,Longitude,Last Update
New York,151069,10683,6268,779,4.1%,State of Emergency,149316,215837,,365153,4/07 00:00,36,42.165726,-74.948051,2020-04-08 22:58 EDT
New Jersey,47437,3021,1504,273,3.2%,State of Emergency,47437,52979,,100416,4/08 14:08,34,40.298904,-74.521011,2020-04-08 22:58 EDT
Michigan,20346,1376,959,114,4.7%,State of Emergency,20346,31362,,51708,4/08 11:00,26,43.326617999999996,-84.53609499999999,2020-04-08 22:58 EDT
California,19031,1406,503,50,2.6%,State of Emergency,16957,127307,14600,158864,4/07 18:00,06,36.116203000000006,-119.681564,2020-04-08 22:58 EDT
Louisiana,17030,746,652,73,3.8%,State of Emergency,17030,58371,,75401,4/08 13:00,22,31.169546,-91.867805,2020-04-08 22:58 EDT
Massachusetts,16790,1590,433,77,2.6%,State of Emergency,16790,70721,,87511,4/08 12:30,25,42.230171,-71.530106,2020-04-08 22:58 EDT
Pennsylvania,16746,1791,319,64,1.9%,State of Emergency,16239,82299,,98538,4/08 14:45,42,40.590752,-77.209755,2020-04-08 22:58 EDT
Florida,15698,951,323,26,2.1%,State of Emergency,15455,127679,1324,144458,4/08 14:00,12,27.766278999999997,-81.68678299999999,2020-04-08 22:58 EDT
Illinois,15079,1537,462,82,3.1%,State of Emergency,15078,59988,,75066,4/08 00:00,17,40.349457,-88.986137,2020-04-08 22:58 EDT
Georgia,10189,1055,370,29,3.6%,State of Emergency,9901,28886,,38787,4/08 12:29,13,33.040619,-83.643074,2020-04-08 22:58 EDT
Texas,10077,864,193,17,1.9%,State of Emergency,9353,86905,,96258,4/08 14:21,48,31.054486999999998,-97.563461,2020-04-08 22:58 EDT
Washington,9277,291,432,24,4.7%,State of Emergency,8682,83391,,92073,4/07 18:30,53,47.400902,-121.490494,2020-04-08 22:58 EDT
Connecticut,8781,1000,335,59,3.8%,State of Emergency,7781,21255,,29036,4/07 22:00,09,41.597782,-72.755371,2020-04-08 22:58 EDT
Indiana,5943,403,203,0,3.4%,State of Emergency,5943,24926,,30869,4/08 02:45,18,39.849426,-86.258278,2020-04-08 22:58 EDT
Colorado,5655,226,193,14,3.4%,State of Emergency,5429,22665,,28094,4/07 18:00,08,39.059810999999996,-105.311104,2020-04-08 22:58 EDT
Maryland,5529,1159,124,21,2.2%,State of Emergency,5529,32933,,38462,4/08 10:00,24,39.063946,-76.80210100000001,2020-04-08 22:58 EDT
Ohio,5148,367,193,26,3.7%,State of Emergency,5148,48193,,53341,4/08 14:00,39,40.388783000000004,-82.764915,2020-04-08 22:58 EDT
Tennessee,4363,263,80,11,1.8%,State of Emergency,4362,52256,,56618,4/08 15:00,47,35.747845,-86.69234499999999,2020-04-08 22:58 EDT
Virginia,3645,318,75,9,2.1%,State of Emergency,3645,27000,,30645,4/07 17:00,51,37.769337,-78.16996800000001,2020-04-08 22:58 EDT
North Carolina,3571,244,66,9,1.8%,State of Emergency,3426,39561,,42987,4/08 11:00,37,35.630066,-79.80641899999999,2020-04-08 22:58 EDT
Missouri,3393,184,93,9,2.7%,State of Emergency,3327,30783,,34110,4/08 15:00,29,38.456084999999995,-92.288368,2020-04-08 22:58 EDT
US Military,3160,503,8,1,0.3%,State of Emergency,,,,,,,,,2020-04-08 22:58 EDT
Wisconsin,2812,234,103,10,3.7%,State of Emergency,2756,30115,,32871,4/08 16:00,55,44.268543,-89.616508,2020-04-08 22:58 EDT
Arizona,2726,151,80,2,2.9%,State of Emergency,2726,31838,,34564,4/08 00:00,04,33.729759,-111.431221,2020-04-08 22:58 EDT
South Carolina,2552,139,63,12,2.5%,State of Emergency,2552,22082,,24634,4/08 15:30,45,33.856891999999995,-80.94500699999999,2020-04-08 22:58 EDT
Alabama,2499,302,67,3,2.7%,State of Emergency,2369,16753,,19122,4/08 00:00,01,32.806671,-86.79113000000001,2020-04-08 22:58 EDT
Nevada,2318,187,72,12,3.1%,State of Emergency,2318,18248,,20566,4/08 15:00,32,38.313515,-117.055374,2020-04-08 22:58 EDT
Mississippi,2003,88,67,9,3.3%,State of Emergency,2003,18632,,20635,4/07 19:00,28,32.741646,-89.678696,2020-04-08 22:58 EDT
Utah,1848,109,13,0,0.7%,State of Emergency,1846,34270,,36116,4/08 15:00,49,40.150032,-111.86243400000001,2020-04-08 22:58 EDT
Oklahoma,1526,53,79,12,5.2%,State of Emergency,1524,11821,,13345,4/08 08:00,40,35.565342,-96.928917,2020-04-08 22:58 EDT
Rhode Island,1450,221,35,5,2.4%,State of Emergency,1450,10682,,12132,4/08 00:00,44,41.680893,-71.51178,2020-04-08 22:58 EDT
District of Columbia,1440,0,27,0,1.9%,State of Emergency,1440,6843,,8283,4/07 00:00,11,38.897438,-77.02681700000001,2020-04-08 22:58 EDT
Kentucky,1257,109,73,8,5.8%,State of Emergency,1149,20455,,21604,4/07 17:00,21,37.66814,-84.670067,2020-04-08 22:58 EDT
Oregon,1239,58,37,4,3%,State of Emergency,1181,21826,,23007,4/07 11:00,41,44.572021,-122.07093799999998,2020-04-08 22:58 EDT
Idaho,1232,22,18,3,1.5%,State of Emergency,1210,10688,,11898,4/07 19:00,16,44.240459,-114.47882800000001,2020-04-08 22:58 EDT
Minnesota,1154,86,39,5,3.4%,State of Emergency,1154,29599,,30753,4/08 17:00,27,45.694454,-93.900192,2020-04-08 22:58 EDT
Iowa,1145,97,27,1,2.4%,State of Emergency,1145,12821,,13966,4/08 13:00,19,42.011539,-93.210526,2020-04-08 22:58 EDT
Delaware,1116,188,19,3,1.7%,State of Emergency,928,7628,,8556,4/07 16:30,10,39.318523,-75.507141,2020-04-08 22:58 EDT
Arkansas,1077,80,18,0,1.7%,State of Emergency,1000,13530,,14530,4/08 14:35,05,34.969704,-92.37312299999999,2020-04-08 22:58 EDT
Kansas,1051,123,34,5,3.2%,State of Emergency,900,8614,,9514,4/07 12:00,20,38.5266,-96.726486,2020-04-08 22:58 EDT
New Mexico,865,71,16,3,1.8%,State of Emergency,794,21451,,22245,4/07 00:00,35,34.840515,-106.24848200000001,2020-04-08 22:58 EDT
New Hampshire,788,41,18,5,2.3%,State of Emergency,788,8389,89,9266,4/08 15:11,33,43.452492,-71.563896,2020-04-08 22:58 EDT
Puerto Rico,620,47,24,1,3.9%,State of Emergency,620,4266,1160,6046,4/08 09:00,72,18.24914,-66.62804,2020-04-08 22:58 EDT
Vermont,605,30,34,6,5.6%,State of Emergency,605,7144,,7749,4/08 11:00,50,44.045876,-72.710686,2020-04-08 22:58 EDT
Maine,537,18,14,2,2.6%,State of Emergency,537,6088,,6625,4/08 11:00,23,44.693946999999994,-69.381927,2020-04-08 22:58 EDT
Nebraska,519,42,12,2,2.3%,State of Emergency,519,7442,,7961,4/08 13:45,31,41.125370000000004,-98.26808199999999,2020-04-08 22:58 EDT
West Virginia,483,71,4,0,0.8%,State of Emergency,462,12083,,12545,4/08 10:00,54,38.491226,-80.954453,2020-04-08 22:58 EDT
Hawaii,435,25,5,0,1.1%,State of Emergency,410,14739,,15149,4/07 18:00,15,21.094317999999998,-157.49833700000002,2020-04-08 22:58 EDT
Navajo Nation,426,0,17,0,4%,State of Emergency,,,,,,,,,2020-04-08 22:58 EDT
South Dakota,393,73,6,0,1.5%,State of Emergency,393,6355,0,6748,4/08 12:30,46,44.299782,-99.438828,2020-04-08 22:58 EDT
Montana,332,14,6,0,1.8%,State of Emergency,332,7066,,7398,4/08 13:45,30,46.921925,-110.454353,2020-04-08 22:58 EDT
North Dakota,251,14,4,0,1.6%,State of Emergency,251,8301,,8552,4/08 13:54,38,47.528912,-99.784012,2020-04-08 22:58 EDT
Wyoming,230,9,0,0,0%,State of Emergency,221,3843,,4064,4/07 18:21,56,42.755966,-107.30248999999999,2020-04-08 22:58 EDT
Alaska,226,13,7,1,3.1%,State of Emergency,226,6842,,7068,4/08 15:00,02,61.370716,-152.404419,2020-04-08 22:58 EDT
Guam,125,4,4,0,3.2%,State of Emergency,125,562,,687,4/08 07:30,66,13.421129,144.73972,2020-04-08 22:58 EDT
US Virgin Islands,45,0,1,0,2.2%,State of Emergency,45,242,35,322,4/07 19:00,78,17.752625,-64.73541999999999,2020-04-08 22:58 EDT
Northern Mariana Islands,11,3,2,0,18.2%,State of Emergency,11,27,9,47,4/08 00:00,,,,2020-04-08 22:58 EDT
