County Name,State Name,Confirmed,New,Death,New Death,Fatality Rate,Latitude,Longitude,Last Update,STATEFP,COUNTYFP,Population Estimate 2018 (Ths.),Infection Rate
New York,New York,33768,3003,776,776,2.3%,40.71455,-74.00714,2020-03-29 21:44 EDT,36,500,8443.713,3.99918850865727
Westchester,New York,8519,644,10,10,0.1%,41.16319759,-73.7560629,2020-03-29 21:44 EDT,36,119,968.815,8.793216455153976
Nassau,New York,6445,908,39,39,0.6%,40.74165225,-73.58899619,2020-03-29 21:44 EDT,36,059,1356.564,4.750973783765455
Suffolk,New York,5023,885,40,40,0.8%,40.87732808,-72.85898036,2020-03-29 21:44 EDT,36,103,1487.901,3.3758966490378053
Rockland,New York,2209,313,8,8,0.4%,41.152374,-74.02401032,2020-03-29 21:44 EDT,36,087,323.686,6.824515116501796
Orange,New York,1247,105,5,5,0.4%,41.40206825,-74.30559567,2020-03-29 21:44 EDT,36,071,378.227,3.296961877391091
Erie,New York,414,34,7,7,1.7%,42.76382119,-78.73224973,2020-03-29 21:44 EDT,36,029,919.866,0.4500655530262016
Dutchess,New York,320,58,2,2,0.6%,41.76477515,-73.74281684,2020-03-29 21:44 EDT,36,027,293.894,1.0888279447692024
Monroe,New York,219,17,5,5,2.3%,43.14604282,-77.69674911,2020-03-29 21:44 EDT,36,055,744.248,0.2942567531253023
Albany,New York,205,10,1,1,0.5%,42.65155,-73.75520999999998,2020-03-29 21:44 EDT,36,001,307.426,0.6668271388887081
Onondaga,New York,194,48,1,1,0.5%,43.004870000000004,-76.1836,2020-03-29 21:44 EDT,36,067,464.242,0.41788549937317176
Ulster,New York,186,51,0,0,0.0%,41.95986,-73.99033,2020-03-29 21:44 EDT,36,111,179.303,1.0373501837671428
Putnam,New York,144,13,0,0,0.0%,41.42653455,-73.7494999,2020-03-29 21:44 EDT,36,079,99.070,1.4535177147471485
Saratoga,New York,108,12,1,1,0.9%,43.06974,-73.63661,2020-03-29 21:44 EDT,36,091,227.377,0.4749820782225115
Sullivan,New York,88,16,0,0,0.0%,41.71631354,-74.76811083,2020-03-29 21:44 EDT,36,105,75.211,1.1700416162529417
Schenectady,New York,76,4,1,1,1.3%,42.81238,-73.94122,2020-03-29 21:44 EDT,36,093,154.883,0.49069297469702944
Tompkins,New York,70,14,0,0,0.0%,42.44933495,-76.47064359,2020-03-29 21:44 EDT,36,109,102.962,0.6798624735339251
Rensselaer,New York,52,1,0,0,0.0%,42.71086263,-73.5097379,2020-03-29 21:44 EDT,36,083,159.431,0.3261599061663039
Madison,New York,42,13,1,1,2.4%,42.91290749,-75.66978904,2020-03-29 21:44 EDT,36,053,71.359,0.5885732703653359
Niagara,New York,38,5,0,0,0.0%,43.19998147,-78.74522262,2020-03-29 21:44 EDT,36,063,211.704,0.17949589993575935
Columbia,New York,33,3,1,1,3.0%,42.25001078,-73.63186134,2020-03-29 21:44 EDT,36,021,60.919,0.5417029169881318
Broome,New York,29,6,3,3,10.3%,42.16021802,-75.81964586,2020-03-29 21:44 EDT,36,007,194.402,0.149175420005967
Oneida,New York,26,3,0,0,0.0%,43.24306498,-75.42583597,2020-03-29 21:44 EDT,36,065,230.782,0.11266043278938564
Ontario,New York,18,2,0,0,0.0%,42.85288942,-77.29981098,2020-03-29 21:44 EDT,36,069,109.472,0.16442560654779304
Warren,New York,18,5,0,0,0.0%,43.5592099,-73.85881158,2020-03-29 21:44 EDT,36,113,64.480,0.2791563275434243
Steuben,New York,17,4,0,0,0.0%,42.26782685,-77.38382596,2020-03-29 21:44 EDT,36,101,96.927,0.17538972628885655
Chenango,New York,15,7,0,0,0.0%,42.49349443,-75.61153709999998,2020-03-29 21:44 EDT,36,017,48.348,0.3102506825515016
Oswego,New York,15,5,0,0,0.0%,43.436525700000004,-76.14924403,2020-03-29 21:44 EDT,36,075,119.104,0.12594035464803868
Chemung,New York,15,3,0,0,0.0%,42.1411881,-76.76001059999999,2020-03-29 21:44 EDT,36,015,85.740,0.17494751574527642
Clinton,New York,14,0,0,0,0.0%,44.7904,-73.6006,2020-03-29 21:44 EDT,36,019,80.794,0.17328019407381737
Otsego,New York,14,7,1,1,7.1%,42.63373751,-75.03256231,2020-03-29 21:44 EDT,36,077,60.244,0.23238828763030345
Livingston,New York,13,3,0,0,0.0%,42.72808354,-77.77543855,2020-03-29 21:44 EDT,36,051,63.907,0.20342059555291284
St. Lawrence,New York,13,2,0,0,0.0%,44.17727,-76.16771999999997,2020-03-29 21:44 EDT,36,089,109.558,0.11865861005129703
Wayne,New York,12,0,0,0,0.0%,42.474131,-77.09816,2020-03-29 21:44 EDT,36,117,90.856,0.13207713304569868
Herkimer,New York,10,1,2,2,20.0%,43.0259,-74.98433,2020-03-29 21:44 EDT,36,043,62.505,0.15998720102391809
